LPhenotypeID;LabType;Units;MinResult;MaxResult;ResultSet
38203442;Automotive;IDR;26938.17968;70708.24801;visa-electron
20112359;Books;UZS;6810.04575;92008.08696;mastercard
94767093;Health;RSD;39815.84232;88436.5619;mastercard
14562704;Books;MGA;49225.53088;95920.73071;mastercard
79366594;Grocery;EUR;27563.26629;93501.62544;jcb
82312347;Industrial;CAD;35678.51986;97459.0049;diners-club-enroute
6083236;Clothing;PHP;28344.89279;70095.82168;jcb
16372195;Kids;SEK;19439.35456;75745.82478;jcb
63805984;Shoes;EUR;49650.04793;83449.42176;visa
79169530;Industrial;ARS;41039.9569;80764.76414;jcb
66120417;Kids;IDR;39784.10286;52127.73019;china-unionpay
4932504;Music;ARS;11679.62409;88331.35641;visa-electron
78917329;Automotive;CNY;38465.64942;90371.82697;jcb
83578758;Electronics;PEN;26535.19537;66143.40237;switch
68172205;Books;ETB;4623.65785;76185.6614;jcb
7172318;Outdoors;TND;43045.1755;51602.70786;china-unionpay
52187258;Movies;TZS;34074.78396;73491.56134;switch
10206726;Beauty;CNY;10965.28574;85726.94018;switch
65290635;Health;BDT;18738.44514;97503.88505;jcb
44946889;Music;CNY;4290.03038;55256.25289;americanexpress
66020161;Electronics;CNY;27394.90645;86972.24594;jcb
6221809;Health;PHP;48731.3585;73105.00288;solo
11033944;Kids;CAD;10639.57484;55906.10158;china-unionpay
89033300;Shoes;CNY;15324.16629;75635.07519;visa-electron
6310117;Tools;IDR;42478.50787;57712.14692;jcb
61139509;Electronics;BRL;15288.79161;91874.03848;visa-electron
84271689;Music;CNY;41113.86593;71891.81725;maestro
93061961;Health;PLN;9224.97494;99584.51507;jcb
22720730;Tools;CUP;15172.21453;67889.10534;jcb
83652009;Beauty;EUR;49137.48267;78801.78029;instapayment
78138777;Garden;ARS;9181.88353;94427.94853;jcb
2121517;Health;RUB;16866.78095;84861.82616;bankcard
63801682;Clothing;EUR;11367.06465;60443.0515;mastercard
83856149;Computers;GTQ;13372.28183;71103.4648;instapayment
81272952;Books;BRL;40917.05015;93887.98061;maestro
45172043;Games;USD;28056.56217;84875.65047;diners-club-carte-blanche
28064207;Clothing;UGX;29071.57281;66826.84123;americanexpress
66975468;Jewelery;SEK;2647.19182;95634.79413;jcb
86487950;Toys;IDR;25690.33129;73761.62961;diners-club-carte-blanche
3372670;Books;IDR;14111.9075;63491.53874;mastercard
35739004;Sports;BRL;26723.35009;98195.88809;diners-club-carte-blanche
28061888;Books;USD;39827.89876;72208.13627;jcb
32639623;Games;CNY;44604.55487;60470.24266;switch
71435639;Kids;PEN;19567.11649;91654.56991;diners-club-carte-blanche
49434587;Grocery;SLL;36271.46907;83241.1355;mastercard
36629081;Garden;RUB;19221.65041;74150.06675;jcb
2311835;Shoes;EUR;46935.0021;83159.63059;diners-club-enroute
62479070;Tools;RUB;44451.02927;69020.8428;mastercard
13045904;Garden;RUB;30975.63658;82134.92892;switch
11531832;Home;CNY;25743.901;99831.85553;visa-electron
85088386;Garden;IDR;49078.2682;58339.79539;jcb
99417788;Industrial;PLN;16153.62714;83929.05354;jcb
99398479;Clothing;VND;37089.95324;85758.53672;maestro
93011151;Outdoors;NGN;11898.20715;61797.371;diners-club-enroute
86540275;Shoes;PHP;3166.32701;96307.2702;jcb
45427966;Garden;SEK;34749.96617;66002.39774;jcb
25063804;Tools;HUF;13919.98666;98213.42503;mastercard
81272952;Health;CNY;43301.88505;67877.24503;americanexpress
71593595;Music;SEK;34828.29971;52791.88857;jcb
88012661;Health;RUB;28891.476;90414.02253;visa
19492765;Garden;THB;6158.42572;54276.64709;diners-club-carte-blanche
11969688;Health;PHP;10261.37448;64152.97738;jcb
53985558;Toys;IDR;9256.20206;55789.14471;jcb
58023014;Jewelery;PHP;44585.70823;93928.76753;jcb
71027622;Sports;NGN;17446.50778;66812.23696;visa-electron
51135223;Shoes;CLP;37261.78976;80116.51893;jcb
93883477;Grocery;VND;26920.97774;88679.85949;diners-club-enroute
78692988;Grocery;PLN;45825.98236;60917.26064;jcb
30721995;Electronics;MXN;15555.45174;76977.11266;maestro
32811637;Health;HRK;45562.79084;78039.37624;jcb
58023014;Sports;EUR;31266.18405;53410.34215;jcb
10779488;Industrial;EUR;8721.43096;53877.69744;mastercard
81521360;Outdoors;CNY;308.07061;79701.81505;laser
44518399;Automotive;RUB;3349.41731;77606.16172;jcb
30540821;Sports;HRK;31956.37807;98320.75396;diners-club-enroute
9273519;Grocery;EUR;24747.0211;99736.07854;maestro
63591518;Industrial;EUR;1486.05376;98452.52;americanexpress
65580274;Automotive;RUB;47281.4351;95923.63366;jcb
27606998;Tools;NGN;5263.23582;91013.3541;bankcard
18949459;Tools;PHP;21360.90398;93244.54992;visa-electron
40334488;Jewelery;AFN;49143.32584;89373.23153;jcb
93735971;Toys;THB;4227.49951;74039.90476;mastercard
46249516;Home;MUR;38175.86469;61080.21225;china-unionpay
78168271;Movies;RUB;32569.62116;92305.49753;maestro
11379545;Computers;MYR;6874.84088;53295.65568;mastercard
18992951;Games;EUR;49615.9672;84331.30505;jcb
62505040;Music;EUR;26657.0275;76670.42044;laser
39643235;Games;ZAR;13993.39937;68207.29219;diners-club-enroute
3657551;Jewelery;PEN;33173.93625;58586.07286;switch
8557331;Automotive;EUR;13913.6275;85010.30079;jcb
28521032;Jewelery;PEN;33932.16422;63810.92149;jcb
37762229;Sports;BRL;11031.34913;95976.96102;laser
28709869;Automotive;RUB;15755.44695;53707.53146;visa
58500129;Books;NGN;14054.38699;96661.37994;jcb
98649938;Grocery;IDR;46277.09864;76917.17447;jcb
54192036;Health;IDR;471.63305;77660.4464;jcb
40374503;Automotive;IDR;1738.58968;75216.54353;switch
70104135;Baby;PHP;28499.34128;56285.51757;jcb
9311318;Books;ARS;19053.86225;64272.99785;visa-electron
15653697;Grocery;RUB;43021.55597;69432.95154;jcb
80627300;Computers;IDR;28750.56764;52131.48312;jcb
92316341;Kids;SEK;18288.75121;61533.37212;jcb
67172629;Movies;EUR;24767.77377;69688.26881;mastercard
3272882;Games;BAM;20344.87279;67834.56878;jcb
21767408;Baby;CNY;42274.21571;62748.04468;maestro
99332108;Baby;CNY;12495.29262;77688.04588;solo
44666818;Outdoors;PHP;34970.2078;90862.15795;jcb
2574238;Clothing;TND;29886.29235;57614.50339;switch
85088386;Sports;IDR;32577.3622;76194.78023;jcb
67697813;Tools;CNY;17245.17344;83714.15387;jcb
7964339;Health;USD;35660.24789;79053.73766;mastercard
25605297;Tools;PLN;13239.22455;69445.11398;bankcard
38045566;Outdoors;PYG;1171.47254;86512.94533;switch
55366895;Tools;CNY;32428.6595;55534.1193;visa
9996274;Shoes;CNY;45296.58501;62930.52606;jcb
48520821;Grocery;EUR;37689.7874;63532.88829;americanexpress
62479070;Garden;TJS;44752.57884;53747.22678;jcb
33776684;Electronics;CNY;13643.27575;65085.96984;maestro
55774104;Shoes;IDR;33364.96514;94465.75173;jcb
71372622;Electronics;IDR;39679.70862;74642.44163;bankcard
46932317;Tools;EUR;47189.33193;67852.07298;maestro
2386464;Music;MAD;30921.03753;69261.40504;jcb
65676564;Jewelery;CNY;25347.38043;97182.67113;jcb
53688395;Grocery;THB;28443.29473;70784.48691;china-unionpay
18926850;Clothing;VND;40450.56234;88718.27605;jcb
79193027;Kids;PEN;1275.46716;61765.52405;mastercard
78089661;Shoes;BRL;47494.27652;99080.46683;americanexpress
90489166;Shoes;CNY;39070.03879;95167.08121;switch
5795017;Garden;CNY;46537.93597;50951.04539;jcb
27908049;Games;USD;14126.54232;68674.71698;jcb
99582542;Electronics;XPF;42434.42264;99615.29877;bankcard
84160892;Tools;JOD;41843.88944;75880.34537;diners-club-enroute
27938808;Toys;EUR;4732.85543;93010.55065;jcb
13364367;Books;CNY;8043.33343;96277.55317;jcb
45172043;Garden;JPY;38823.63018;57258.48126;china-unionpay
97354139;Toys;PHP;15146.50928;88060.16622;americanexpress
18286667;Electronics;PHP;16337.87031;63667.82089;jcb
4505061;Electronics;CNY;1623.32204;86723.03232;mastercard
33401065;Grocery;UAH;25117.10214;57497.70999;jcb
71027622;Baby;IDR;10638.1829;66196.6585;visa-electron
66960027;Shoes;AZN;18608.23419;98070.40447;visa-electron
56631042;Outdoors;IDR;12403.21108;70172.998;jcb
78166096;Computers;MYR;27907.37859;53374.21158;diners-club-carte-blanche
17631842;Games;MMK;30197.79921;88462.14802;jcb
78089661;Shoes;PHP;24837.05007;50068.30437;instapayment
62948921;Garden;USD;14215.14812;55180.73514;diners-club-us-ca
89033300;Baby;GBP;40906.84995;86641.98263;jcb
11969688;Books;DKK;40127.72607;56409.32706;bankcard
57525161;Shoes;EUR;12476.54679;59719.50075;jcb
40019232;Industrial;PHP;19360.44735;57820.43149;jcb
78138777;Clothing;EUR;6835.94027;90303.44005;mastercard
3372670;Movies;PLN;8542.95595;74385.34913;jcb
31634115;Automotive;EUR;2906.90338;76914.04225;diners-club-enroute
32639623;Automotive;CNY;2314.20378;96424.94957;jcb
76214135;Beauty;RUB;17563.54331;52648.49848;jcb
39265766;Beauty;NGN;33795.14263;87329.90823;jcb
69071528;Home;USD;3376.56465;54432.81415;visa
4998708;Clothing;CNY;33250.40165;57148.62059;mastercard
24635674;Outdoors;PLN;23227.07294;76260.1169;mastercard
32453517;Health;PHP;5579.64681;68566.61337;diners-club-enroute
89544637;Games;SEK;16734.57816;85794.29771;diners-club-enroute
74321777;Beauty;EUR;13913.19148;92901.09296;jcb
97567575;Health;CNY;2905.72783;89568.53668;jcb
30035248;Health;PLN;24617.36804;97488.17158;visa-electron
73795156;Games;EUR;21193.81621;94339.72316;visa-electron
96810636;Jewelery;PHP;9368.62807;67755.41955;jcb
30346518;Health;BRL;8703.95836;69966.35982;americanexpress
73613006;Kids;IDR;1384.83506;58157.9688;jcb
93011151;Beauty;CNY;12283.39784;62572.4932;jcb
59000024;Health;MNT;42691.14232;88078.28496;bankcard
67780129;Games;CNY;12248.54145;82029.97708;jcb
75849683;Automotive;EUR;374.89698;62494.40939;china-unionpay
29373761;Grocery;MXN;2925.06289;69765.90831;mastercard
11094538;Books;CNY;11132.95574;76904.98247;switch
44866787;Toys;IDR;39888.15405;77887.55727;switch
99094220;Clothing;VND;25761.45713;99810.43675;jcb
2067518;Music;USD;46185.80017;78211.74392;diners-club-international
80760247;Jewelery;NGN;25224.55317;52146.70821;americanexpress
25560936;Industrial;IDR;45194.11973;60982.10546;americanexpress
35298223;Industrial;TJS;7293.17958;66962.6798;bankcard
89733381;Outdoors;RSD;31646.36669;97618.95628;jcb
56131619;Clothing;RUB;10880.25253;79459.63883;bankcard
5934699;Movies;PLN;24185.16743;69522.72956;jcb
6221809;Kids;CNY;25905.17513;73791.17665;jcb
76424446;Games;MUR;30050.79462;51111.45044;jcb
45172043;Music;PHP;22787.81916;93225.00099;laser
44357451;Computers;IDR;13965.17098;69103.75933;jcb
12954255;Baby;CNY;44508.37148;68885.55475;jcb
63801682;Music;GNF;1381.42148;67593.29722;mastercard
35484798;Garden;EUR;18638.08802;86742.53554;instapayment
87728664;Computers;CNY;37346.37612;65081.21081;jcb
75572835;Jewelery;AFN;1508.66746;94690.93082;americanexpress
82978845;Sports;CNY;42590.64127;73833.64207;diners-club-carte-blanche
2058383;Movies;CDF;36455.29366;63456.872;diners-club-carte-blanche
76214135;Home;CNY;19919.2397;70376.74995;china-unionpay
31634115;Garden;HNL;43896.54602;96060.39203;bankcard
68842882;Toys;CNY;15152.79141;81704.31307;switch
93298300;Toys;CNY;28287.70376;60653.40446;switch
95608480;Kids;CNY;27966.1725;51343.53831;jcb
39598964;Health;SEK;14797.67237;66555.54523;americanexpress
88012661;Home;USD;26646.02843;98378.85169;maestro
39429532;Kids;KES;19706.63355;99462.43355;visa
98473553;Sports;MXN;43260.4941;54190.10283;diners-club-enroute
56185859;Clothing;RUB;13986.76607;97584.0393;diners-club-carte-blanche
86627811;Clothing;RUB;11619.5643;94294.36857;jcb
6614114;Beauty;RUB;5049.0605;55550.34771;switch
85088386;Health;THB;38094.1757;98532.16155;china-unionpay
68401935;Jewelery;IDR;31650.55911;80426.88838;jcb
40852475;Kids;ARS;30843.62988;66592.12625;mastercard
88767595;Tools;COP;1842.28784;70551.07794;jcb
55547094;Books;HRK;17851.42922;50548.9273;jcb
71138349;Electronics;CZK;16544.29888;88088.95953;jcb
33545177;Beauty;IDR;18040.40369;87554.85997;mastercard
6917526;Music;EUR;37933.81618;95414.40496;jcb
93398805;Industrial;JPY;44429.77303;53152.26292;jcb
66026320;Games;EGP;27535.60061;86516.17596;jcb
43355641;Grocery;CNY;1561.20816;62043.70963;jcb
64938244;Computers;BDT;19539.52148;93255.81682;jcb
28093503;Shoes;EUR;45704.00865;72065.6254;jcb
69511056;Automotive;SZL;4416.37768;92327.45664;diners-club-carte-blanche
20304031;Outdoors;CNY;48674.10202;88310.87698;jcb
40552101;Tools;EUR;24286.75374;86891.85716;jcb
48520821;Music;CNY;49545.31353;65889.74925;jcb
59984871;Electronics;CNY;36423.89522;99997.58988;americanexpress
29268609;Games;EUR;9483.00777;52851.84932;laser
77307263;Beauty;CNY;23038.17928;65523.11168;diners-club-us-ca
32453517;Movies;AZN;19133.01174;96211.00201;mastercard
76934755;Books;EUR;16064.36981;87932.70592;visa-electron
99332108;Computers;MXN;23339.49361;91932.23121;jcb
40019232;Sports;IDR;16314.2203;85826.91209;jcb
99582542;Computers;UAH;45723.32851;99178.87174;switch
12744089;Tools;BDT;39255.5745;74484.96137;diners-club-carte-blanche
51828952;Toys;VND;30212.82925;64694.90547;bankcard
33760509;Home;CNY;20297.68988;83385.31851;jcb
19087997;Jewelery;IDR;27337.65435;69534.7768;jcb
25560936;Beauty;IDR;40723.83236;74986.71262;maestro
81028216;Movies;UAH;16559.81586;89938.91369;china-unionpay
61733127;Jewelery;AFN;8052.91571;87192.1868;diners-club-carte-blanche
94514554;Outdoors;CNY;18440.07583;82946.42445;jcb
90833530;Beauty;USD;22482.26012;95627.7743;visa-electron
45427966;Home;EUR;45430.9699;78349.56669;diners-club-carte-blanche
89733381;Shoes;BRL;20187.44036;87719.87971;jcb
69046666;Tools;CNY;22947.65945;73117.44701;jcb
49300558;Industrial;CNY;41412.3715;73215.10724;visa
33617192;Beauty;COP;49824.95432;61608.29971;diners-club-carte-blanche
37991046;Books;PEN;615.93057;88642.57877;mastercard
75590355;Tools;PLN;9983.32543;59952.60837;diners-club-us-ca
7209116;Jewelery;IDR;10723.21291;71734.25657;instapayment
39913074;Automotive;CAD;37408.35456;69945.23683;americanexpress
43425362;Jewelery;IDR;21946.03341;51419.25805;diners-club-us-ca
81521360;Books;CNY;28144.0107;77283.73382;jcb
81332561;Clothing;GTQ;31514.38383;60008.6382;mastercard
86055965;Home;EUR;21824.99831;96639.49041;jcb
9708850;Shoes;IDR;45749.87466;87237.06091;switch
92316341;Shoes;NOK;18947.38338;74084.31015;diners-club-enroute
82735533;Grocery;PEN;36207.42062;93625.78707;jcb
41631615;Health;IDR;23649.87567;60766.80817;switch
25126957;Toys;CAD;5059.39945;73528.29787;jcb
15462901;Outdoors;RUB;47499.22714;90046.58139;bankcard
6221809;Clothing;BRL;4659.53011;77978.61139;jcb
67745201;Grocery;USD;8441.87329;86269.33922;jcb
45220707;Music;CRC;13543.1851;72046.5922;jcb
27550183;Jewelery;IDR;10427.93965;91486.86311;bankcard
40492274;Garden;PLN;45587.1266;93233.17137;jcb
79366594;Baby;PHP;586.79484;79588.74553;jcb
21767408;Electronics;CNY;30638.22176;52187.63065;visa-electron
97567575;Garden;BRL;8043.4231;80820.80888;mastercard
76424446;Jewelery;EUR;2940.99337;88010.39786;jcb
24415581;Computers;EUR;25023.65143;88431.00836;americanexpress
32453517;Toys;EUR;32629.57434;87148.5354;switch
39049602;Health;BRL;7442.28096;93062.99496;diners-club-carte-blanche
18882268;Outdoors;COP;31376.49193;70906.72993;bankcard
9996274;Outdoors;EUR;31507.43889;61622.40708;jcb
71027622;Garden;IDR;44188.40917;89795.96987;jcb
68330520;Jewelery;EUR;856.79172;54505.42384;china-unionpay
62672072;Electronics;ILS;32216.32289;87686.12528;jcb
45324089;Baby;CNY;20724.26127;98216.11583;mastercard
38974362;Home;USD;2970.44227;78858.65893;jcb
59040089;Outdoors;BRL;43715.30326;67147.7654;jcb
61849023;Books;COP;24195.83667;58779.40976;jcb
11379545;Toys;CNY;5725.91416;82056.61371;jcb
74483233;Home;USD;30858.69976;68411.05032;diners-club-carte-blanche
51832436;Clothing;CNY;31133.41712;94048.79188;visa
27642513;Toys;EUR;980.24518;97703.69704;jcb
82059726;Jewelery;PLN;15273.02055;64478.78792;jcb
1324527;Health;IDR;33999.68866;61233.63402;mastercard
40334488;Music;CNY;37256.70696;55844.45053;mastercard
14826949;Garden;IDR;47141.93136;94099.8257;maestro
99370248;Electronics;CNY;19625.11011;59549.6052;jcb
20054858;Sports;MXN;31324.80495;86856.65779;solo
68846757;Toys;JPY;29997.2265;78387.40806;visa-electron
59040089;Health;IRR;49315.82635;52510.39788;jcb
77307263;Automotive;EUR;19875.23705;82167.70855;maestro
40124658;Automotive;CNY;27474.21274;66851.67348;jcb
91697155;Music;EUR;35241.5737;86950.54844;jcb
67745201;Sports;MMK;15202.73043;92870.76286;jcb
84700501;Jewelery;NOK;14738.90385;76111.28173;diners-club-carte-blanche
4007022;Automotive;PLN;45107.77577;93622.47337;visa-electron
15920192;Tools;PHP;41710.20839;59973.72247;jcb
12744121;Industrial;IDR;11092.85209;76857.36718;visa
33442526;Tools;USD;21616.41254;74114.97236;visa
36012421;Toys;CNY;8898.21832;82677.12762;jcb
97646915;Jewelery;PHP;34020.89208;60261.21839;bankcard
88289452;Beauty;CNY;46992.1189;93361.63647;laser
42578714;Industrial;JPY;9902.71697;87920.36713;jcb
9484880;Kids;THB;29397.38948;65954.3536;jcb
15196819;Automotive;UGX;30694.80152;91235.2876;jcb
96082838;Grocery;IDR;42981.37793;50679.26001;jcb
99745741;Baby;RUB;19108.78041;90382.4243;mastercard
71027622;Garden;EUR;31741.086;84791.59405;jcb
40552101;Movies;RUB;40900.11888;57836.40571;americanexpress
67007821;Baby;EUR;41802.07103;64636.54652;jcb
98331265;Music;TND;12140.79542;98775.95084;switch
94157159;Kids;CNY;19255.36373;75290.47761;jcb
85595851;Health;CNY;15765.61888;65209.30375;bankcard
4007022;Jewelery;BRL;4340.09529;68667.08322;mastercard
12885505;Automotive;EUR;43734.37716;95963.65148;jcb
84433507;Shoes;BRL;44814.85229;82283.11942;china-unionpay
51832436;Baby;JPY;11854.63603;82859.50145;jcb
30811150;Sports;UAH;33147.22916;75558.73487;jcb
17685763;Toys;SEK;19899.16908;66329.99588;visa
61733127;Clothing;SEK;33741.69474;53925.28699;switch
76123278;Beauty;PKR;35127.25672;79607.14384;diners-club-us-ca
75695762;Outdoors;BRL;48703.12219;86868.28644;jcb
33942775;Industrial;IDR;41644.34874;92577.82906;diners-club-carte-blanche
89377548;Kids;CNY;34418.17848;63224.59198;switch
33450913;Automotive;CNY;48694.46951;54842.39633;visa
66975468;Baby;GTQ;14570.66476;72153.10356;visa-electron
90462014;Computers;PHP;10795.3109;66240.67475;instapayment
66960027;Home;CNY;46332.94843;65507.81845;diners-club-carte-blanche
34746969;Garden;CNY;45541.60424;53641.4054;jcb
97444364;Garden;PHP;32644.07994;76755.74399;china-unionpay
76339899;Games;IDR;32956.2244;74721.83454;jcb
80609190;Grocery;CNY;42966.71056;86167.40606;jcb
48580893;Electronics;THB;9117.38391;95150.23905;jcb
7122716;Outdoors;CNY;11037.05652;70719.21688;jcb
99398479;Games;YER;27362.61486;74623.97786;diners-club-enroute
60788709;Beauty;MXN;38880.41929;57677.40819;visa-electron
83947242;Industrial;IDR;12467.26692;62151.03345;jcb
92316341;Industrial;EGP;34109.08101;81854.01879;mastercard
70908870;Computers;RUB;2869.4036;87869.36507;jcb
27606998;Kids;CNY;33888.50558;65019.44313;jcb
11384100;Beauty;EUR;31806.71367;90896.07494;instapayment
60065189;Grocery;HRK;37123.45748;51609.36481;jcb
75682489;Computers;PLN;9820.3983;83936.48377;solo
70662917;Grocery;CNY;48555.53633;66438.09587;jcb
15649949;Grocery;IDR;12298.82095;73378.62595;mastercard
62751589;Electronics;NAD;28631.0185;58630.45208;visa
90489166;Outdoors;PHP;36114.74757;57629.69774;switch
15084609;Beauty;MXN;46884.06009;78737.37625;mastercard
59477434;Jewelery;PHP;38916.26802;72111.53248;jcb
