AuthorID;PublicationID
10464;200048
10838;200407
10596;200165
10497;200377
10177;200627
10643;200804
10574;200915
10925;200177
10779;200685
10176;200752
10607;200286
10935;200583
10724;200583
10080;200455
10340;200336
10061;200989
10404;200059
10803;200405
10791;200548
10215;200492
10893;200295
10701;200579
10098;200498
10042;200859
10818;200012
10474;200362
10689;200678
10549;200652
10703;200594
10936;200228
10531;200418
10564;200486
10261;200698
10265;200646
10840;200123
10564;200866
10981;200402
10771;200688
10238;200359
10755;200560
10660;200937
10325;200688
10021;200207
10197;200218
10416;200256
10294;200782
10454;200626
10193;200992
10342;200809
10636;200036
10677;200827
10537;201000
10517;200646
10113;200790
10876;200266
10670;200780
10048;200228
10434;200107
10095;200848
10847;200126
10163;200559
10712;200205
10363;200110
10825;200722
10127;200743
10415;200375
10407;200247
10061;200615
10220;200599
10909;200110
10457;200097
10415;200848
10017;200146
10078;200459
10496;200811
10741;200706
10143;200363
10560;200138
10607;200808
10573;200670
10721;200038
10840;200499
10619;200072
10760;200559
10914;200244
10410;200429
10152;200254
10068;200822
10531;200328
10352;200090
10522;200534
10782;200464
10338;200118
10126;200467
10584;200757
10372;200703
10041;200321
10988;200274
10457;200222
10459;200025
10851;200582
10329;200450
10651;200655
10307;200571
10498;200894
10686;200294
10775;200702
10647;200477
10936;200893
10339;200936
10879;200013
10139;200836
10304;200834
10563;200407
10908;200749
10479;200824
10840;200521
10620;200307
10196;200046
10340;200435
10862;200150
10676;200861
10813;200681
10039;200605
10789;200927
10545;200635
10997;200193
10059;200773
10503;200116
10949;200519
10848;200501
10976;200991
10208;200052
10906;200215
10004;200388
10185;200988
10488;200427
10690;200848
10757;200502
10494;200692
10844;200400
10982;200302
10106;200380
10412;200312
10474;200684
10843;200648
10486;200982
10873;200476
10127;200086
10917;200822
10671;200812
10953;200937
10856;200951
10853;200325
10991;200567
10317;200341
10746;200502
10854;200180
10418;200056
10327;200037
10506;200944
10273;200749
10073;200941
10455;200237
10069;200573
10089;200102
10618;200257
10592;200418
10598;200886
10325;200176
10545;200065
10221;200482
10943;200958
10502;200289
10761;200540
10973;200318
10574;200772
10004;200774
10749;200627
10273;200225
10816;200266
10656;200188
10818;200844
10959;200151
10899;200701
10280;200960
10953;200625
10377;200172
10224;200124
10238;200129
10294;200225
10629;200948
10052;200073
10442;200323
10165;200814
10266;200543
10443;200771
10160;200608
10838;200499
10423;200269
10166;200846
10872;200851
10837;200162
10821;200878
10623;200982
10396;200384
10191;200099
10328;200802
10288;200449
10165;200029
10310;200802
10150;200162
10176;200683
10652;200837
10921;200238
10282;200073
10153;200285
10882;200130
10537;200130
10833;200347
10307;200108
10778;200404
10337;200360
10925;200791
10238;200017
10216;200785
10244;200362
10834;200228
10355;200027
10096;200255
10540;200851
10667;200509
10625;200895
10301;200390
10050;200454
10220;200065
10744;200514
10546;200678
10956;200582
10168;200790
10068;200814
10265;200199
10726;200908
10229;200421
10702;200438
10446;200156
10195;200313
10982;200914
10501;200790
10788;200094
10828;200216
10749;200255
10028;200207
10843;200340
10363;200948
10873;200327
10570;200876
10615;200621
10171;200146
10893;200357
10175;200709
10297;200509
10961;200319
10139;200779
10865;200289
10640;200971
10553;200724
10154;200476
10540;200818
10789;200001
10470;200532
10314;200882
10145;200724
10745;200337
10458;200341
10552;200153
10263;200335
10767;200280
10830;200427
10350;200571
10993;200434
10092;200271
10657;200130
10117;200439
10194;200880
10420;200517
10074;200618
10850;200162
10354;200649
10063;200513
10238;200120
10462;200538
10515;200998
10729;200244
10104;200528
10887;200858
10919;200999
10086;200944
10165;200643
10463;200071
10407;200894
10870;200825
10421;200575
10624;200935
10719;200194
10719;200219
10940;200513
10424;200446
10945;200308
10257;200948
10119;200670
10047;200536
10243;200194
10416;200585
10682;200959
10525;200042
10735;200692
10728;200203
10016;200741
10243;200516
10977;200099
10065;200254
10839;200364
10600;200719
10380;200817
10681;200957
10299;200198
10088;200302
10134;200281
10686;200614
10040;200309
10760;200347
10814;200367
10178;200879
10441;200492
10481;200061
10692;200707
10613;200095
10288;200254
10731;200322
10055;200494
10525;200404
10756;200987
10920;200293
10865;200182
10224;200726
10682;200706
10820;200858
10192;200965
10679;200002
10603;200338
10974;200106
10977;200990
10881;200028
10849;200239
10688;200649
10392;200316
10724;200478
10303;200287
10538;200188
10571;200033
10340;200841
10039;200891
10878;200918
10108;200823
10793;200060
10025;200973
10523;200084
10908;200355
10480;200289
10444;200648
10076;200960
10924;200995
10852;200656
10398;200037
10068;200672
10765;200454
10557;200300
10691;200997
10988;200681
10223;200501
10938;200816
10012;200838
10859;200273
10910;200399
10815;200940
10157;200054
10133;200666
10765;200976
10710;200430
10460;200891
10287;200305
10685;200506
10560;200152
10464;200029
10015;200471
10723;200737
10576;200952
10531;200092
10584;200791
10785;200627
10920;200227
10161;200588
10447;200663
10478;200942
10214;200080
10214;200709
10168;200210
10690;200178
10573;200067
10586;200612
10564;200193
10080;200106
10885;200391
10467;200292
10835;200217
10162;200250
10698;200036
10985;200493
10572;200981
10303;200545
10650;200801
10184;200810
10350;200671
10821;200916
10710;200329
10768;200355
10281;200899
10408;200892
10666;200545
10113;200662
10939;200944
10036;200719
10723;200964
10318;200579
10054;200674
10028;200420
10110;200939
10985;200645
10791;200029
10927;200983
10798;200374
10098;200728
10932;200565
10525;200040
10114;200583
10737;200213
10402;200959
10448;200613
10556;200712
10346;200563
10437;200057
10683;200263
10605;200967
10325;200011
10664;200480
10108;200005
10249;200289
10640;200384
10390;200625
10854;200357
10971;200698
10910;200018
10699;200992
10406;200483
10882;200479
10592;200339
10918;200062
10188;200793
10475;200555
10793;200653
10882;200327
10124;200242
10238;200942
10321;200674
10272;200994
10290;200580
10250;200223
10648;200731
10944;200520
10995;200275
10952;200471
10908;200114
10348;200703
10330;200973
10931;200118
10933;200447
10481;200069
10155;200500
10518;200142
10620;200508
10331;200437
10442;200338
10086;200249
10115;200449
10400;200657
10505;200240
10904;200492
10423;200078
10076;200886
10315;200150
10600;200287
10841;200130
10566;200715
10476;200761
10781;200022
10019;200839
10969;200107
10612;200655
10964;200935
10645;200375
10968;200499
10291;200891
10903;200723
10921;200121
10940;200629
10848;200019
10454;200153
10046;200452
10528;200876
10414;200313
10597;200905
10296;200987
10446;200781
10326;200571
10845;200451
10179;200887
10576;200510
10021;200027
10206;200525
10330;200847
10491;200986
10912;200734
10180;200100
10508;200555
10089;200440
10305;200493
10821;200734
10101;200529
10564;200748
10709;200063
10530;200294
10038;200916
10388;200394
10557;200376
10385;200883
10491;200588
10766;200271
10940;200465
10838;200710
10628;200412
10395;200894
10609;200394
10080;200447
10980;200004
10128;200065
10517;200760
10178;200148
10179;200889
10738;200378
10855;200106
10809;200305
10592;200470
10366;200011
10603;200171
10176;200515
10677;200525
10689;200005
10872;200962
10877;200090
10322;200396
10601;200161
10578;200049
10591;200909
10168;200641
10858;200520
10981;200602
10421;200885
10550;200824
10506;200556
10638;200064
10953;200052
10759;200718
10983;200498
10173;200233
10762;200840
10158;200056
10967;200190
10815;200581
10835;200239
10706;200805
10444;200775
10308;200263
10949;200798
10758;200606
10066;200056
10766;200576
10011;200196
10175;200614
10592;200454
10806;200902
10846;200068
10801;200272
10355;200250
10428;200456
10779;200652
10254;200250
10448;200700
10580;200289
10414;200315
10832;200655
10299;200653
10131;200595
10974;200427
10145;200534
10815;200069
10945;200002
10284;200555
10088;200506
10336;200837
10384;200955
10790;200159
10882;200666
10596;200181
10532;200632
10902;200493
10853;200155
10845;200443
10064;200619
10901;200908
10938;200293
10832;200835
10729;200407
10697;200660
10625;200580
10805;200753
10551;200028
10362;200613
10029;200807
10644;200516
10864;200286
10694;200045
10004;200912
10521;200950
10238;200647
10596;200112
10024;200217
10774;200105
10358;200474
10831;200796
10831;200729
10924;200750
10507;200552
10586;200288
10569;200733
10102;200040
10883;200294
10264;200230
10744;200749
10197;200985
10726;200249
10451;200832
10977;200047
10429;200597
10009;200898
10690;200929
10511;200336
10218;200830
10993;200547
10399;200179
10634;200655
10113;200290
10885;200792
10515;200538
10456;200562
10202;200146
10680;200221
10700;200385
10835;200103
10071;200192
10114;200252
10265;200117
10158;200264
10346;200930
10899;200256
10602;200512
10404;200362
10348;200570
10796;200003
10811;200424
10874;200809
10237;200191
10434;200640
10030;200763
10826;200368
10636;200156
10822;200997
10389;200281
10801;200702
10176;200678
10106;200699
10641;200707
10560;200967
10469;200866
10278;200309
10712;200374
10064;200306
10281;200069
10538;200900
10407;200806
10994;200971
10253;200106
10004;200206
10948;200931
10287;200500
10177;200354
10623;200751
10084;200421
10227;200920
10129;200584
10289;200920
10359;200734
10031;200998
10621;200711
10406;200352
10897;200755
10024;200533
10982;200191
10681;200118
10656;200897
10759;200365
10436;200879
10361;200713
10375;200216
10272;200959
10791;200158
10051;200583
10172;200239
10356;200332
10070;200050
10831;200395
10445;200680
10152;200440
10612;200872
10296;200042
10712;200555
10716;200876
10505;200561
10824;200820
10010;200238
10270;200312
10488;200586
10251;200553
10831;200252
10055;200699
10032;200121
10055;200719
10074;200304
10527;200530
10527;200542
10238;200758
10083;200057
10928;200144
10848;200621
10730;200027
10465;200069
10246;200397
10820;200931
10044;200079
10552;200950
10532;200851
10380;200770
10898;200538
