DPhenotypeID;DiseaseDomainID
81627037;78963
60572304;79926
81916590;81004
7661323;79926
93735971;42458
8802516;52970
75113101;93581
99930997;21633
36615881;97299
60572304;40454
43939793;10041
1324527;53093
69071528;66212
69279476;22885
78300811;10526
67745201;46114
2582184;78940
91307919;70194
89033300;26449
45427966;41172
96873137;91634
15888089;67916
89700416;14338
37877141;79926
34115401;42685
50404821;52519
10734403;85205
18747183;74041
3657551;67315
32639623;83068
97100516;91238
88767595;68183
27316556;59667
74870866;40018
1575900;24592
81466141;45640
67172629;91418
9327576;58567
46151272;28800
93735971;82060
75849683;32235
74217086;38143
97724829;27458
10734403;65908
30389531;86033
78138777;98073
1324527;49401
55578308;98263
51880162;20581
37161652;81997
56438011;47212
2121517;70194
82569441;86333
69046666;56765
75682489;25526
53819046;63352
13892267;43538
2582184;95552
13563239;53090
40043824;91857
15888089;45876
36615881;71827
37877141;78007
4415893;43708
63591222;59047
31770034;78813
57420166;92557
16372195;56954
88461606;39746
60290690;85799
86487950;67315
22359738;41673
65590415;50953
8126260;75618
75849683;63539
76123278;21553
20054858;63539
78138777;39200
7172318;73899
70908850;64580
29215979;34868
48513836;78430
3667133;24032
52974640;64217
50670598;24349
73613006;75147
93129214;43191
15545578;90708
20054858;66688
20683334;57403
98759780;43260
28639688;72291
50670598;73419
98649938;31202
9327576;40930
81661455;91857
90832476;79602
81472411;55174
66324097;80269
6614114;94972
51828952;68941
83578758;76313
7412763;87356
25697005;65221
11637266;92481
42506697;51467
32639623;57069
57410970;70116
94157159;81004
2582184;77943
87000576;50045
62505040;65029
83795173;68517
54561417;44751
84271689;31352
12656478;25465
31770034;71876
34049285;81258
11384100;59050
96305445;83666
87905053;95064
92316341;87793
78300811;66123
80464791;82788
15540134;10595
84564444;20899
10734403;77579
68846757;32114
47404878;96348
65580274;17865
60902695;80200
8594645;23374
23200151;19800
29215979;99864
64194024;68517
86055965;68270
71369248;82676
37161652;16822
62981302;38143
50404821;11553
22289690;67916
69466842;90708
84271689;72094
78300811;28676
2522683;61682
23675378;36521
87000576;37235
62877461;43612
59246109;30629
49388415;76166
65580274;64055
11384100;73814
55578308;64217
23200151;24699
91697155;91857
8594645;23421
84059324;50362
74870866;58567
37877141;42088
45750508;60778
22026295;65211
67745201;97191
11531832;78430
49262226;89159
76123278;89975
10734403;87127
66324097;77958
84271689;63646
1525338;45131
17614506;78991
12885505;45538
78300811;37738
57420166;68945
94288482;80173
94157159;92555
99766167;64163
22823140;61236
57556581;41171
20923901;12188
55421120;94365
75849683;15899
8126260;28753
13563239;50970
86487950;31142
94358019;89814
97752836;25277
15545578;78254
41839121;68429
90110001;87786
10206726;15469
28639688;46962
87728664;70130
77188692;79470
63591222;99657
62981302;30590
57420166;80162
93883477;72309
12656478;20521
3667133;45679
9484880;99607
67697813;24454
36615881;93020
40783664;29622
68469783;79522
20668619;29338
15540134;78546
35909788;92557
48726308;91259
16720935;68270
30837877;43191
68401935;87283
9352487;48194
59984871;53724
67551805;49440
10206726;96846
74870866;49906
19297007;22725
50670598;86477
32639623;37432
73777075;45250
6614114;92746
79790663;26889
69956505;71993
59918800;35478
60572304;78353
59918800;56954
15084609;96810
66324097;94154
39364193;87757
66324097;71993
9290778;79758
63290350;87095
71593595;87370
48513836;78940
26914011;85617
94358019;74358
78300811;13826
96810636;55454
45750508;40889
41839121;94906
90324654;46962
5441742;86033
36407870;47562
33974145;23421
10206726;48195
96305445;98073
96272970;89250
75682489;69239
88767595;43091
38237426;19377
77307263;73425
1374828;50245
76214135;40889
40783664;90340
89544637;56985
97100516;88948
89544637;27393
56047243;49906
49457118;77557
33942775;57019
71593595;97960
6614114;71876
82059726;25915
93904753;99825
6638629;47562
87000576;96698
60572304;98163
89033300;11112
62505040;82788
43521232;59050
94834245;58612
39292055;96588
53420940;76313
33538398;53671
93883477;10358
87728664;25775
40783664;20581
94288482;85980
75849683;13826
71369248;10528
8594645;23895
49457118;31077
15084609;55164
28988568;42767
49457118;37708
20668619;43334
22720730;16989
37181434;42938
71922760;43082
83948955;29043
48149250;67288
88461606;98563
52259700;95064
96873137;30843
93801161;67606
16372195;15899
45243218;96325
62901672;33938
79755779;96344
80456143;68517
84620935;64576
60572304;40454
6985433;86057
98759780;63837
57420166;14576
68761604;62678
93801161;50650
72640118;47377
64938244;72828
90323651;22705
5795017;78254
7412763;59595
75113101;15861
49434587;80362
30811150;42961
66985423;24517
12008896;30435
76123278;88108
95493169;31731
68507500;66212
70340492;55201
64938244;96333
3436156;68743
59932291;67540
48296095;78430
89826279;66354
48476685;72938
12885505;43612
75682489;25909
79193027;94906
88461606;11553
50670598;37708
86436664;28369
44480195;21553
2582184;29788
56682334;41172
8557331;16619
11637266;10528
80456143;78940
96735215;20673
25528714;69096
62653288;52556
80456143;98563
79366594;35038
89292317;65730
43888938;96738
49263868;14600
67172629;42104
83491616;86718
95119431;27976
32938402;93797
46581193;40889
38237426;75728
55366895;83223
96082838;38143
20668619;53085
81627037;73668
1324527;26620
57556581;42867
89033300;55612
82978845;47192
91697155;31147
32453517;38975
93904753;51525
64194024;66212
66799088;98366
38564411;26889
22823140;98959
86487950;50990
45659756;37857
85595851;11112
69071528;79251
93298300;53671
38203442;45715
78493699;53093
36217745;29601
16867760;60640
52259700;77750
60853323;80263
81841924;71993
76954740;33212
4505061;96846
7661323;52874
89292317;58094
84700501;19800
45777016;65722
24415581;64169
71372622;98611
43521232;68331
63433095;38377
11637266;43612
80456143;28800
36217745;64182
3436156;56606
82517449;86333
18286667;13165
55421120;48815
45777016;16019
95772550;65550
76123278;73089
62994015;96864
7661323;62399
18286667;12784
22289690;36349
11531832;55454
72854193;64334
1525338;78007
68761604;76313
42129353;64369
3667133;56121
33924088;51878
28988568;97856
46151272;64182
59992756;23908
46922324;77065
33401065;22480
85595851;42685
63290350;16828
49457118;86451
71435639;82365
34321504;92020
90462014;17988
33924088;17286
59932291;96868
55546482;40018
16720935;37297
10206726;66104
28740086;70752
62655042;97625
53819046;35749
36615881;94978
59992756;81002
66799088;45538
95608480;49887
20683334;90925
23200151;73517
6083236;37297
92562698;59555
44480195;44438
9094315;56831
9094315;87281
62091660;40685
82970133;49238
26328519;42088
94288482;65908
3657551;52505
91307919;63306
46418896;28039
9112695;17568
63386886;48003
40043824;32235
2582184;55201
62994015;18227
84564444;11780
62505040;75691
1374828;67288
64590598;27893
48149250;81258
32625789;43802
31635662;34644
19468788;65029
94492932;88913
34321504;43260
92316341;24517
71435639;75921
13563239;22125
52974640;83666
92316341;89876
16867760;19857
68915095;34091
78493699;55612
71369248;29622
59932291;64369
78300811;99607
33924088;14600
93129214;89159
93801161;26217
94157159;83629
94747388;92498
88122342;19414
91307919;92240
23200151;73899
88122342;68941
84407473;78767
25126957;83068
48549487;94115
90462014;25902
17304277;45250
76934755;50990
71912014;80420
55366895;31394
97189872;89828
82059726;37665
19468788;96864
89733381;87355
88873765;53093
45659756;99825
12266609;35554
44480195;75129
60788709;13214
5795017;11834
83856149;26925
42506697;26889
78300811;24742
71369248;96318
37161652;75728
80456143;74833
94288482;82521
20242244;77958
52875660;40930
8802516;48020
23200151;87786
4637138;78828
54226051;31794
60065189;78383
84231762;79518
93904753;29622
32625789;96713
33942775;19611
80627300;25556
75113101;24208
54497411;15459
71966592;31202
15888089;90328
78493699;34868
93237854;29043
15540134;78767
75074833;22885
1869144;31147
36407870;47974
24103076;20673
39209288;59825
55546482;68064
56905519;61236
35909788;91634
3436156;50029
34215455;92579
32453517;10091
64095666;76970
26707462;90078
9781898;37708
80627300;97829
3372670;24742
39292055;71993
94492932;10528
76123278;22705
86210422;24258
9112695;10336
96735215;89391
72241969;41802
82735533;35749
57798384;34732
38237426;93626
96082838;29043
97100516;91218
23678844;20012
74870866;68881
11531832;24032
82802313;16828
44480195;88657
60290690;52874
79790052;15552
85587939;23201
59918800;89124
7661323;50650
62948921;88310
28230804;86492
79790663;18681
14826949;83981
88122342;38036
12735787;59825
80464791;79518
60853323;78991
2522683;79426
56905519;44230
93735971;40784
71369248;38805
7009481;17071
40552101;33212
86055965;18507
37877141;80171
57420166;30519
75849683;82985
43927325;51878
20304031;67017
89826279;14319
59477434;39359
26914011;30633
43521232;77057
12798764;31731
33974145;61672
50112329;59595
48149250;10358
27316556;75691
7122716;10091
12798764;42767
43521232;99864
81272952;25818
67607815;83321
84271689;28020
55547094;22125
62091660;41155
18747183;49122
62091660;90112
1374828;88913
60902695;53671
21610224;77943
91307919;68811
36798225;40483
8126260;87355
62994015;37708
79193027;74358
3436156;83508
98473553;42550
7009481;19377
49457118;60532
30393581;28369
72632964;86718
9327576;14319
71931393;18227
12735787;88142
33942775;31185
59821672;19845
18747183;86033
99930997;77750
44666818;22705
76123278;11852
36407870;43941
68846757;70351
54497411;49289
8594645;30843
26660137;24349
52974640;85799
22119315;27071
80609190;40454
98473553;31497
89544637;36440
38237426;79522
70340492;22279
94157159;47562
23675378;18203
99094220;78007
69466842;49401
75590355;86142
35909788;87613
28479259;75728
41839121;51199
95772550;39359
88122342;45434
74870866;87355
48296095;38805
40334488;86718
22823140;36440
57525161;60504
34321504;74833
68846757;13722
56047243;89480
94492932;72094
3667133;12784
89664732;90708
95070741;66354
81993744;34644
83795173;94384
73960066;87095
32453517;10528
70917864;17568
31770034;51467
20054858;25526
66580137;63722
94157159;45810
99766167;86057
