ICDCodeID;ICDCode;ICDType;ICDDesc
236502;T2210XD;procedure;Burn first deg of shldr/up lmb, ex wrs/hnd, unsp site, subs
583341;H01149;diagnosis;Xeroderma of unspecified eye, unspecified eyelid
452823;B9739;diagnosis;Oth retrovirus as the cause of diseases classified elsewhere
166110;S67191S;procedure;Crushing injury of left index finger, sequela
462696;V6929XA;diagnosis;Occup of hv veh injured in collision w oth mv nontraf, init
266782;S92032K;diagnosis;Displ avuls fx tuberosity of l calcaneus, 7thK
414435;P120;procedure;Cephalhematoma due to birth injury
283263;V9185XD;procedure;Oth injury due to oth accident to canoe or kayak, subs
483161;S32475D;diagnosis;Nondisp fx of med wall of l acetab, subs for fx w routn heal
504656;T24599D;diagnosis;Corros 1st deg mult sites of unsp low limb, ex ank/ft, subs
856665;C186;procedure;Malignant neoplasm of descending colon
476256;N473;procedure;Deficient foreskin
665344;T443X3A;diagnosis;Poisoning by oth parasympath and spasmolytics, assault, init
467905;S32474D;procedure;Nondisp fx of med wall of r acetab, subs for fx w routn heal
848182;S75019S;diagnosis;Minor laceration of femoral artery, unspecified leg, sequela
346524;T44902A;procedure;Poisn by unsp drugs aff the autonm nrv sys, slf-hrm, init
603604;P509;diagnosis;Newborn affected by intrauterine (fetal) blood loss, unsp
355002;S91012S;procedure;Laceration without foreign body, left ankle, sequela
270475;S22041S;diagnosis;Stable burst fracture of fourth thoracic vertebra, sequela
922011;M85462;diagnosis;Solitary bone cyst, left tibia and fibula
679864;N501;diagnosis;Vascular disorders of male genital organs
762167;T592X2D;procedure;Toxic effect of formaldehyde, intentional self-harm, subs
428176;S1214XB;diagnosis;Type III traum spondylolysis of 2nd cervcal vert, 7thB
336222;C158;diagnosis;Malignant neoplasm of overlapping sites of esophagus
439344;V2969XS;procedure;Unsp mtrcy rider injured in clsn w oth mv in traf, sequela
358379;I6301;diagnosis;Cerebral infarction due to thrombosis of vertebral artery
663504;O722;diagnosis;Delayed and secondary postpartum hemorrhage
351898;V219XXD;diagnosis;Unsp mtrcy rider injured in clsn w pedl cyc in traf, subs
251010;S56414D;diagnosis;Strain extn musc/fasc/tend l mid finger at forarm lv, subs
521948;T23302D;diagnosis;Burn of third degree of left hand, unsp site, subs encntr
141449;V485XXA;procedure;Car driver injured in nonclsn trnsp accident in traf, init
293401;S32453D;procedure;Displ transverse fx unsp acetab, subs for fx w routn heal
448886;S82873K;diagnosis;Displaced pilon fx unsp tibia, subs for clos fx w nonunion
143805;T24202A;procedure;Burn 2nd deg of unsp site left lower limb, ex ank/ft, init
445222;V439;procedure;Unsp car occupant injured pick-up truck, pk-up/van in traf
657393;M84532P;procedure;Path fx in neopltc disease, l ulna, subs for fx w malunion
458554;T84063;procedure;Wear of artic bearing surface of internal prosth l knee jt
452280;S82466G;diagnosis;Nondisp seg fx shaft of unsp fibula, 7thG
638871;I25790;diagnosis;Atherosclerosis of CABG w unstable angina pectoris
850965;O139;procedure;Gestational htn w/o significant proteinuria, unsp trimester
487763;E083513;procedure;Diabetes with prolif diabetic rtnop with macular edema, bi
418190;S21142S;procedure;Pnctr w fb of l frnt wl of thorax w/o penet thor cav, sqla
375516;T382X5A;procedure;Adverse effect of antithyroid drugs, initial encounter
162418;H4062X0;procedure;Glaucoma secondary to drugs, left eye, stage unspecified
469797;S31140;diagnosis;Pnctr of abd wall w fb, right upper q w/o penet perit cav
139310;T452X6A;diagnosis;Underdosing of vitamins, initial encounter
380682;S90821A;diagnosis;Blister (nonthermal), right foot, initial encounter
362807;S90852S;diagnosis;Superficial foreign body, left foot, sequela
465967;O411299;diagnosis;Chorioamnionitis, unspecified trimester, other fetus
416059;T480X4;diagnosis;Poisoning by oxytocic drugs, undetermined
581759;S8292XM;procedure;Unsp fx l low leg, subs for opn fx type I/2 w nonunion
968823;S72309G;procedure;Unsp fx shaft of unsp femur, subs for clos fx w delay heal
536817;S96001D;diagnosis;Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, r ft, subs
747731;S52102Q;diagnosis;Unsp fx upr end l rad, subs for opn fx type I/2 w malunion
534572;W1831XA;procedure;Fall on same level due to stepping on an object, init encntr
526805;J62;procedure;Pneumoconiosis due to dust containing silica
749821;M96841;procedure;Postproc hematoma of a ms structure fol other procedure
747460;T560X3;diagnosis;Toxic effect of lead and its compounds, assault
991657;I70431;procedure;Athscl autol vein bypass of the right leg w ulcer of thigh
219004;A288;diagnosis;Oth zoonotic bacterial diseases, not elsewhere classified
921355;M71171;diagnosis;Other infective bursitis, right ankle and foot
998475;W15;procedure;Fall from cliff
654171;T533X2A;diagnosis;Toxic effect of tetrachloroethylene, self-harm, init
710855;S52212;procedure;Greenstick fracture of shaft of left ulna
208302;M93912;diagnosis;Osteochondropathy, unspecified, left shoulder
459289;S62636D;procedure;Disp fx of dist phalanx of r lit fngr, 7thD
421491;S62637K;diagnosis;Disp fx of dist phalanx of l lit fngr, 7thK
183981;T366X1D;diagnosis;Poisoning by rifampicins, accidental (unintentional), subs
541710;S32463S;diagnosis;Displaced associated transv/post fx unsp acetabulum, sequela
308150;S62354D;diagnosis;Nondisp fx of shaft of 4th MC bone, r hand, 7thD
645682;Z9102;diagnosis;Food additives allergy status
118748;X004XXS;procedure;Hit by object from burning bldg in uncntrld fire, sequela
442474;M67279;procedure;Synovial hypertrophy, NEC, unsp ankle and foot
912283;W340;procedure;Accidental discharge from other and unsp firearms and guns
347964;H521;diagnosis;Myopia
442187;S72392B;procedure;Oth fx shaft of left femur, init for opn fx type I/2
334600;H5360;diagnosis;Unspecified night blindness
601734;W16812A;procedure;Jump/div into oth water strk surfc causing oth injury, init
984396;S610;procedure;Open wound of thumb without damage to nail
828683;S56119;procedure;Strain of flexor musc/fasc/tend of unsp fngr at forarm lv
451433;S82876E;procedure;Nondisp pilon fx unsp tibia, 7thE
209198;S60211A;diagnosis;Contusion of right wrist, initial encounter
181970;S56222;diagnosis;Laceration of flexor musc/fasc/tend at forarm lv, left arm
847304;S92351;procedure;Displaced fracture of fifth metatarsal bone, right foot
763202;V665XXD;diagnosis;Driver of hv veh inj in clsn w nonmtr vehicle in traf, subs
230693;V5960XD;diagnosis;Occup of pk-up/van injured in clsn w unsp mv in traf, subs
572318;Z028;procedure;Encounter for other administrative examinations
539028;S72441N;diagnosis;Disp fx of low epiphy (separation) of r femr, 7thN
706124;S98022A;procedure;Partial traumatic amp of left foot at ankle level, init
817137;S58111;procedure;Complete traum amp at level betw elbow and wrist, right arm
368728;S76302;diagnosis;Unsp inj msl/fasc/tnd posterior grp at thi lev, left thigh
513123;H0102;procedure;Squamous blepharitis
177917;V28;procedure;Motorcycle rider injured in noncollision transport accident
649266;E10349;procedure;Type 1 diab w severe nonprlf diab rtnop w/o macular edema
707394;D176;procedure;Benign lipomatous neoplasm of spermatic cord
423194;T442X6D;diagnosis;Underdosing of ganglionic blocking drugs, subs encntr
664273;S58021S;diagnosis;Partial traumatic amp at elbow level, right arm, sequela
404579;E0781;procedure;Sick-euthyroid syndrome
888179;V26;procedure;Motorcycle rider injured in collision w oth nonmotor vehicle
929084;T24791A;diagnosis;Corros 3rd deg mu sites of right lower limb, ex ank/ft, init
453689;T20511;diagnosis;Corrosion of first degree of right ear
248213;S36229S;procedure;Contusion of unspecified part of pancreas, sequela
414699;Z207;procedure;Cntct w & expsr to pediculosis, acariasis & oth infestations
330949;M9701XD;diagnosis;Periprosth fracture around internal prosth r hip jt, subs
282045;T45514A;procedure;Poisoning by anticoagulants, undetermined, initial encounter
926049;S72115Q;diagnosis;Nondisp fx of greater trochanter of l femr, 7thQ
636315;S68529S;diagnosis;Partial traumatic trnsphal amputation of thmb, sequela
802948;V654XXD;procedure;Prsn brd/alit hv veh injured in clsn w rail trn/veh, subs
516426;T65892A;diagnosis;Toxic effect of oth substances, intentional self-harm, init
895860;T23762A;procedure;Corrosion of third degree of back of left hand, init encntr
798815;T592X4;diagnosis;Toxic effect of formaldehyde, undetermined
675463;Z85819;procedure;Prsnl hx of malig neoplm of unsp site lip,oral cav,& pharynx
439761;S96112D;procedure;Strain msl/tnd lng extn msl toe at ank/ft lev, l foot, subs
286599;S66422S;diagnosis;Lacerat intrns musc/fasc/tend l thm at wrs/hnd lv, sequela
332085;X060;diagnosis;Exposure to ignition of plastic jewelry
606904;S21259A;procedure;Open bite of unsp bk wl of thorax w/o penet thor cav, init
230017;S52612C;procedure;Disp fx of l ulna styloid pro, init for opn fx type 3A/B/C
443825;S66191;diagnosis;Inj flexor musc/fasc/tend left index finger at wrs/hnd lv
473700;M8961;procedure;Osteopathy after poliomyelitis, shoulder
589589;S82862K;diagnosis;Displ Maisonneuve's fx left leg, subs for clos fx w nonunion
467842;S82114K;diagnosis;Nondisp fx of r tibial spine, subs for clos fx w nonunion
207585;M4643;diagnosis;Discitis, unspecified, cervicothoracic region
426897;N810;diagnosis;Urethrocele
653564;T24322;procedure;Burn of third degree of left knee
124114;S72134S;diagnosis;Nondisplaced apophyseal fracture of right femur, sequela
424644;S45192S;procedure;Oth injury of brachial artery, left side, sequela
736191;T25132A;procedure;Burn of first degree of left toe(s) (nail), init encntr
233438;S92143D;diagnosis;Displaced dome fx unsp talus, subs for fx w routn heal
812030;Y36240S;diagnosis;War op w explosn due to acc disch of own munit, milt, sqla
644540;T24021S;diagnosis;Burn of unspecified degree of right knee, sequela
527870;S37061S;procedure;Major laceration of right kidney, sequela
947749;W34010;diagnosis;Accidental discharge of airgun
337057;S82234M;diagnosis;Nondisp oblique fx shaft of r tibia, 7thM
616263;S72061A;diagnosis;Displaced articular fracture of head of right femur, init
674527;G893;diagnosis;Neoplasm related pain (acute) (chronic)
282296;V00312;procedure;Snowboarder colliding with stationary object
623785;F0634;diagnosis;Mood disorder due to known physiol cond w mixed features
670454;M2334;diagnosis;Oth meniscus derangements, anterior horn of lateral meniscus
676602;S68712S;diagnosis;Complete traumatic transmetcrpl amp of left hand, sequela
463612;P0702;procedure;Extremely low birth weight newborn, 500-749 grams
697152;I39;diagnosis;Endocarditis and heart valve disord in dis classd elswhr
459082;C7B03;diagnosis;Secondary carcinoid tumors of bone
954679;J8403;diagnosis;Idiopathic pulmonary hemosiderosis
830027;T83512A;diagnosis;I/I react d/t nephrostomy catheter, initial encounter
309217;O3120X1;procedure;Cont preg aft uterin dth of one fts or more, unsp tri, fts1
104023;W5632XS;diagnosis;Struck by other marine mammals, sequela
536725;V675XXD;diagnosis;Driver of hv veh inj in clsn w statnry object in traf, subs
995624;S46319A;diagnosis;Strain of musc/fasc/tend triceps, unsp arm, init
431092;M06822;diagnosis;Other specified rheumatoid arthritis, left elbow
282412;T83038A;diagnosis;Leakage of other urinary catheter, initial encounter
615892;L102;diagnosis;Pemphigus foliaceous
500012;T382X;diagnosis;Antithyroid drugs
984299;S37061D;diagnosis;Major laceration of right kidney, subsequent encounter
246688;S63650;diagnosis;Sprain of metacarpophalangeal joint of right index finger
940804;P769;diagnosis;Intestinal obstruction of newborn, unspecified
574157;T2419;diagnosis;Burn of first deg mult sites of lower limb, except ank/ft
918991;C8175;procedure;Other Hodgkin lymphoma, nodes of ing region and lower limb
917947;S85412D;diagnosis;Lacerat less saphenous at lower leg level, left leg, subs
135770;M08019;procedure;Unsp juvenile rheumatoid arthritis, unspecified shoulder
190822;S064X9D;diagnosis;Epidural hemorrhage w LOC of unsp duration, subs
940616;S56222S;diagnosis;Lacerat flexor musc/fasc/tend at forarm lv, left arm, sqla
209255;T8781;procedure;Dehiscence of amputation stump
488417;S43034;diagnosis;Inferior dislocation of right humerus
867978;S62622D;procedure;Disp fx of med phalanx of r mid fngr, 7thD
412242;T493X5;procedure;Adverse effect of emollients, demulcents and protectants
679521;T24299D;diagnosis;Burn 2nd deg mul sites of unsp lower limb, ex ank/ft, subs
214845;T34821;diagnosis;Frostbite with tissue necrosis of right foot
378338;T361X2;diagnosis;Poisoning by cephalospor/oth beta-lactm antibiot, self-harm
795215;M84571;procedure;Pathological fracture in neoplastic disease, right ankle
603707;L819;diagnosis;Disorder of pigmentation, unspecified
647616;S82242A;procedure;Displaced spiral fracture of shaft of left tibia, init
902193;M4310;procedure;Spondylolisthesis, site unspecified
921636;R85;diagnosis;Abnormal findings in specimens from dgstv org/abd cav
582278;I69212;procedure;Vis def/sptl nglct following other ntrm intcrn hemorrhage
198517;M85331;diagnosis;Osteitis condensans, right forearm
591075;S52241E;procedure;Displ spiral fx shaft of ulna, r arm, 7thE
424873;S90443D;diagnosis;External constriction, unspecified great toe, subs encntr
245033;S52355M;diagnosis;Nondisp commnt fx shaft of rad, l arm, 7thM
737043;O98811;diagnosis;Oth maternal infec/parastc diseases comp preg, first tri
117681;S72116C;procedure;Nondisp fx of greater trochanter of unsp femr, 7thC
494319;V6940XA;diagnosis;Driver of hv veh injured in clsn w unsp mv in traf, init
821817;S66099A;diagnosis;Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, init
106971;D47Z2;procedure;Castleman disease
776414;S06312A;diagnosis;Contus/lac right cerebrum w LOC of 31-59 min, init
144335;S23110S;diagnosis;Subluxation of T1/T2 thoracic vertebra, sequela
475397;S82892C;procedure;Oth fracture of left lower leg, init for opn fx type 3A/B/C
422446;S42232D;procedure;3-part fx surg neck of l humerus, subs for fx w routn heal
625431;S062X7D;diagnosis;Diffuse TBI w LOC w death due to brain injury bf consc, subs
396555;O882;procedure;Obstetric thromboembolism
848677;M8584;diagnosis;Oth disrd of bone density and structure, hand
760413;T33532A;procedure;Superficial frostbite of left finger(s), initial encounter
615898;K50018;diagnosis;Crohn's disease of small intestine with other complication
203346;M84431K;procedure;Pathological fracture, right ulna, subs for fx w nonunion
727893;T84194;diagnosis;Mech compl of internal fixation device of right femur
295662;S59242;procedure;Sltr-haris Type IV physeal fx lower end radius, left arm
907000;S81839;diagnosis;Puncture wound without foreign body, unspecified lower leg
212305;T4792XS;procedure;Poisoning by unsp agents aff the GI sys, self-harm, sequela
230011;S72326Q;diagnosis;Nondisp transverse fx shaft of unsp femr, 7thQ
953764;I6523;procedure;Occlusion and stenosis of bilateral carotid arteries
587939;M89269;diagnosis;Oth disorders of bone development and growth, unsp lower leg
305962;T23162;procedure;Burn of first degree of back of left hand
424946;S68511;diagnosis;Complete traumatic transphalangeal amputation of right thumb
676448;S5001XS;diagnosis;Contusion of right elbow, sequela
865399;T23719S;procedure;Corrosion of third degree of unsp thumb (nail), sequela
946354;S75021S;procedure;Major laceration of femoral artery, right leg, sequela
644714;T365X5;procedure;Adverse effect of aminoglycosides
889279;S55802;diagnosis;Unsp injury of oth blood vessels at forearm level, left arm
821929;M9069;diagnosis;Osteitis deformans in neoplastic diseases, multiple sites
467684;S62165D;diagnosis;Nondisp fx of pisiform, left wrist, subs for fx w routn heal
159857;S82852A;diagnosis;Displaced trimalleolar fracture of left lower leg, init
829752;Z89202;diagnosis;Acquired absence of left upper limb, unspecified level
648346;S66110S;diagnosis;Strain flexor musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
978907;M06222;diagnosis;Rheumatoid bursitis, left elbow
222994;H469;diagnosis;Unspecified optic neuritis
925115;S51052;procedure;Open bite, left elbow
553295;H33041;procedure;Retinal detachment with retinal dialysis, right eye
369996;D0321;diagnosis;Melanoma in situ of right ear and external auricular canal
263907;S62253P;procedure;Disp fx of nk of 1st MC bone, unsp hand, 7thP
447485;S83501A;procedure;Sprain of unsp cruciate ligament of right knee, init encntr
439032;A778;procedure;Other spotted fevers
607045;S20312D;procedure;Abrasion of left front wall of thorax, subsequent encounter
767195;S82442D;procedure;Displ spiral fx shaft of l fibula, 7thD
356178;S36229;diagnosis;Contusion of unspecified part of pancreas
902374;N219;procedure;Calculus of lower urinary tract, unspecified
906673;S61159;procedure;Open bite of unspecified thumb with damage to nail
677948;S82191C;procedure;Oth fx upper end of right tibia, init for opn fx type 3A/B/C
410448;T475X2A;procedure;Poisoning by digestants, intentional self-harm, init encntr
711133;V890XXA;procedure;Person injured in unsp motor-vehicle accident, nontraf, init
920919;M6083;diagnosis;Other myositis, forearm
842297;C4712;diagnosis;Malig neoplm of prph nerves of left upper limb, inc shoulder
528007;S27392D;procedure;Other injuries of lung, bilateral, subsequent encounter
404125;M8480;procedure;Other disorders of continuity of bone, unspecified site
234454;S86029S;procedure;Laceration of unspecified Achilles tendon, sequela
217572;S52301;diagnosis;Unspecified fracture of shaft of right radius
804527;S6085;diagnosis;Superficial foreign body of wrist
866123;V733XXD;procedure;Occup of bus injured pick-up truck, pk-up/van nontraf, subs
841325;S45399A;diagnosis;Inj superficial vein at shldr/up arm, unsp arm, init
241322;M10342;procedure;Gout due to renal impairment, left hand
968860;O29191;diagnosis;Oth cardiac comp of anesth during pregnancy, first trimester
889654;T798XXD;diagnosis;Other early complications of trauma, subsequent encounter
862159;M87134;procedure;Osteonecrosis due to drugs of right ulna
155140;T23712;procedure;Corrosion of third degree of left thumb (nail)
880271;S49022D;procedure;Sltr-haris Type II physl fx upr end humer, l arm, 7thD
222586;E083392;diagnosis;Diab with moderate nonp rtnop without macular edema, l eye
103525;S82041S;diagnosis;Displaced comminuted fracture of right patella, sequela
842129;T83;procedure;Complications of genitourinary prosth dev/grft
495762;S82855S;diagnosis;Nondisplaced trimalleolar fracture of l low leg, sequela
571161;W18;procedure;Other slipping, tripping and stumbling and falls
330429;T22461;diagnosis;Corrosion of unspecified degree of right scapular region
460485;V6981;procedure;Occupant of hv veh injured in trnsp acc w military vehicle
