LPhenotypeID;LOINCID
59000024;1700497
40334488;7267499
93801161;1154640
66120417;9516064
43813594;5053077
68761604;4270527
20112359;7211060
85088386;7473528
6917526;4164576
40019232;2002643
99876461;2211562
49932615;8702617
6352134;2925471
75682489;7043596
55366895;7538705
91692938;1201664
64194024;3991026
16613978;9299062
47745584;9152544
11157900;2254312
39558574;1858278
97567575;7043596
87000576;4429342
70248928;5219552
64095666;6822579
91412977;8035790
36629081;3433309
18926850;4743294
98331265;4523129
14826949;4731847
25063804;2166930
83652009;3778206
9708850;8062320
90489166;4983028
58023014;3421107
83856149;2718627
82059726;6901541
82802313;7930134
66020161;8214552
3372670;6140479
40519932;4927685
90096693;8636803
56185859;2764486
30811150;2767757
61733127;6455223
1869144;8914366
67697813;3172053
96082838;8536280
96810636;6010348
40852475;9707076
24512874;1060125
99582542;6753795
87967224;4031338
76824063;1742131
15649949;6765739
91692938;3399163
49073119;9257583
89033300;3545478
7122716;6025436
39558574;6258486
99994701;5321931
34746969;3421107
54497411;1735127
44518399;2830342
82965379;1128618
62505040;2912350
66026320;3099823
24815391;2767252
41361481;6282371
60065189;1590996
36798225;6009310
67896900;7815801
37991046;4927685
70636470;5722418
93061961;2211562
62877461;3623098
91412977;9534689
70239653;9534689
81272952;5791911
69511056;2714034
66580137;6765739
28988568;3413423
90324654;7399867
88461606;1232704
4998708;6822579
6688744;1209848
25063804;3541974
67551805;9591805
22425197;4443929
91014471;2767252
53873109;7224808
34762080;8357696
78493699;2008127
79723274;6559454
51832436;1006728
15196819;5704954
49596396;5915471
23554844;8615111
57239765;3413423
99094220;9486134
87952912;6583735
63290350;4278661
18949459;5297811
14562704;6369355
33942775;1387267
45172043;2563973
89544637;8755956
40552101;5840194
80609190;7764760
35484798;7990894
67309785;7509679
77188692;7176110
7009481;4946127
30035248;4757919
63805984;5993210
78917329;5500089
60788709;6440424
2311835;8077489
18992951;8539395
20683334;3441723
4998708;1846045
86055965;7918651
27642513;1258015
58023014;4216384
28720844;7343316
63805984;8384568
84700501;2735667
56131619;5547802
99994701;1025638
60904730;5033447
81521360;4746034
38974362;5813242
92012038;8063654
65290635;1014942
38564411;9124324
76824063;9356540
87952912;4547948
91566873;5683374
67697813;3139328
24677983;7764760
94514554;9516064
15920192;6497224
2386464;9397747
27938808;8266736
48520821;1014942
7209116;9270995
37877141;4337945
66026320;8016165
15462901;7211060
76589059;9512163
12277982;1708111
75884098;7197978
28521032;1927423
55366895;8928610
89544637;2843436
67780129;7943300
36609593;3099823
28709869;6903907
94157159;8787011
24512874;2838128
73191115;4601736
56185859;8827941
59477434;6025436
77587642;1314868
7009481;1768457
10779488;8398438
20503400;1957836
69071528;3828990
48520821;2493358
27908049;6564618
17997606;9523071
79366594;5967255
18882268;4323617
35909788;1603500
99370248;5081830
63386886;4913244
76424446;5178319
40019232;2767469
88323434;2629468
26479533;5406791
49932615;5961828
71138349;3625480
76934755;7026963
75695762;2477326
79723274;2886897
83947242;1565972
40852475;4532862
94157159;4356400
36012421;9172888
91692938;8896600
99876461;2257411
84850089;7165727
87000576;6001615
48580893;1700497
29268609;7058951
60854920;3378788
78089661;8652879
66975468;7333909
42416975;9856160
20366334;6792738
7172318;9011490
82735533;1217165
10206726;5406791
15084609;8979191
79169530;2718627
41163147;6080693
26069769;8465504
38203442;2312713
57420166;9579545
30035248;7580634
2058383;7602659
18286667;9644989
66277187;5630987
14826949;2269557
15196819;2239176
43829472;9625174
33442526;8391371
28064207;7229028
9609973;2886897
81272952;8702617
6614114;8536280
8573812;5547802
20366334;2038351
11094538;3813068
11033944;6559454
63290350;5967255
18882268;3623098
39598964;9435161
26069769;4303601
80464791;1861185
65720675;6375687
86055965;3382244
75695762;5178319
17795807;5967555
2311835;1015210
51828952;4756841
30721995;7009809
9996274;3425710
69279476;9020716
26069769;9885768
50670598;8357696
98759780;1387267
45324089;1408152
38974362;9023482
27642513;8349560
56131619;2477326
57239765;2934166
20366334;5025791
24415581;4737680
37762229;4650424
10886826;9124324
59631848;6375687
97567575;3604038
33617192;6923764
10206726;5704954
90833530;2739095
3667133;6629587
29430161;8652879
15649949;6973702
44946889;9400814
3667133;1261017
64251929;3768432
93801161;6579907
91697155;2524184
55366895;5180719
70908870;4216384
26479533;2043188
93061961;8676326
76424446;9625174
94514554;7211060
27606998;8316303
82059726;4278661
95608480;3623098
58023014;9369373
37991046;2620263
68846757;6034912
2121517;8130131
11969688;8406786
48520821;8569293
99094220;2254312
17685763;8483779
64194024;6755270
32099150;4980905
69046666;1735127
42129353;8676326
10779488;1364905
88126627;6386325
15920192;5318332
98473553;1708111
9996274;6701195
4998708;3670340
67745201;8368331
65720675;8000069
28061888;7602659
78166096;1664811
18000705;9526293
64251929;7115314
93398805;4337945
59471823;2342748
50586126;6684130
94157159;1260279
95696596;5025791
64185484;3524382
26445865;7602659
67896900;2926384
84620935;5429802
2058383;1379975
29430161;5709436
18000705;3029914
21767408;3724212
32453517;2934286
48520821;1960798
93586131;9767992
6352134;6755270
48982674;2792001
86487950;1069786
45324089;3578429
31971446;4650424
37181434;7009809
9609973;6643483
88873765;4471140
24635674;5261104
64938244;4946127
6614114;1305480
26816415;3047877
24512874;8316303
51832436;7549824
64194024;9959003
81272952;6434105
22866550;5038738
91307919;5380043
17997606;4239583
46034217;2836274
78917329;2400738
2582184;7990894
6688744;9163346
59471823;3894504
99332108;8984906
49073119;3768432
16425057;4458448
18286667;9856160
63290350;6698596
96735215;8357696
54356705;7463350
66020161;7333272
76123278;1232704
91014471;7789549
31634115;7904276
18382874;6650287
22425197;1873392
82312347;8404980
23554844;1210475
15084609;4832114
94903301;8108044
20683334;7940673
94903301;1853252
31634115;2625239
12277982;6739511
49751942;9223713
90462014;9437131
36798225;2684761
55547094;1773161
93735971;6129095
66975468;7707652
69046666;1475733
66975468;3689877
62751589;4316355
43927325;1217165
37877141;6897951
71617619;1944270
97567575;7580634
1869144;6897709
69975106;4303601
92012038;4921091
91692938;8108044
59524116;8979191
78089661;7615775
53985558;6082134
69975106;6295399
54497411;8807445
10640696;3430944
3657551;7783603
99332108;9472109
4932504;4863628
15920192;9866465
95070741;3421107
33450913;6725488
79169530;4314211
52875660;1048361
60904730;7281041
38564411;2718627
69071528;1069786
84700501;2498154
17685763;1994692
90324654;6761975
30811150;9981965
24815391;9553326
63801682;7673734
22720730;8235960
24635674;3952414
6688744;2006999
78138777;6090308
45220707;1480892
40334488;1138813
67745201;4921091
74321777;8316303
88012661;7337639
81272952;5875113
48580893;9625174
44357451;3013554
89314216;5971076
86055965;8536280
60866687;6054862
27550183;1527700
28064207;6001615
26069769;9733660
83856149;4913244
30721995;6284200
84407473;9976553
49932615;7602659
38974362;6636881
84059324;4221271
30811150;4921091
42891006;8063654
9290778;3322293
82157222;4082725
68507500;4098039
14912435;6666355
41163147;1735127
75682489;7784515
40043824;7891747
62479070;6455223
66799088;6821336
64677045;7133932
40852475;7645802
81521360;9863784
54314461;1540115
40019232;5050177
32639623;1890629
39265766;6852829
3553735;2027700
79366594;9084006
84407473;3991026
23554844;9477767
24512874;1313517
34726900;5880958
89033300;5305180
28988568;5802240
24415581;1694364
28093503;4062826
42041824;6190980
9311318;8755956
39049602;6671305
71435639;9369373
58023014;9029729
56905519;4471140
10665011;8896600
18882268;9863784
69046666;9981965
68846757;2714034
66120417;6888245
67745201;4180694
17997606;7560298
28061888;3677337
56631042;6078325
12277982;1957836
12744089;4983028
61343700;3422379
53985558;1694364
73191115;8406786
36798225;3605224
33401065;3554230
49073119;1565972
87728664;1890629
15012367;7766459
43937582;1081116
7172318;7625428
31971446;3935165
64185484;3524382
10886826;1022319
30540821;1015210
91566873;1417109
44637612;9534689
98331265;2352953
11531832;9976553
5795017;7538705
83856149;7281041
84433507;8173599
18949459;5913022
68915095;8753683
24677983;1938650
30346518;5421701
90462014;6680291
69466842;7940673
54593541;5178319
3907416;4270527
32639036;4848099
42891006;8755956
98649938;1877400
48580893;6792738
50404821;8819335
60572304;4316355
99994701;9524490
9311318;1364905
50670598;1708111
55366895;7904276
9112695;4314211
30721995;2682695
81521360;6650287
93061961;6275796
24627736;1217165
89033300;7606945
49434587;1664811
73613006;3012651
49751942;3763840
55578308;8705630
99876461;6809753
59368252;2699963
73795156;8606612
63290350;5769332
74483233;6901541
3667133;8914366
86055965;9885768
80464791;6280688
78166096;1697711
68761604;2839138
35484798;6761975
90462014;5781967
87952912;8316303
17997606;7940673
81028216;5436163
30389531;4927685
39265766;5775373
52259700;1853252
60904730;2625239
15462901;4324590
69511056;3433309
28521032;7171303
85088386;9014061
98649938;4443929
76339899;9767992
90489166;4278661
76934755;2936088
27550183;6323965
25605297;8216807
95608480;2524184
95696596;8753683
31971446;1902078
14562704;4980905
36609593;5038949
53985558;6025436
33776684;1463428
85088386;3319312
32639623;5542916
4932504;7306827
54192036;4061816
71027622;6078325
6638629;4256782
86540275;3819057
75572835;7645802
27642513;6475064
38203442;2493358
62516022;5880958
36798225;8704031
99745741;1877400
86055965;5208203
51832436;4162436
79366594;5875113
51893856;8132909
48982674;4337945
79169530;4743294
88767595;5249431
15084609;2006999
59631848;1559855
57525161;2264441
98111640;5630987
75849683;7918651
51832436;4994928
43937582;4913244
18882268;9730513
43425362;8058684
82312347;1794861
28061888;1768457
14853137;2942042
88795948;4443929
38203442;4314211
46437382;4022147
28061888;3888536
81332561;4361679
84850089;6078853
74321777;6190980
45172043;2056583
39643235;1993959
62901672;9838091
18926850;1142459
15644359;8266736
60788709;8077489
71593595;1069786
85088386;2464922
49751942;6165013
88012661;6009310
55774104;6761975
87848550;7625428
74321777;8506158
55774104;3896678
14562704;6528952
48726308;1258015
45427966;3052896
41769046;2124371
1324527;3508642
15920192;1509907
78493699;5511671
63386886;5180719
43937582;8429726
40334488;5791911
89033300;9979760
85595851;5524815
27938808;9916167
6638629;7789549
26445865;1379975
55547094;5053077
78138777;1509907
93735971;8753683
28521032;7018312
55774104;1575557
39643235;1261017
82802313;1006728
45172043;6701195
9996274;5769332
91566873;2759272
64185484;5223240
11531832;9217340
62877461;2767252
61733127;2166930
68330520;5448727
32099150;3433309
66960027;5924520
28061888;1646033
55366895;9794841
55366895;5967255
81028216;9767808
23202618;7088612
28061888;3689424
33450913;1022654
93586131;6755270
59040089;7905798
88461606;8259973
10886826;6108301
92012038;5939495
15649949;9838091
12744089;7906393
44357451;3813068
75849683;3369501
74914257;3712114
75884098;7292121
49085491;6793585
90489166;3214294
62751589;9239094
12954255;6054862
69466842;2936088
35739004;9011856
15084609;2264441
33545177;2893015
5733905;1934007
32639623;9435161
33450913;2257411
47745584;8072406
4932504;4874350
77167969;7195861
64194024;5292454
68761604;5223240
4637138;8658648
26445865;4314211
84850089;2448301
38564411;1590517
65052364;8173599
14826949;7360695
69511056;4731847
86055965;2312713
65052364;6300629
28061888;3654664
60866687;2514564
2058383;1217165
55774104;8892312
60065189;5709436
38564411;6612976
62479070;2464922
26816415;2493358
24415581;1379975
76954740;3029914
9311318;1271596
76214135;5779741
22359738;2984414
26479533;8704031
27002870;3888536
80627300;6897709
45563770;9901714
65676564;2632024
97354139;7766459
42041824;6410963
77307263;7602659
81521360;9369373
51828952;5893209
1324527;5306483
44946889;3431137
67007821;2942042
7764181;9394203
17614506;3563496
45243218;5261104
42416975;6739511
66975468;9526293
30540821;2166930
33450913;4737176
67896900;1232704
56905519;1015210
3553735;5067113
39265766;7134104
82965379;1217474
91692938;1471062
45324089;4270527
63591222;7173712
28061888;7463350
94157159;3545478
41750368;6839795
51828952;5050177
69975106;9885954
66975468;3578429
79169530;2138266
48520821;1271596
67007821;2714034
22425197;1607349
63944894;4143516
76424446;8368331
13563239;3306616
90462014;4458448
67172629;2549205
93586131;5978844
60854920;1957836
71027622;6086445
58023014;8676326
45563770;9976242
27002870;1960798
88795948;9472109
35909788;4946127
53985558;6833436
6083236;2038351
7172318;4303601
39049602;4769919
76824063;6258486
44866787;2792001
70104135;1614144
49434587;6475064
10779488;8021043
64938244;2850547
64185484;3689424
61849023;4324590
76424446;5845314
24677983;4324590
66960027;8738448
87967224;9568862
3667133;3813068
49781839;6528952
39265766;4832114
99582542;3991026
27642513;8641364
59368252;5436801
81272952;4015023
38974362;4243090
56631042;8130131
33776684;8807445
12266609;9767992
20304031;2793287
22425197;2988370
39265766;9863784
48520821;5524815
60572304;9644006
18882268;6010348
32564398;1225345
77188692;4946178
67007821;1014942
49799297;4391704
75884098;5741983
55366895;2893015
39429532;6852829
30540821;8820890
35909788;1188594
64185484;5761762
12277982;9036688
78917329;2096713
18992951;5651692
46034217;2684761
76339899;3677337
43937582;2039532
4932504;3888536
88795948;9238033
7749556;6034912
60866687;1944270
10886826;1387267
33760509;8621561
73191115;1853252
66799088;5875113
1811429;3894504
98759780;2850547
82735533;1022654
26479533;6809753
93883477;4874350
89033300;3712114
38564411;5802240
71027622;5939495
66020161;4458448
67780129;3062595
81332561;5223240
70908870;1509907
7749556;1417109
65720675;4856979
68761604;7666492
93061961;6976540
91697155;2843981
12277982;4098039
98649938;2051338
70662917;7802408
40552101;1527700
66975468;5191345
97354139;4391704
