PublicationID;PhenotypeID
200106;1000205
200696;1000245
200816;1000966
200145;1000035
200637;1000780
200091;1000993
200373;1000534
200070;1000801
200476;1000143
200016;1000624
200017;1000596
200437;1000161
200579;1000667
200241;1000009
200203;1000813
200397;1000796
200098;1000014
200222;1000384
200688;1000010
200176;1000383
200471;1000488
200589;1000487
200356;1000642
200152;1000718
200345;1000578
200661;1000696
200692;1000903
200240;1000590
200410;1000348
200653;1000928
200728;1000684
200055;1000359
200041;1000886
200054;1000487
200819;1000197
200324;1000966
200410;1000811
200703;1000729
200089;1000959
200065;1000245
200055;1000506
200594;1000371
200288;1000256
200238;1000868
200347;1000842
200027;1000269
200385;1000512
200664;1000808
200649;1000996
200056;1000899
200501;1000525
200826;1000137
200412;1000884
200087;1000309
200396;1000254
200511;1000463
200895;1000708
200830;1000080
200989;1000377
200517;1000664
200176;1000773
200200;1000193
200995;1000086
200935;1000186
200692;1000855
200722;1000768
200604;1000138
200184;1000727
200065;1000677
200770;1000736
200873;1000099
200352;1000794
200434;1000424
200911;1000033
200835;1000205
200380;1000807
200838;1000102
200417;1000720
200355;1000447
200253;1000613
200450;1000915
200371;1000378
200408;1000103
200707;1000766
200426;1000259
200888;1000163
200216;1000998
200238;1000292
200232;1000161
200701;1000953
200433;1000954
200186;1000736
200184;1000914
200988;1000543
200804;1000660
200534;1000680
200502;1000027
200659;1000470
200455;1000806
200547;1000554
200999;1000160
200029;1000861
200554;1000492
200336;1000957
200426;1000083
200305;1000854
200619;1000223
200862;1000369
200225;1000211
200059;1000756
200283;1000123
200427;1000601
200543;1000773
200616;1000206
200049;1000133
200515;1000150
200735;1000118
200710;1000847
200102;1000408
200593;1000715
200478;1000133
200039;1000857
200976;1000632
200645;1000849
200089;1000328
200178;1000260
200571;1000420
200440;1000815
200994;1000659
200704;1000944
200255;1000005
200913;1000876
200526;1000518
200233;1000334
200579;1000173
200563;1000248
200940;1000776
200356;1000977
200591;1000108
200287;1000658
200245;1000498
200863;1000097
200982;1000239
200948;1000449
200984;1000574
200109;1000539
200267;1000678
200423;1000024
200787;1000590
200651;1000709
200420;1000098
200373;1000580
200846;1000354
200832;1000741
200584;1000629
200905;1000004
200172;1000547
200896;1000744
200945;1000419
200644;1000015
200814;1000786
200068;1000972
200153;1000138
200464;1000497
200456;1000600
200175;1000149
200523;1000973
200859;1000021
200227;1000736
200607;1000232
200296;1000301
200530;1000368
200044;1000297
200024;1000546
200827;1000416
200329;1000233
200625;1000062
200584;1000231
200498;1000734
200424;1000011
200150;1000235
200823;1000164
200759;1000489
200384;1000380
200627;1000825
200504;1000224
200899;1000956
200112;1000990
200840;1000458
200926;1000662
200316;1000759
200233;1000789
200543;1000583
200420;1000035
200444;1000551
200129;1000732
200077;1000878
200848;1000724
200977;1000003
200630;1000205
200877;1000943
200809;1000606
200968;1000025
200518;1000413
200949;1000545
200213;1000285
200315;1000394
200294;1000811
200719;1000959
200089;1000513
200194;1000237
200856;1000346
200490;1000065
200323;1000691
200327;1000278
200177;1000819
200956;1000398
200663;1000830
200345;1000198
200076;1000136
200947;1000244
200986;1000036
200994;1000947
200272;1000599
200964;1000118
200524;1000123
200105;1000183
200805;1000846
200808;1000062
200565;1000419
200286;1000682
200214;1000655
200764;1000987
200716;1000231
200362;1000647
200402;1000851
200185;1000750
200445;1000840
200962;1000820
200817;1000019
200249;1000099
200811;1000974
200939;1000326
200597;1000469
200389;1000125
200416;1000777
200036;1000076
200513;1000503
200886;1000569
200560;1000845
200488;1000576
200049;1000565
200835;1000048
200469;1000703
200904;1000606
200775;1000728
200640;1000888
200044;1000376
200654;1000538
200177;1000589
200543;1000876
200218;1000333
200588;1000565
200228;1000183
200792;1000821
200310;1000411
200418;1000764
200781;1000086
200065;1000999
200593;1000576
200980;1000663
200739;1000452
200884;1000423
200782;1000870
200794;1000983
200479;1000175
200129;1000142
200204;1000212
200491;1000424
200569;1000285
200354;1000775
200251;1000354
200630;1000914
200343;1000470
200265;1000912
200417;1000358
200754;1000157
200916;1000315
200634;1000942
200350;1000557
200610;1000075
200500;1000302
200825;1000189
200024;1000410
200838;1000313
200544;1000417
200224;1000391
200853;1000279
200979;1000924
200982;1000899
200546;1000760
200157;1000020
200910;1000122
200231;1000559
200542;1000960
200275;1000196
200217;1000946
200574;1000325
200279;1000098
200175;1000672
200536;1000334
200902;1000231
200541;1000301
200957;1000399
200240;1000418
200522;1000792
200128;1000215
200209;1000129
200297;1000949
200404;1000602
200622;1000080
200836;1000459
200217;1000928
200542;1000128
200779;1000117
200016;1000782
200280;1000242
200305;1000518
200942;1000736
200246;1000351
200205;1000396
200505;1000153
200658;1000939
200308;1000144
200358;1000179
200799;1000134
200657;1000877
200073;1000813
200295;1000415
200337;1000945
200733;1000069
200187;1000261
200045;1000799
200824;1000081
200965;1000138
200429;1000760
200840;1000128
200207;1000919
200376;1000372
200428;1000551
200065;1000216
200505;1000556
200281;1000180
200589;1000318
200563;1000091
200626;1000085
200412;1000615
200738;1000762
200996;1000994
200578;1000284
200156;1000164
200369;1000987
200921;1000439
200928;1000958
200379;1000036
200585;1000353
200510;1000613
200689;1000210
200346;1000713
200500;1000830
200657;1000673
200922;1000111
200192;1000526
200642;1000972
200339;1000408
200106;1000726
200020;1000727
200658;1000389
200173;1000178
200703;1000797
200622;1000496
200241;1000329
200381;1000303
200430;1000706
200318;1000932
200450;1000330
200114;1000490
200811;1000287
200875;1000587
200162;1000497
200926;1000152
200837;1000274
200765;1000469
200676;1000713
200006;1000197
200297;1000559
200575;1000666
200028;1000025
200487;1000787
200399;1000252
200403;1000058
200906;1000638
200820;1000242
200330;1000417
200014;1000481
200443;1000495
200975;1000318
200747;1000562
200445;1000278
200856;1000651
200955;1000383
200062;1000580
200719;1000778
200970;1000202
200702;1000915
200621;1000777
200639;1000919
200600;1000634
200009;1000054
200833;1000095
200392;1000841
200011;1000147
200928;1000287
200327;1000352
200858;1000155
200806;1000550
200118;1000873
200563;1000440
200004;1000412
200910;1000638
200364;1000524
200912;1000021
200308;1000235
200549;1000304
200922;1000866
200574;1000410
200632;1000261
200095;1000285
200725;1000887
200876;1000558
200271;1000803
200300;1000956
200946;1000636
200175;1000382
200122;1000301
200632;1000981
200554;1000087
200895;1000274
200338;1000952
200271;1000699
200585;1000536
200936;1000995
200772;1000131
200811;1000907
200677;1000569
200218;1000273
200807;1000855
200707;1000475
200403;1000259
200825;1000048
200341;1000479
200163;1000093
200796;1000906
200306;1000024
200766;1000091
200074;1000510
200630;1000317
200534;1000427
200060;1000352
200864;1000748
200726;1000860
200245;1000788
200140;1000716
200099;1000672
200859;1000384
200552;1000563
200029;1000244
200678;1000427
200041;1000894
200471;1000604
200713;1000715
200631;1000574
200346;1000054
200978;1000505
200442;1000542
200123;1000717
200299;1000278
200637;1000726
200123;1000106
200110;1000899
200399;1000910
200230;1000426
200857;1000232
200349;1000918
200066;1000300
200211;1000591
200635;1000869
200760;1000476
200855;1000456
200766;1000393
200262;1000327
200474;1000668
200910;1000824
200804;1000850
200067;1000513
200299;1000943
200048;1000199
200775;1000714
200314;1000091
200188;1000239
200408;1000009
200413;1000431
200542;1000252
200589;1000670
200285;1000309
200733;1000881
200722;1000231
200499;1000092
200982;1000093
200442;1000763
200155;1000208
200796;1000944
200627;1000693
200729;1000940
200444;1000228
200367;1000492
200321;1000904
200809;1000976
200782;1000230
200319;1000447
200281;1000167
200803;1000964
200301;1000037
200076;1000444
200735;1000667
200156;1000643
200189;1000686
200270;1000254
200208;1000126
200709;1000581
200249;1000574
200118;1000041
200335;1000627
200100;1000319
200720;1000632
200696;1000268
200498;1000550
200147;1000551
200467;1000815
200347;1000479
200623;1000141
200933;1000595
200072;1000707
200258;1000670
200580;1000376
200092;1000413
200568;1000484
200488;1000620
200267;1000256
200388;1000446
200678;1000566
200880;1000235
200706;1000216
200566;1000157
200808;1000600
200959;1000925
200637;1000655
200691;1000603
200677;1000801
200045;1000375
200892;1000764
200871;1000746
200609;1000308
200858;1000928
200965;1000786
200128;1000644
200085;1000458
200904;1000568
200400;1000604
200353;1000473
200369;1000265
200068;1000889
200834;1000139
200718;1000202
200380;1000194
200507;1000050
200635;1000514
200020;1000647
200888;1000151
200432;1000847
200052;1000419
200809;1000582
200049;1000724
200405;1000184
200854;1000113
200328;1000139
200839;1000472
200592;1000590
200380;1000869
200692;1000996
200548;1000803
200553;1000574
200051;1000208
200652;1000500
200173;1000358
200813;1000692
200256;1000002
200161;1000819
200663;1000113
200248;1000309
200650;1000151
200859;1000351
200104;1000701
200750;1000278
200486;1000700
200999;1000005
200083;1000012
200993;1000381
200703;1000233
200054;1000415
200543;1000177
200852;1000820
200179;1000502
200306;1000259
200353;1000758
200743;1000570
200716;1000644
200061;1000564
200782;1000356
200358;1000083
200287;1000598
200592;1000661
200016;1000112
200605;1000883
200117;1000947
200136;1000087
200858;1000301
200647;1000684
200808;1000729
200448;1000999
200907;1000307
200792;1000743
200598;1000862
200929;1000371
200880;1000612
200448;1000082
200843;1000861
200179;1000946
200861;1000875
200909;1000099
200465;1000988
200546;1000653
200643;1000133
200081;1000964
200360;1000458
200058;1000739
200292;1000140
200973;1000353
200956;1000174
200253;1000127
200721;1000532
200317;1000232
200875;1000260
200779;1000502
200513;1000700
200881;1000269
200951;1000366
200025;1000079
200910;1000795
200402;1000804
200215;1000531
200355;1000676
200666;1000988
200259;1000891
200109;1000847
200795;1000426
200345;1000467
200061;1000504
200863;1000474
200771;1000679
200608;1000774
200315;1000341
200018;1000466
200948;1000908
200239;1000411
200566;1000526
200538;1000540
200743;1000041
200009;1000093
200982;1000086
200073;1000768
200446;1000191
200597;1000755
200187;1000414
200659;1000205
200528;1000318
200021;1000112
200201;1000345
200925;1000889
200220;1000794
200446;1000742
200387;1000717
200127;1000375
200869;1000422
200859;1000093
200657;1000242
200611;1000757
200509;1000579
200530;1000212
200450;1000115
200695;1000178
200952;1000822
200763;1000288
200600;1000916
200517;1000038
200955;1000425
200466;1000766
200270;1000394
200979;1000874
200072;1000698
200030;1000630
200356;1000536
200448;1000387
200273;1000511
200590;1000407
200679;1000380
200792;1000133
200433;1000648
200896;1000987
200591;1000987
200472;1000392
200243;1000898
200603;1000722
200981;1000097
200998;1000558
200422;1000633
200982;1000903
200809;1000139
200089;1000375
200900;1000321
200745;1000986
200262;1000822
200878;1000622
200675;1000656
200257;1000685
200044;1000336
200743;1000951
200219;1000102
200757;1000142
200169;1000154
200262;1000558
200463;1000686
200882;1000644
200128;1000182
200747;1000588
200850;1000752
200370;1000365
200648;1000999
200395;1000814
200532;1000512
200426;1000775
200881;1000480
200817;1000907
200841;1000522
200216;1000046
200625;1000128
200170;1000735
200103;1000995
200452;1000255
200507;1000897
200240;1000751
200366;1000663
200294;1000535
200713;1000378
200616;1000283
200449;1000879
200354;1000917
200314;1000271
200733;1000255
200682;1000021
200453;1000987
200472;1000862
200905;1000547
200399;1000791
200449;1000997
200536;1000931
200745;1000389
200163;1000609
200924;1000076
200395;1000555
200240;1000228
200659;1000223
200023;1000413
200097;1000226
200461;1000946
200028;1000027
200558;1000236
200513;1000244
200340;1000196
200830;1000806
200422;1000027
200151;1000568
200505;1000460
200267;1000368
200166;1000589
200872;1000576
200045;1000891
200064;1000215
200931;1000150
200354;1000528
200798;1000361
200725;1000860
200553;1000835
200930;1000900
200218;1000634
200931;1000428
200938;1000820
200123;1000354
200905;1000513
200228;1000871
200215;1000090
200734;1000612
200633;1000076
200647;1000077
200583;1000560
200163;1000716
200161;1000982
200658;1000557
200990;1000680
200616;1000290
200878;1000688
200533;1000570
200304;1000535
200702;1000493
200705;1000089
200369;1000623
200801;1000051
200290;1000390
200335;1000919
200426;1000158
