DPhenotypeID,DiseaseShortName
25528714,Catarina
68846757,Jemmie
83795173,Enid
51828952,Ardyth
63290350,Zacharias
16372195,Damaris
94747388,Broddy
30540821,Glori
60853323,Giulio
72854193,Bryon
39209288,Timmy
26479533,Chrissy
79790663,Cecelia
40334488,Shep
55547094,Brockie
64348767,Bettye
90462014,Evonne
22359738,Wallie
93883477,Wright
72632964,Vicky
43355641,Massimiliano
2582184,Felike
30389531,Clementius
89292317,Vanessa
28479259,Renae
66985423,Izzy
9112695,Faina
79193027,Leigh
63591518,Salomi
89544637,Karl
85587939,Sumner
37877141,Creigh
37991046,Boigie
74870866,Killy
39209288,Gaspard
39209288,Haywood
77307263,Emylee
16613978,Emilia
94492932,Gaye
67172629,Elonore
96735215,Phylys
39364193,Talbert
62655042,Cecilia
78840843,Juliane
14826949,Kele
11379545,Meris
76214135,Mae
40193968,Granny
23675378,Deanne
52974640,Calla
51618793,Retha
90189480,Tess
2582184,Gary
2574238,Maggie
23200151,Stan
1575900,Thebault
45777016,Lock
8557331,Eleen
13446917,Trish
57420166,Jocelin
79366594,Jacinda
62948921,Lydon
84700501,Gustavus
96272970,Vicki
50112329,Naomi
99398479,Janot
88122342,Melinda
68915095,Derrik
67172629,Ada
55421120,Sancho
26914011,Merrilee
15540134,Ignace
30501645,Layne
4415893,Gorden
86268559,Roxane
23200151,Arleyne
20668619,Weidar
53819046,Lotty
36615881,Meghan
30065808,Tate
7009481,Kristyn
69542009,Charo
35484798,Nataline
11531832,Maible
35205079,Anatollo
71672170,Jeffy
71435639,Nial
22119315,Dulcie
92316341,Sharona
28720844,Marilin
89703749,Shaylyn
85595851,Filide
35770425,Benoit
48513836,Randolph
97354139,Jecho
96305445,Angil
42129353,Roby
80456143,Northrop
7964339,Friedrick
22720730,Leroy
73613006,See
32625789,Nerty
76123278,Martie
46418896,Mahalia
84160892,Ky
55546482,Blancha
38974362,Eliza
26505387,Norrie
82312347,Ortensia
22119315,Emanuele
30393581,Cal
1374828,Nickolaus
59918800,Nikolos
59246109,Fenelia
31770034,Evanne
89826279,Joanne
76589059,Bendite
64938244,Palmer
16720935,Bennie
12629399,Velma
43927325,Ellynn
48296095,Ferd
87000576,Carlyle
16867760,Free
87546643,Corilla
22425197,Laure
77188692,Zelig
49457118,Giusto
92562698,Gussi
86210422,Susi
81466141,Court
72241969,Alysia
53985558,Juan
45659756,Carlin
75074833,Ludvig
78138777,Amberly
86487950,Sander
45451618,Antone
51880162,Tiffie
39209288,Erie
6985433,Stacee
3372670,Clarie
23678844,Court
49434587,Dorolisa
97752836,Emmey
97354139,Carlo
5795017,Elset
60866687,Mahalia
26795020,Dreddy
15084609,Lorry
22823140,Cheston
35909788,Cristy
57410970,Alis
6530193,Kirby
2121517,Roseanne
2121517,Joann
76123278,Lisle
7661323,Milli
44033163,Tracee
45563770,Emiline
80627300,Rakel
63464032,Adriena
48149250,Sonya
62655042,Nadine
9311318,Seline
20304031,Kevyn
2574238,Chiquia
29215979,Floyd
30346518,Bobbee
64938244,Milena
7172318,Herbie
81472411,Barbette
87905053,Brook
25126957,Klara
1525338,Brod
28093503,Ulberto
89544637,Austen
48476685,Randa
49085491,Mitchel
79366594,Jenny
96873137,Rosco
24512874,Brendon
66324097,Xylina
81916590,Ronny
43990753,Shalne
20683334,Maible
29373761,Antony
64348767,Hashim
37181434,Alene
37161652,Cyndia
68507500,Joaquin
93398805,Wendall
82517449,Brooks
62091660,Karylin
39292055,Marrissa
73960066,Desmond
7009481,Steve
94157159,Dalenna
96082838,Augustine
33924088,Freda
19297007,Rasla
9484880,Gerta
30811150,Lory
78166096,Ambrosi
89292317,Pamelina
75849683,Florette
27606998,Fenelia
62981302,Fred
82569441,Aluin
18286667,Yardley
15210154,Jordanna
57798384,Kayley
33923829,Burr
22289690,Cull
90323651,Melody
26328519,Adan
86436664,Clovis
89826279,Martguerita
56682334,Skylar
82978845,Priscella
36609593,Liane
95070741,Ettore
99876461,Howie
18926850,Anthiathia
40552101,Gilberte
50404821,Lizzy
44666818,Rhody
40783664,Gussi
16372195,Vinny
63591222,Brunhilda
44518399,Jillene
91692938,Rebekah
8594645,Zenia
93735971,Amalle
96082838,Kerr
8594645,Willow
57556581,Kingston
95119431,Faina
18992951,Stephan
10883487,Christie
62994015,Valene
63591222,Stace
82735533,Dorian
22307816,Ailey
81627037,Victoria
98759780,Rosa
54033538,Fan
6638629,Georg
90110001,Bradney
43927325,Cody
59246109,Grace
92956070,Alwin
78300811,Giraud
81272952,Davey
99745741,Kin
66324097,Gerry
45777016,Carmelia
56047243,Gardie
82059726,Jone
40334488,Cally
40519932,Karyn
26578778,Cacilie
28230804,Alli
46581193,Byrom
13892267,Cathlene
71931393,Gareth
17304277,Balduin
34215455,Gloriana
79790052,Callean
19539730,Ingamar
30699419,Willetta
11384100,Waylin
62994015,Theresita
38203442,Wendel
67697813,Emmery
59368252,Ario
18747183,Dorene
2582184,Alexandro
20923901,Ilise
34746969,Imojean
62653288,Billy
88461606,Aristotle
82970133,Marena
79790052,Gun
11637266,Wes
86055965,Bruno
7661323,Holly
4505061,Lisbeth
3907416,Danny
89617978,Torie
27908049,Cullan
55366895,Shirlee
60854920,Layla
28639688,Candice
11384100,Pepi
8284399,Britteny
20054858,Ozzy
49434587,Bradan
75113101,Joycelin
96810636,Mozes
23554844,Steffane
17614506,Mattie
7661323,Dianna
66580137,Humfrid
52259700,Patsy
12277982,Louisette
54497411,Emilia
78493699,Hughie
2121517,Lurline
48149250,Gerianne
12798764,Andreana
15888089,Amelita
53420940,Arlene
22882080,Nefen
43425362,Culver
7122716,Rowena
15299111,Dee
37161652,Tiler
22425197,Bill
60065189,Pavla
56905519,Raddie
51828952,Rebecca
98331265,Mauricio
25126957,Becca
48726308,Hendrick
66799088,Melly
54226051,Marti
20683334,Pinchas
80644778,Kenny
88767595,Norby
12656478,Lewie
96810636,Eldin
3667133,Karalynn
82868413,Caprice
4798696,Michell
36407870,Roselia
32811637,Carlen
36407870,Rhonda
70104135,Shawn
9094315,Giovanni
97189872,Lorin
19468788,Sharai
67745201,Sammie
32639623,Janeva
6614114,Corby
97100516,Kris
10640696,Reed
67607815,Henryetta
11531832,Konstanze
45659756,Daloris
89617978,Raimondo
14826949,Herve
1324527,Umeko
15012367,Bastian
83068074,Lizabeth
24627736,Dore
54497411,Phylys
78300811,Gerti
34778941,Bentley
80627300,Paolo
32564398,Gaelan
87475316,Cleo
27938808,Sherye
33450913,Reinaldo
38237426,Annabal
44033163,Ulrika
56176484,Nike
16613978,Micaela
79755779,Cinderella
57525161,Leland
71912014,Georgi
33924088,Sophronia
8802516,Peder
59238143,Robena
59821672,Deny
46151272,Lon
93237854,Tressa
90324654,Gibbie
43521232,Lanette
17007871,Nada
54593541,Eli
20503400,Bunni
94492932,Barrie
48149250,Cacilie
81627037,Payton
25063804,Rutledge
71912014,Raviv
24415581,Gerda
80408696,Lynnet
64095666,Glenna
36217745,Barnabe
72640118,Amelita
27316556,Elisabeth
9094315,Kissie
71593595,Nicolai
10665011,Courtnay
86537422,Jillene
52974640,Annabelle
81521360,Culver
97646915,Thain
9290778,Tannie
63801682,Stirling
45451618,Felice
11531832,Joel
60572304,Helyn
78917329,Kettie
37138825,Augustine
81993744,Leandra
81661455,Con
45750508,Miner
34946578,Rossie
77167969,Nichol
93298300,Jerry
94213981,Alexis
28988568,Kylie
28639688,Corenda
86055965,Chancey
10734403,Cynthy
5441742,Luelle
15545578,Drew
59240351,Carrol
68172205,Diego
62751589,Wynne
82802313,Toby
93801161,Claudian
71369248,Mandel
74483233,Marlyn
74870866,Scotty
66026320,Hilary
55366895,Luci
40043824,Chase
28061888,Humberto
80456143,Hamlen
75113101,Lil
33401065,Erinna
70340492,Weylin
52259700,Tiebold
50112329,Izzy
73613006,Duane
12266609,Clay
19222186,Guntar
74870866,Jan
98473553,Cristionna
74812244,Lucas
21610224,Tate
84271689,Frankie
44946889,Caldwell
2582184,Sosanna
94903301,Starla
86210422,Jocelin
94492932,Cynthy
8126260,Gelya
71966592,Grethel
99094220,Prentiss
51618793,Case
40552101,Betteanne
59918800,Sharleen
91307919,Ronni
91307919,Madelina
36217745,Prentiss
74217086,Chalmers
87905053,Julee
3667133,Helaina
38237426,Chrotoem
89733381,Zelda
26578778,Doralynn
83491616,Jameson
84059324,Bartram
52875660,Michaeline
80464791,Ruthi
65052364,Belinda
40043824,Andrew
57556581,Ivar
1312732,Feodora
83795173,Nannie
93787661,Elyssa
89664732,Ernesto
34115401,Hersh
10206726,Jolene
2252740,Fairfax
62091660,Lesli
87000576,Isabeau
93237854,Annora
18000705,Katey
34726900,Catherina
88873765,Shaun
98473553,Lorrin
55578308,Mechelle
63386886,Chrisse
38237426,Hillier
22026295,Adelaide
65590415,Christyna
12798764,Marion
78493699,Rania
12885505,Isacco
94213981,Jacinta
25134136,Symon
9352487,Tomaso
36798225,Liv
86537422,Ronnie
95696596,Tiffy
89033300,Hillel
60572304,Linnet
56176484,Johnna
9094315,Westley
12266609,Moselle
13410543,Pearce
64095666,Kenn
40124658,Anderea
21883488,Lisabeth
47343258,Garey
86055965,Lyman
68846757,Janice
94358019,Roma
37720157,Ingelbert
33545177,Angelina
60290690,Melania
80609190,Matthiew
95385543,Adah
33401065,Davina
47404878,Wendell
28268735,Nev
8826042,Katey
99169723,Duffie
89700416,Nevile
99447307,Jo-anne
18926850,Ward
64590598,Shawna
63944894,Harvey
73777075,Nicky
34778941,Glen
64194024,Moise
12656478,Iain
12008896,Berkie
99417788,Klarika
69975106,Bessy
68507500,Davine
76824063,Verney
31635662,Oby
83948955,Hewett
33776684,Thorn
49457118,Byran
78300811,Allie
75682489,Odetta
15012367,Donn
76954740,Beitris
39364193,Stace
11553763,Waite
13563239,Aurie
62505040,Mariellen
92012038,Fifine
90189480,Zane
57037917,Krissie
75849683,Johnette
88122342,Bonni
72580020,Drugi
63801682,Norrie
35205079,Jessie
22289690,Sapphire
25528714,Carol
39209288,Moria
3657551,Sterne
26707462,Keane
76516483,Mallorie
46418896,Christiane
61626503,Merralee
59368252,Cherida
73795156,Duane
94157159,Claus
55547094,Henrie
76123278,Nev
9327576,Launce
15888089,Celisse
56566144,Laney
6614114,Abelard
9781898,Laure
98759780,Coletta
43190706,Sonni
4798696,Elena
57335107,Joyous
99447307,Bobbye
62994015,Marchelle
28639688,Anjanette
82059726,Georgianna
99094220,Chrissie
96873137,Derward
62091660,Christyna
48296095,Laney
98649938,Claudelle
12954255,Rudd
88795948,Kurtis
97189872,Olin
62768460,Adolf
25134136,Rea
11969688,Malina
24415581,Farly
60290690,Isidor
44480195,Tiebout
28740086,Kylynn
20683334,Kingsley
11637266,Babita
9094315,Anastassia
72580020,Welch
80456143,Liz
71369248,Kalvin
83856149,Valentia
1869144,Bob
1811429,Siana
78089661,Sayres
68401935,Creigh
24103076,Madella
93904753,Archambault
3667133,Teresa
85595851,Ninetta
12008896,Pearla
69046666,Terri
6741074,Viviene
25697005,Nessi
94288482,Domingo
36217745,Brandais
63386886,Rosalinde
75590355,Ewart
68950401,Ernst
7661323,Maribelle
70917864,Donnajean
50387514,Tammy
70908850,Pyotr
3436156,Fernando
39080071,Meris
49262226,Drucill
71372622,Orland
95493169,Candida
96873137,Gwenora
26069769,Brandy
66020161,Brennan
47028304,Maryjane
23554844,Tova
99766167,Karlen
8573812,Selestina
17260126,Vaughn
35484798,Cash
34215455,Shoshanna
62901672,Sinclare
86574341,Clare
27606998,Felipe
18747183,Bealle
74217086,Mycah
93735971,Jermaine
12656478,Alta
72640118,Kaitlynn
30389531,Ulrikaumeko
30837877,Ignace
30393581,Wesley
71369248,Devy
65580274,Nathanael
42506697,Thoma
41163147,Ginny
69279476,Neilla
60853323,Ransom
13312260,Patrizia
6530193,Fonzie
15462901,Jose
57556581,Alexandrina
26445865,Carma
43990753,Silas
81841924,Laina
37161652,Erda
17997606,Sarita
88122342,Dorine
82569441,Bunny
7412763,Zach
60904730,Waldo
13364367,Jazmin
54561417,Mickey
9094315,Wolfy
79051833,Ana
90324654,Dulsea
69466842,Irina
88795948,Cassy
94514554,Bink
82735533,Mara
7661323,Lorraine
92329877,Mozes
3436156,Ruby
59477434,Amitie
97646915,Gill
67607815,Carmen
96735215,Tan
17304277,Pablo
5122731,Anette
84231762,Coretta
99930997,Lilla
26660137,Gardiner
71922760,Seymour
45243218,Melina
89615127,Robert
63290350,Brannon
74321777,Pavla
68761604,Belinda
83068074,Marchelle
