DataSourceID;PhenotypeID
1856;1000217
1548;1000099
1711;1000791
1091;1000048
1959;1000003
1935;1000548
1449;1000947
1867;1000044
1882;1000052
1008;1000352
1008;1000663
1063;1000373
1015;1000804
1703;1000042
1874;1000543
1300;1000634
1660;1000904
1948;1000119
1660;1000598
1242;1000879
1122;1000972
1920;1000253
1463;1000797
1737;1000751
1018;1000961
1029;1000167
1137;1000988
1639;1000809
1334;1000943
1802;1000265
1064;1000895
1436;1000915
1947;1000785
1839;1000263
1475;1000267
1984;1000245
1235;1000519
1012;1000393
1939;1000721
1609;1000139
1624;1000097
1717;1000452
1274;1000043
1596;1000641
1576;1000353
1814;1000551
1444;1000809
1225;1000230
1646;1000442
1020;1000889
1595;1000296
1182;1000925
1817;1000584
1109;1000817
1488;1000319
1639;1000380
1038;1000694
1137;1000537
1870;1000062
1006;1000991
1544;1000442
1830;1000864
1137;1000411
1514;1000286
1666;1000415
1590;1000235
1787;1000519
1914;1000573
1440;1000068
1391;1000199
1967;1000039
1650;1000044
1019;1000967
1002;1000438
1549;1000265
1812;1000074
1287;1000378
1312;1000021
1671;1000211
1886;1000112
1325;1000264
1974;1000924
1382;1000740
1225;1000834
1263;1000141
1967;1000766
1770;1000246
1665;1000458
1137;1000327
1723;1000332
1213;1000587
1681;1000861
1951;1000263
1767;1000329
1275;1000420
1415;1000477
1688;1000323
1535;1000069
1849;1000804
1693;1000078
1381;1000092
1451;1000585
1755;1000048
1218;1000039
1214;1000569
1119;1000788
1364;1000984
1447;1000972
1976;1000793
1174;1000207
1421;1000601
1019;1000060
1703;1000171
1099;1000465
1159;1000546
1171;1000237
1717;1000201
1537;1000667
1983;1000161
1454;1000620
1071;1000546
1871;1000288
1086;1000085
1879;1000991
1858;1000965
1957;1000618
1771;1000835
1876;1000936
1282;1000686
1496;1000379
1354;1000517
1854;1000269
1575;1000200
1203;1000147
1544;1000585
1631;1000792
1225;1000512
1886;1000703
1489;1000371
1389;1000902
1922;1000015
1832;1000927
1057;1000736
1775;1000493
1284;1000318
1628;1000113
1764;1000218
1843;1000876
1865;1000718
1801;1000032
1840;1000061
1963;1000139
1732;1000060
1581;1000915
1848;1000339
1529;1000488
1348;1000647
1094;1000188
1902;1000701
1768;1000979
1192;1000642
1171;1000660
1667;1000928
1029;1000125
1422;1000367
1790;1000995
1693;1000519
1141;1000585
1898;1000370
1097;1000122
1553;1000725
1488;1000180
1827;1000164
1041;1000426
1868;1000269
1225;1000547
1591;1000457
1161;1000235
1830;1000063
1846;1000645
1765;1000510
1219;1000512
1939;1000060
1365;1000450
1850;1000268
1529;1000411
1222;1000104
1653;1000480
1327;1000480
1745;1000172
1501;1000072
1240;1000109
1131;1000743
1680;1000596
1412;1000128
1501;1000704
1940;1000456
1781;1000598
1218;1000734
1437;1000466
1848;1000792
1628;1000956
1117;1000758
1588;1000104
1277;1000587
1643;1000267
1233;1000946
1706;1000842
1186;1000480
1022;1000528
1302;1000540
1890;1000148
1369;1000499
1286;1000590
1330;1000341
1717;1000921
1174;1000313
1936;1000239
1996;1000544
1102;1000568
1234;1000141
1183;1000666
1667;1000846
1935;1000162
1674;1000158
1099;1000914
1246;1000323
1031;1000539
1378;1000752
1937;1000021
1561;1000087
1867;1000588
1467;1000991
1096;1000659
1032;1000715
1996;1000623
1423;1000680
1993;1000014
1048;1000122
1976;1000722
1351;1000870
1801;1000180
1609;1000987
1237;1000041
1845;1000785
1905;1000329
1202;1000110
1667;1000189
1909;1000667
1975;1000397
1542;1000320
1262;1000791
1215;1000840
1208;1000134
1230;1000778
1612;1000429
1610;1000233
1700;1000420
1093;1000806
1763;1000154
1521;1000761
1041;1000281
1762;1000838
1673;1000410
1639;1000007
1855;1000152
1786;1000159
1909;1000608
1618;1000859
1689;1000764
1613;1000642
1846;1000680
1367;1000497
1281;1000596
1437;1000832
1810;1000753
1165;1000852
1540;1000549
1376;1000067
1115;1000098
1661;1000101
1371;1000210
1776;1000218
1759;1000737
1152;1000853
1137;1000428
1713;1000289
1447;1000330
1388;1000249
1309;1000987
1244;1000190
1118;1000597
1400;1000880
1572;1000796
1916;1000043
1635;1000287
1933;1000170
1072;1000240
1566;1000124
1465;1000061
1013;1000030
1325;1000187
1179;1000162
1420;1000906
1734;1000936
1920;1000405
1138;1000930
1510;1000869
1394;1000001
1174;1000685
1618;1000669
1441;1000108
1153;1000509
1510;1000376
1762;1000717
1911;1000921
1407;1000622
1682;1000319
1512;1000050
1221;1000602
1078;1000885
1265;1000878
1495;1000552
1035;1000708
1508;1000089
1283;1000660
1862;1000473
1820;1000928
1484;1000131
1838;1000042
1775;1000433
1309;1000170
1411;1000200
1185;1000451
1075;1000935
1031;1000306
1939;1000561
1663;1000744
1401;1000750
1013;1000293
1215;1000388
1492;1000996
1544;1000904
1164;1000938
1459;1000269
1796;1000224
1041;1000763
1680;1000582
1066;1000704
1946;1000846
1261;1000927
1136;1000948
1760;1000243
1070;1000475
1625;1000829
1708;1000547
1235;1000757
1106;1000567
1126;1000927
1703;1000853
1642;1000456
1384;1000791
1206;1000326
1296;1000349
1917;1000336
1560;1000534
1896;1000605
1773;1000909
1787;1000603
1796;1000481
1649;1000165
1724;1000323
1232;1000064
1883;1000200
1751;1000469
1513;1000101
1933;1000483
1297;1000197
1305;1000416
1515;1000722
1128;1000188
1896;1000090
1486;1000479
1223;1000788
1313;1000745
1616;1000767
1180;1000673
1836;1000145
1371;1000264
1260;1000198
1082;1000430
1991;1000141
1321;1000772
1628;1000361
1413;1000171
1841;1000661
1809;1000578
1445;1000425
1595;1000569
1629;1000812
1011;1000892
1266;1000762
1338;1000179
1224;1000745
1157;1000629
1421;1000289
1694;1000335
1621;1000981
1100;1000853
1579;1000868
1950;1000079
1574;1001000
1486;1000036
1750;1000964
1535;1000892
1506;1000617
1994;1000731
1429;1000271
1933;1000484
1564;1000204
1716;1000249
1412;1000483
1221;1000886
1811;1000535
1085;1000442
1832;1000400
1288;1000046
1210;1000346
1413;1000448
1096;1000310
1108;1000792
1303;1000951
1107;1000961
1839;1000438
1442;1000178
1809;1000385
1399;1000145
1281;1000007
1939;1000482
1490;1000993
1780;1000071
1834;1000076
1438;1000575
1275;1000567
1601;1000104
1910;1000433
1934;1000322
1377;1000914
1353;1000265
1128;1000377
1666;1000644
1305;1000211
1344;1000986
1103;1000698
1365;1000516
1665;1000464
1189;1000614
1181;1000103
1061;1000805
1033;1000683
1725;1000843
1680;1000948
1100;1000170
1159;1000265
1041;1000152
1404;1000756
1935;1000632
1764;1000080
1815;1000389
1723;1000289
1556;1000924
1053;1000582
1313;1000522
1402;1000092
1642;1000744
1356;1000775
1261;1000478
1664;1000112
1062;1000250
1131;1000434
1940;1000983
1031;1000605
1692;1000645
1760;1000376
1589;1000217
1412;1000558
1348;1000498
1811;1000869
1372;1000979
1762;1000868
1744;1000848
1545;1000014
1691;1000579
1408;1000255
1756;1000362
1680;1000195
1438;1000977
1457;1000034
1924;1000010
1795;1000027
1409;1000101
1037;1000233
1486;1000403
1408;1000334
1900;1000475
1668;1000751
1096;1000650
1749;1000940
1894;1000234
1727;1000701
1169;1000577
1379;1000030
1965;1000093
1633;1000015
1141;1000535
1079;1000816
1612;1000814
1133;1000946
1053;1000410
1470;1000002
1256;1000990
1584;1000639
1907;1000081
1437;1000248
1486;1000644
1339;1000364
1927;1000766
1467;1000705
1577;1000554
1299;1000621
1026;1000572
1072;1000204
1863;1000273
1616;1000907
1762;1000458
1685;1000637
1719;1000860
1944;1000392
1110;1000066
1821;1000305
1285;1000848
1585;1000967
1002;1000557
1785;1000985
1228;1000354
1769;1000594
1653;1000151
1343;1000041
1807;1000942
1666;1000700
1794;1000207
1899;1000534
1747;1000768
1144;1000250
1906;1000744
1480;1000759
1182;1000581
1975;1000428
1023;1000025
1321;1000680
1361;1000337
1379;1000376
1424;1000009
1048;1000329
1911;1000277
1012;1000938
1547;1000831
1150;1000720
1282;1000957
1813;1000551
1565;1000019
1608;1000783
1875;1000800
1375;1000238
1484;1000515
1841;1000272
1820;1000373
1580;1000357
1446;1000561
1570;1000518
1451;1000193
1142;1000601
1593;1000706
1291;1000669
1142;1000735
1326;1000522
1821;1000903
1705;1000682
1764;1000230
1933;1000047
1168;1000664
1319;1000438
1536;1000323
1974;1000814
1555;1000809
1632;1000867
1833;1000450
1069;1000922
1581;1000807
1043;1000972
1275;1000950
1664;1000044
1601;1000162
1366;1000554
1355;1000011
1566;1000872
1379;1000444
1879;1000920
1474;1000024
1564;1000522
1823;1000548
1803;1000306
1308;1000340
1167;1000073
1059;1000820
1299;1000069
1950;1000601
1238;1000875
1638;1000203
1454;1000326
1147;1000685
1661;1000561
1171;1000527
1794;1000086
1375;1000296
1342;1000226
1453;1000665
1359;1000675
1171;1000171
1520;1000852
1556;1000944
1417;1000951
1146;1000404
1325;1000629
1204;1000612
1732;1000128
1960;1000534
1749;1000651
1400;1000645
1063;1000021
1280;1000458
1268;1000691
1922;1000530
1218;1000325
1462;1000629
1574;1000475
1100;1000758
1965;1000138
1060;1000314
1347;1000983
1863;1000536
1421;1000534
1013;1000149
1662;1000613
1010;1000694
1530;1000506
1579;1000197
1440;1000702
1151;1000665
1383;1000432
1661;1000485
1900;1000734
1609;1000810
1251;1000201
1267;1000827
1390;1000883
1619;1000863
1819;1000758
1210;1000045
1182;1000390
1009;1000426
1595;1000439
1181;1000609
1435;1000998
1727;1000512
1864;1000748
1873;1000736
1444;1000844
1457;1000480
1299;1000079
1511;1000515
1037;1000349
1537;1000379
1199;1000271
1333;1000490
1459;1000777
1234;1000258
1554;1000106
1470;1000775
1276;1000806
1257;1000844
1983;1000787
1405;1000095
1601;1000347
1210;1000845
1003;1000114
1429;1000818
1782;1000865
1961;1000432
1599;1000039
1408;1000561
1687;1000769
1864;1000293
1443;1000287
1962;1000464
1636;1000714
1941;1000213
1021;1000386
1609;1000296
1816;1000041
1177;1000531
1875;1000148
1701;1000573
1389;1000807
1821;1000645
1875;1000857
1953;1000838
1053;1000132
1604;1000838
1885;1000918
1739;1000405
1693;1000094
1298;1000408
1182;1000981
1525;1000064
1773;1000014
1224;1000202
1219;1000268
1411;1000124
1620;1000180
1304;1000673
1091;1000113
1496;1000397
1391;1000098
1968;1000186
1341;1000339
1882;1000485
1041;1000007
