DiseaseDomainID;DiseaseDomainName
10204;Volkswagen
10205;Mazda
10206;BMW
10207;Hyundai
10208;Jeep
10209;Hyundai
10210;Mercedes-Benz
10211;Honda
10212;Bentley
10213;Jaguar
10214;Dodge
10215;Audi
10216;Chrysler
10217;Acura
10218;Dodge
10219;Infiniti
10220;BMW
10221;Acura
10222;Volkswagen
10223;GMC
10224;Dodge
10225;Ford
10226;Mercedes-Benz
10227;Ford
10228;Buick
10229;Porsche
10230;Subaru
10231;Chevrolet
10232;Mazda
10233;Buick
10234;GMC
10235;Volkswagen
10236;Mazda
10237;Honda
10238;Mitsubishi
10239;Dodge
10240;Chevrolet
10241;Pontiac
10242;Mazda
10243;Mazda
10244;Mitsubishi
10245;Mercury
10246;Toyota
10247;Toyota
10248;Acura
10249;Ford
10250;Hyundai
10251;Honda
10252;Volkswagen
10253;Saab
10254;Nissan
10255;Ford
10256;Honda
10257;Oldsmobile
10258;Mercury
10259;Lamborghini
10260;Alfa Romeo
10261;Chevrolet
10262;Chevrolet
10263;Dodge
10264;Subaru
10265;Toyota
10266;Scion
10267;Chevrolet
10268;Bentley
10269;Oldsmobile
10270;Audi
10271;Buick
10272;Mitsubishi
10273;Mazda
10274;GMC
10275;Lexus
10276;Ford
10277;Buick
10278;Nissan
10279;Cadillac
10280;Toyota
10281;Mercedes-Benz
10282;Mercedes-Benz
10283;Ford
10284;Buick
10285;Audi
10286;Lexus
10287;Land Rover
10288;Plymouth
10289;Mitsubishi
10290;Toyota
10291;Rolls-Royce
10292;Honda
10293;Geo
10294;Pontiac
10295;Buick
10296;Lexus
10297;Ford
10298;Lamborghini
10299;Pontiac
10300;Ford
10301;Saab
10302;Lexus
10303;Chevrolet
10304;Honda
10305;Jeep
10306;Mitsubishi
10307;Mercedes-Benz
10308;Ford
10309;Land Rover
10310;BMW
10311;Toyota
10312;Chevrolet
10313;Mitsubishi
10314;Chevrolet
10315;Maybach
10316;Ford
10317;Pontiac
10318;Ford
10319;Ford
10320;GMC
10321;Ford
10322;Chevrolet
10323;GMC
10324;Mitsubishi
10325;Toyota
10326;Pontiac
10327;Honda
10328;Chevrolet
10329;Volkswagen
10330;Ford
10331;Mercury
10332;Chevrolet
10333;Pontiac
10334;Ram
10335;Toyota
10336;Mercury
10337;GMC
10338;Mercedes-Benz
10339;Chevrolet
10340;Toyota
10341;Chevrolet
10342;Ford
10343;Mercedes-Benz
10344;Mercedes-Benz
10345;Ford
10346;BMW
10347;Chevrolet
10348;Chevrolet
10349;Honda
10350;Chevrolet
10351;Hyundai
10352;BMW
10353;Chevrolet
10354;BMW
10355;Lexus
10356;Ford
10357;Audi
10358;Chrysler
10359;Subaru
10360;Cadillac
10361;Infiniti
10362;Oldsmobile
10363;Chevrolet
10364;Pontiac
10365;Mercedes-Benz
10366;Suzuki
10367;Volvo
10368;Audi
10369;Ford
10370;GMC
10371;Acura
10372;Chevrolet
10373;Honda
10374;Volkswagen
10375;Volvo
10376;Isuzu
10377;Kia
10378;Nissan
10379;Chevrolet
10380;Subaru
10381;Buick
10382;Acura
10383;Subaru
10384;GMC
10385;Acura
10386;Dodge
10387;Geo
10388;Maybach
10389;Chrysler
10390;Chevrolet
10391;Acura
10392;Dodge
10393;Chevrolet
10394;Dodge
10395;Chevrolet
10396;Dodge
10397;Lincoln
10398;Ford
10399;Jeep
10400;Chevrolet
10401;Acura
10402;Aston Martin
10403;GMC
10404;MINI
10405;Chevrolet
10406;Mitsubishi
10407;Alfa Romeo
10408;Honda
10409;Isuzu
10410;Cadillac
10411;Lincoln
10412;Acura
10413;Mercedes-Benz
10414;Suzuki
10415;Chevrolet
10416;BMW
10417;GMC
10418;Oldsmobile
10419;Chevrolet
10420;Ford
10421;Toyota
10422;Nissan
10423;Volkswagen
10424;Volvo
10425;Buick
10426;Audi
10427;Acura
10428;Ferrari
10429;Bentley
10430;Audi
10431;MINI
10432;Nissan
10433;Chevrolet
10434;Mercedes-Benz
10435;Honda
10436;Maserati
10437;Buick
10438;Jeep
10439;Mazda
10440;Mercedes-Benz
10441;Chevrolet
10442;Volvo
10443;Hyundai
10444;Hyundai
10445;Chevrolet
10446;Isuzu
10447;Chrysler
10448;Aston Martin
10449;Chevrolet
10450;Buick
10451;GMC
10452;Volkswagen
10453;GMC
10454;Ford
10455;Pontiac
10456;Hyundai
10457;Dodge
10458;Dodge
10459;Subaru
10460;Mazda
10461;Mercury
10462;Dodge
10463;Mercedes-Benz
10464;Chevrolet
10465;Chevrolet
10466;Mercury
10467;Mazda
10468;Acura
10469;Dodge
10470;GMC
10471;Acura
10472;Volkswagen
10473;Chevrolet
10474;Chevrolet
10475;GMC
10476;Toyota
10477;GMC
10478;GMC
10479;Mercedes-Benz
10480;Maybach
10481;Mercedes-Benz
10482;Volkswagen
10483;Suzuki
10484;BMW
10485;Cadillac
10486;Oldsmobile
10487;Ford
10488;Audi
10489;GMC
10490;Isuzu
10491;Bentley
10492;Toyota
10493;Suzuki
10494;BMW
10495;Kia
10496;Toyota
10497;Honda
10498;Subaru
10499;Mitsubishi
10500;GMC
10501;Volkswagen
10502;BMW
10503;Toyota
10504;Pontiac
10505;Toyota
10506;Ford
10507;Volkswagen
10508;Chevrolet
10509;Chrysler
10510;Mazda
10511;Honda
10512;Chrysler
10513;Mazda
10514;Alfa Romeo
10515;Nissan
10516;Kia
10517;Lexus
10518;Jaguar
10519;Lexus
10520;Mercedes-Benz
10521;Audi
10522;Dodge
10523;Mazda
10524;GMC
10525;Volvo
10526;Mazda
10527;Pontiac
10528;Nissan
10529;Mercedes-Benz
10530;Chrysler
10531;Land Rover
10532;Land Rover
10533;Mazda
10534;Dodge
10535;Ferrari
10536;Mitsubishi
10537;Mazda
10538;Mercedes-Benz
10539;Pontiac
10540;Mercedes-Benz
10541;Hyundai
10542;GMC
10543;Mercedes-Benz
10544;Honda
10545;Pontiac
10546;Chevrolet
10547;Honda
10548;Cadillac
10549;Lamborghini
10550;Chevrolet
10551;Mercury
10552;Audi
10553;Ford
10554;Cadillac
10555;Chrysler
10556;Pontiac
10557;BMW
10558;Lincoln
10559;Porsche
10560;Suzuki
10561;Dodge
10562;Mercury
10563;Dodge
10564;Mazda
10565;Mercedes-Benz
10566;Plymouth
10567;Dodge
10568;Oldsmobile
10569;Toyota
10570;Bentley
10571;Mitsubishi
10572;Ford
10573;Chevrolet
10574;Audi
10575;Saab
10576;Buick
10577;BMW
10578;Mitsubishi
10579;Ford
10580;Subaru
10581;Honda
10582;Audi
10583;Volkswagen
10584;Ford
10585;Chrysler
10586;Toyota
10587;GMC
10588;Mazda
10589;Saab
10590;Mercury
10591;Honda
10592;Cadillac
10593;Toyota
10594;Mercury
10595;Mitsubishi
10596;GMC
10597;Lincoln
10598;Dodge
10599;Toyota
10600;Toyota
10601;Mercedes-Benz
10602;Acura
10603;Ford
10604;GMC
10605;Volvo
10606;Dodge
10607;Chevrolet
10608;Audi
10609;Buick
10610;Mazda
10611;Pontiac
10612;Pontiac
10613;Aston Martin
10614;Lexus
10615;Lamborghini
10616;Pontiac
10617;Mitsubishi
10618;Mazda
10619;Nissan
10620;Chevrolet
10621;Dodge
10622;Chrysler
10623;Mercedes-Benz
10624;Scion
10625;Buick
10626;Pontiac
10627;Chevrolet
10628;Acura
10629;Mercury
10630;Kia
10631;Porsche
10632;Ford
10633;Isuzu
10634;Mitsubishi
10635;Suzuki
10636;Jaguar
10637;Oldsmobile
10638;BMW
10639;Nissan
10640;Pontiac
10641;Mitsubishi
10642;Honda
10643;Pontiac
10644;Chevrolet
10645;Ford
10646;Rolls-Royce
10647;Isuzu
10648;Ford
10649;Mazda
10650;Chevrolet
10651;Mercury
10652;Toyota
10653;Volvo
10654;GMC
10655;Subaru
10656;Chevrolet
10657;Kia
10658;Volkswagen
10659;Porsche
10660;Mazda
10661;Mercedes-Benz
10662;Bugatti
10663;Mazda
10664;Suzuki
10665;Mercedes-Benz
10666;Mitsubishi
10667;Cadillac
10668;Isuzu
10669;Subaru
10670;Mitsubishi
10671;Dodge
10672;Chevrolet
10673;Lincoln
10674;Kia
10675;Porsche
10676;Jeep
10677;Chrysler
10678;Lexus
10679;BMW
10680;Lamborghini
10681;GMC
10682;Mitsubishi
10683;Chevrolet
10684;Chrysler
10685;Mercedes-Benz
10686;Cadillac
10687;Pontiac
10688;GMC
10689;Nissan
10690;Saab
10691;Toyota
10692;Audi
10693;Ford
10694;Volkswagen
10695;Volkswagen
10696;Mazda
10697;Honda
10698;Mitsubishi
10699;Chevrolet
10700;GMC
10701;Ford
10702;GMC
10703;Infiniti
10704;Dodge
10705;Ford
10706;Chevrolet
10707;Infiniti
10708;Jeep
10709;Mitsubishi
10710;Oldsmobile
10711;Volkswagen
10712;Mercedes-Benz
10713;Ford
10714;Porsche
10715;Chevrolet
10716;Chevrolet
10717;Volvo
10718;Ford
10719;Mitsubishi
10720;Chevrolet
10721;Mazda
10722;Nissan
10723;Audi
10724;Pontiac
10725;Nissan
10726;Toyota
10727;Honda
10728;GMC
10729;Ford
10730;Infiniti
10731;Ford
10732;Land Rover
10733;Mitsubishi
10734;Mercedes-Benz
10735;Ford
10736;Subaru
10737;Lexus
10738;Mazda
10739;Oldsmobile
10740;Volvo
10741;Saab
10742;BMW
10743;Ford
10744;Oldsmobile
10745;Chevrolet
10746;Mitsubishi
10747;Toyota
10748;Chevrolet
10749;MINI
10750;Infiniti
10751;Buick
10752;Nissan
10753;MINI
10754;Toyota
10755;Pontiac
10756;Infiniti
10757;Buick
10758;Audi
10759;Saab
10760;Geo
10761;Isuzu
10762;Jaguar
10763;Suzuki
10764;Ford
10765;Mitsubishi
10766;Pontiac
10767;Chevrolet
10768;Porsche
10769;Suzuki
10770;Dodge
10771;Plymouth
10772;Volkswagen
10773;Porsche
10774;Toyota
10775;Daewoo
10776;Pontiac
10777;Audi
10778;Mitsubishi
10779;Dodge
10780;Hyundai
10781;Ford
10782;Suzuki
10783;Jeep
10784;Chevrolet
10785;Subaru
10786;Mercedes-Benz
10787;Hyundai
10788;GMC
10789;Porsche
10790;Mitsubishi
10791;Pontiac
10792;Eagle
10793;Lotus
10794;Isuzu
10795;Volkswagen
10796;BMW
10797;Land Rover
10798;Hyundai
10799;Chevrolet
10800;Ford
10801;Mitsubishi
10802;Saturn
10803;Mercedes-Benz
10804;GMC
10805;Ford
10806;Hyundai
10807;Lotus
10808;Chrysler
10809;Kia
10810;Toyota
10811;Isuzu
10812;Porsche
10813;Kia
10814;Ford
10815;Maserati
10816;GMC
10817;Isuzu
10818;Mercedes-Benz
10819;Mercury
10820;Chevrolet
10821;GMC
10822;Ford
10823;GMC
10824;Acura
10825;Nissan
10826;Honda
10827;Dodge
10828;Mercedes-Benz
10829;Mazda
10830;Pontiac
10831;Pontiac
10832;Kia
10833;GMC
10834;Chrysler
10835;Lincoln
10836;Subaru
10837;Mercury
10838;Chevrolet
10839;GMC
10840;Jaguar
10841;Buick
10842;Ford
10843;Kia
10844;Dodge
10845;Jaguar
10846;Mitsubishi
10847;Pontiac
10848;Chevrolet
10849;Audi
10850;Ford
10851;Plymouth
10852;Porsche
10853;Toyota
10854;Mitsubishi
10855;Infiniti
10856;Ford
10857;Chevrolet
10858;Acura
10859;Mercury
10860;Chevrolet
10861;Saab
10862;Saab
10863;Honda
10864;Jeep
10865;Lotus
10866;Nissan
10867;Dodge
10868;GMC
10869;Nissan
10870;Dodge
10871;Isuzu
10872;Pontiac
10873;Cadillac
10874;GMC
10875;Chevrolet
10876;Pontiac
10877;Ford
10878;Land Rover
10879;Porsche
10880;Suzuki
10881;Cadillac
10882;Buick
10883;Nissan
10884;Ford
10885;Dodge
10886;GMC
10887;Lotus
10888;Chevrolet
10889;Volkswagen
10890;GMC
10891;Audi
10892;Audi
10893;Mercury
10894;Spyker
10895;Chevrolet
10896;BMW
10897;Mercedes-Benz
10898;Pontiac
10899;Lexus
10900;Oldsmobile
10901;Chevrolet
10902;Dodge
10903;Mazda
10904;Mercedes-Benz
10905;Toyota
10906;Ford
10907;Land Rover
10908;Ford
10909;Mercedes-Benz
10910;Volkswagen
10911;Buick
10912;Toyota
10913;Ford
10914;Audi
10915;Toyota
10916;Chrysler
10917;Ford
10918;Mitsubishi
10919;Toyota
10920;Nissan
10921;Pontiac
10922;Ford
10923;Nissan
10924;Mercedes-Benz
10925;Land Rover
10926;Lexus
10927;Mercedes-Benz
10928;Lexus
10929;Saturn
10930;Volvo
10931;Mazda
10932;Lexus
10933;Ford
10934;Mitsubishi
10935;Honda
10936;Chevrolet
10937;Mercedes-Benz
10938;BMW
10939;Hummer
10940;Suzuki
10941;Subaru
10942;Mercedes-Benz
10943;GMC
10944;Dodge
10945;Ford
10946;Hyundai
10947;Isuzu
10948;Chrysler
10949;Saab
10950;Volvo
10951;Nissan
10952;Volvo
10953;Scion
10954;Ford
10955;Lamborghini
10956;Chevrolet
10957;Chevrolet
10958;Buick
10959;Jaguar
10960;Chevrolet
10961;GMC
10962;Jeep
10963;Infiniti
10964;Dodge
10965;Chrysler
10966;Infiniti
10967;Mercury
10968;Fiat
10969;Saab
10970;GMC
10971;Chevrolet
10972;Hummer
10973;Audi
10974;BMW
10975;Volkswagen
10976;Porsche
10977;Ford
10978;Mitsubishi
10979;Dodge
10980;Dodge
10981;Buick
10982;Dodge
10983;Mazda
10984;Saturn
10985;Dodge
10986;Dodge
10987;Ford
10988;GMC
10989;Ford
10990;Audi
10991;Nissan
10992;Mitsubishi
10993;Aptera
10994;Audi
10995;Volkswagen
10996;Ford
10997;Dodge
10998;Cadillac
10999;Honda
11000;Mazda
