AltNameID,PhenotypeID
10968,1000633
10064,1000113
10612,1000699
10527,1000386
10423,1000427
10176,1000199
10843,1000408
10239,1000853
10542,1000331
10798,1000462
10084,1000412
10405,1000334
10328,1000124
10747,1000631
10074,1000663
10576,1000375
10894,1000095
10111,1000239
10153,1000247
10615,1000137
10904,1000870
10394,1000500
10702,1000622
10510,1000281
10542,1000862
10771,1000616
10239,1000929
10480,1000645
10455,1000413
10664,1000080
10709,1000583
10248,1000285
10616,1000920
10637,1000402
10855,1000376
10652,1000356
10966,1000075
10137,1000416
10819,1000668
10794,1000014
10848,1000622
10021,1000356
10083,1000537
10961,1000265
10334,1000889
10374,1000755
10975,1000959
10331,1000366
10752,1000794
10773,1000047
10858,1000759
10959,1000505
10920,1000598
10345,1000382
10893,1000794
10571,1000130
10024,1000278
10321,1000933
10462,1000200
10786,1000069
10030,1000470
10686,1000194
10386,1000099
10487,1000718
10648,1000764
10693,1000360
10773,1000236
10966,1000093
10610,1000477
10623,1000078
10446,1000041
10391,1000137
10032,1000872
10993,1000645
10764,1000815
10226,1000105
10532,1000991
10021,1000861
10405,1000403
10729,1000130
10153,1000919
10887,1000933
10573,1000473
10647,1000616
10572,1000796
10032,1000421
10461,1000037
10960,1000669
10227,1000474
10294,1000435
10715,1000182
10178,1000507
10578,1000889
10339,1000548
10608,1000853
10564,1000215
10126,1000657
10876,1000599
10854,1000981
10873,1000669
10942,1000736
10298,1000738
10017,1000155
10353,1000422
10577,1000408
10569,1000486
10048,1000968
10926,1000219
10382,1000689
10079,1000842
10205,1000016
10059,1000442
10803,1000461
10138,1000060
10085,1000091
10652,1000104
10288,1000448
10172,1000356
10583,1000808
10786,1000639
10825,1000865
10938,1000551
10358,1000687
10096,1000884
10696,1000517
10753,1000847
10070,1000011
10652,1000837
10769,1000863
10577,1000268
10880,1000986
10780,1000567
10255,1000648
10668,1000800
10318,1000076
10077,1000707
10784,1000668
10099,1000797
10901,1000359
10513,1000581
10977,1000266
10014,1000364
10088,1000355
10438,1000507
10763,1000254
10169,1000399
10216,1000661
10528,1000399
10690,1000851
10870,1000383
10731,1000925
10432,1000902
10407,1000993
10380,1000662
10654,1000518
10127,1000737
10655,1000104
10002,1000225
10225,1000024
10417,1000613
10898,1000335
10465,1000713
10468,1000967
10261,1000077
10931,1000968
10585,1000284
10653,1000104
10006,1000841
10022,1000567
10116,1000825
10035,1000935
10311,1000037
10244,1000425
10164,1000318
10918,1000210
10949,1000372
10758,1000568
10920,1000421
10248,1000742
10750,1000166
10026,1000501
10739,1000989
10873,1000887
10192,1000600
10712,1000275
10280,1000102
10076,1000004
10306,1000520
10992,1000375
10067,1000243
10398,1000646
10789,1000542
10927,1000792
10468,1000950
10554,1000850
10200,1000876
10259,1000881
10905,1000480
10910,1000822
10878,1000474
10393,1000983
10667,1000012
10722,1000698
10078,1000364
10624,1000359
10068,1000735
10086,1000586
10003,1000153
10443,1000418
10127,1000449
10539,1000091
10627,1000989
10679,1000850
10658,1000863
10075,1000674
10088,1000321
10442,1000014
10980,1000611
10457,1000254
10782,1000790
10401,1000496
10987,1000585
10501,1000180
10642,1000364
10688,1000098
10805,1000779
10137,1000357
10956,1000010
10344,1000792
10995,1000114
10564,1000215
10598,1000900
10585,1000535
10757,1000037
10875,1000802
10110,1000342
10745,1000801
10769,1000441
10388,1000359
10170,1000556
10994,1000918
10119,1000570
10011,1000831
10425,1000872
10627,1000933
10810,1000678
10069,1000166
10422,1000947
10961,1000645
10238,1000489
10410,1000880
10608,1000238
10661,1000454
10905,1000245
10469,1000920
10537,1000500
10231,1000836
10232,1000766
10739,1000809
10900,1000058
10665,1000288
10707,1000053
10119,1000277
10281,1000777
10490,1000539
10615,1000324
10051,1000657
10148,1000253
10075,1000750
10870,1000686
10383,1000211
10105,1000506
10441,1000015
10967,1000822
10454,1000610
10074,1000562
10381,1000134
10706,1000760
10214,1000742
10494,1000940
10735,1000391
10086,1000407
10441,1000336
10201,1000441
10728,1000807
10419,1000279
10260,1000942
10573,1000168
10231,1000150
10406,1000359
10052,1000334
10163,1000375
10119,1000267
10777,1000677
10179,1000409
10221,1000916
10179,1000130
10002,1000313
10831,1000639
10423,1000936
10748,1000478
10727,1000642
10450,1000197
10083,1000128
10211,1000920
10722,1000643
10089,1000503
10875,1000261
10443,1000661
10623,1000148
10391,1000331
10227,1000922
10806,1000544
10867,1000201
10349,1000632
10016,1000162
10822,1000742
10883,1000742
10323,1000491
10144,1000776
10488,1000825
10569,1000148
10196,1000300
10409,1000254
10233,1000350
10770,1000100
10435,1000958
10469,1000489
10381,1000212
10153,1000374
10698,1000135
10174,1000166
10563,1000573
10927,1000588
10753,1000068
10705,1000019
10622,1000590
10241,1000802
10078,1000472
10981,1000952
10350,1000422
10738,1000248
10278,1000963
10602,1000040
10785,1000044
10966,1000240
10832,1000699
10090,1000297
10921,1000763
10020,1000307
10004,1000733
10245,1000431
10053,1000963
10270,1000952
10953,1000990
10515,1000944
10720,1000948
10411,1000986
10345,1000119
10123,1000395
10090,1000664
10102,1000153
10887,1000553
10022,1000532
10288,1000756
10336,1000034
10142,1000105
10528,1000308
10126,1000458
10144,1000282
10987,1000226
10561,1000154
10642,1000916
10438,1000193
10473,1000879
10671,1000519
10383,1000481
10070,1000224
10437,1000719
10323,1000285
10222,1000895
10457,1000534
10717,1000753
10974,1000584
10090,1000178
10176,1000085
10924,1000554
10817,1000750
10397,1000367
10664,1000692
10343,1000401
10586,1000676
10084,1000286
10125,1000718
10953,1000990
10415,1000319
10543,1000621
10999,1000279
10428,1000479
10416,1000385
10023,1000892
10482,1000384
10807,1000791
10352,1000399
10621,1000910
10020,1000041
10643,1000218
10819,1000670
10469,1000918
10291,1000964
10259,1000461
10874,1000422
10110,1000081
10158,1000019
10551,1000229
10774,1000684
10843,1000981
10573,1000187
10038,1000634
10812,1000058
10642,1000592
10723,1000167
10531,1000755
10887,1000862
10468,1000203
10834,1000308
10488,1000573
10289,1000560
10740,1000881
10016,1000376
10958,1000466
10250,1000696
10531,1000191
10385,1000397
10456,1000658
10964,1000547
10161,1000444
10495,1000526
10027,1000126
10762,1000251
10241,1000538
10306,1000589
10644,1000437
10443,1000204
10152,1000089
10021,1000687
10986,1000945
10927,1000839
10957,1000917
10830,1000088
10772,1000701
10877,1000300
10627,1000663
10754,1000733
10398,1000354
10073,1000472
10801,1000523
10652,1000535
10795,1000215
10335,1000397
10849,1000445
10910,1000876
10421,1000627
10982,1000010
10910,1000895
10642,1000117
10877,1000518
10470,1000165
10139,1000905
10576,1000889
10914,1000475
10777,1000209
10175,1000693
10726,1000218
10624,1000285
10673,1000980
10315,1000621
10592,1000115
10815,1000755
10685,1000451
10355,1000794
10563,1000814
10094,1000419
10347,1000172
10860,1000252
10169,1000981
10930,1000470
10681,1000189
10666,1000441
10366,1000194
10034,1000781
10183,1000987
10733,1000296
10791,1000878
10454,1000512
10208,1000450
10817,1000240
10088,1000040
10506,1000795
10978,1000841
10451,1000452
10309,1000526
10798,1000520
10950,1000716
10067,1000854
10107,1000465
10773,1000342
10919,1000206
10624,1000141
10392,1000246
10006,1000247
10017,1000949
10012,1000834
10344,1000843
10591,1000854
10717,1000046
10240,1000065
10477,1000995
10658,1000630
10043,1000289
10917,1000910
10089,1000010
10531,1000436
10568,1000377
10765,1000399
10625,1000693
10305,1000737
10424,1000087
10337,1000495
10068,1000048
10902,1000883
10867,1000270
10074,1000293
10931,1000480
10669,1000447
10540,1000299
10594,1000204
10890,1000808
10603,1000978
10686,1000264
10507,1000738
10402,1000773
10998,1000712
10272,1000147
10689,1000333
10414,1000707
10782,1000990
10171,1000562
10260,1000435
10347,1000973
10740,1000158
10208,1000279
10757,1000913
10862,1000586
10106,1000346
10092,1000878
10211,1000088
10961,1000889
10789,1000196
10418,1000639
10423,1000358
10875,1000391
10580,1000419
10719,1000147
10988,1000139
10129,1000314
10055,1000791
10299,1000506
10785,1000499
10072,1000146
10321,1000836
10415,1000177
10033,1000501
10341,1000598
10080,1000906
10446,1000209
10793,1000172
10917,1000469
10871,1000296
10470,1000396
10451,1000406
10748,1000843
10782,1000750
10086,1000022
10477,1000032
10549,1000267
10618,1000802
10816,1000867
10709,1000874
10034,1000822
10169,1000142
10043,1000466
10018,1000670
10036,1000597
10842,1000814
10082,1000979
10524,1000804
10987,1000570
10209,1000687
10554,1000144
10228,1000450
10270,1000369
10338,1000379
10212,1000368
10239,1000926
10305,1000910
10260,1000885
10370,1000120
10691,1000891
10818,1000332
10311,1000828
10569,1000784
10002,1000129
10700,1000501
10589,1000216
10088,1000712
10622,1000864
10685,1000001
10680,1000944
10050,1000224
10033,1000102
10140,1000512
10581,1000931
10372,1000809
10153,1000067
10618,1000416
10392,1000489
10080,1000426
10186,1000856
10799,1000990
10695,1000795
10431,1000460
10470,1000543
10732,1000469
10895,1000233
10104,1000174
10800,1000233
10657,1000765
10999,1000704
10049,1000203
10969,1000338
10813,1000862
10938,1000540
10906,1000123
10125,1000130
10742,1000224
10294,1000618
10978,1000447
10039,1000335
10072,1000488
10677,1000337
10759,1000165
10112,1000745
10032,1000593
10457,1000236
10749,1000832
10474,1000268
10977,1000318
10313,1000160
10319,1000873
10719,1000328
10192,1000267
10615,1000032
10809,1000503
10556,1000644
10801,1000666
10498,1000981
10606,1000568
10968,1000493
10822,1000752
10319,1000424
10283,1000608
10027,1000721
10358,1000541
10417,1000031
10396,1000244
10211,1000197
10146,1000714
10108,1000784
10443,1000764
10794,1000711
10559,1000802
10576,1000759
10444,1000387
10068,1000388
10065,1000901
10333,1000470
10569,1000145
10366,1000338
10384,1000585
10844,1000822
10004,1000948
10123,1000594
10003,1000910
10768,1000855
10392,1000612
10894,1000566
10851,1000282
10923,1000302
10699,1000399
10742,1000442
10735,1000046
10920,1000892
10243,1000723
10645,1000086
10738,1000733
10929,1000550
10691,1000207
10708,1000268
10169,1000808
10531,1000236
10607,1000851
10749,1000480
10308,1000623
10909,1000521
10395,1000788
10595,1000309
10721,1000660
10222,1000212
10647,1000178
10344,1000213
10644,1000796
10992,1000198
10209,1000878
10295,1000151
10677,1000179
10545,1000097
10318,1000342
10119,1000830
10385,1000492
10236,1000443
10835,1000826
10022,1000125
10251,1000260
10794,1000777
10686,1000801
10501,1000987
10578,1000915
10475,1000674
10568,1000630
10099,1000892
10457,1000421
10911,1000815
10496,1000094
10964,1000922
10414,1000733
10459,1000491
10807,1000643
10386,1000042
10369,1000409
10103,1000375
10628,1000160
10199,1000748
10056,1000172
10926,1000574
10065,1000546
10028,1000675
10259,1000461
10803,1000557
10272,1000480
10192,1000709
10803,1000358
10806,1000287
10743,1000206
10309,1000155
10311,1000024
10431,1000218
10473,1000552
10449,1000214
10328,1000033
10770,1000457
10865,1000136
10073,1000473
10290,1000784
10306,1000091
10401,1000590
10482,1000402
10758,1000732
10888,1000795
10996,1000485
10264,1000818
10915,1000790
10003,1000445
10094,1000174
10811,1000488
10716,1000664
10408,1000217
10773,1000611
10934,1000715
10633,1000695
10947,1000217
10067,1000312
10894,1000018
10258,1000437
10242,1000135
10916,1000529
10355,1000203
10277,1000969
10019,1000771
10311,1000439
10466,1000639
10041,1000318
10556,1000289
10983,1000602
10179,1000559
10934,1000275
10534,1000082
10371,1000257
10968,1000386
10279,1000521
10778,1000869
10853,1000301
10329,1000811
10958,1000056
10910,1000640
10240,1000796
10172,1000560
10584,1000860
10551,1000217
10782,1000598
10803,1000998
10254,1000780
10103,1000266
10445,1000445
10998,1000467
