PropertyID;PropertyName;PropertyType
200089;Wells Fargo & Company;RU
200090;Aerie Pharmaceuticals, Inc.;BR
200091;THL Credit Senior Loan Fund;CA
200092;First Trust Municipal CEF Income Opportunity ETF;PT
200093;Constellation Brands Inc;NG
200094;CUI Global, Inc.;KE
200095;Avery Dennison Corporation;CN
200096;Mota Group, Inc.;KG
200097;GasLog LP.;CN
200098;Global X Yieldco Index ETF;PL
200099;CNX Coal Resources LP;NG
200100;SEI Investments Company;MD
200101;United States Cellular Corporation;PH
200102;Amedisys Inc;CN
200103;Whitestone REIT;NL
200104;Frankly, Inc.;MU
200105;Louisiana-Pacific Corporation;ID
200106;ResMed Inc.;CN
200107;Attunity Ltd.;CN
200108;Double Eagle Acquisition Corp.;EE
200109;Oramed Pharmaceuticals Inc.;VN
200110;First Busey Corporation;CN
200111;Pentair plc.;UA
200112;Hydrogenics Corporation;PL
200113;Southern Company (The);CN
200114;Zion Oil & Gas Inc;GR
200115;Gladstone Commercial Corporation;CO
200116;Fresh Del Monte Produce, Inc.;VN
200117;Washington Prime Group Inc.;CN
200118;Neuralstem, Inc.;MG
200119;LKQ Corporation;PT
200120;Laureate Education, Inc.;BR
200121;58.com Inc.;FR
200122;NextEra Energy, Inc.;BR
200123;Goldcorp Inc.;EG
200124;Willamette Valley Vineyards, Inc.;CN
200125;Asia Tigers Fund, Inc. (The);TN
200126;Arch Capital Group Ltd.;AR
200127;iPath US Treasury 2-year Bull ETN;CA
200128;PowerShares DWA Utilities Momentum Portfolio;PH
200129;Alimera Sciences, Inc.;MA
200130;Weyco Group, Inc.;AR
200131;First Trust Mid Cap Growth AlphaDEX Fund;BR
200132;Fiat Chrysler Automobiles N.V.;RU
200133;Hilltop Holdings Inc.;CN
200134;Acushnet Holdings Corp.;BA
200135;Benefitfocus, Inc.;BR
200136;Cimarex Energy Co;TR
200137;Standex International Corporation;PL
200138;RLJ Entertainment, Inc.;CN
200139;Sunesis Pharmaceuticals, Inc.;MX
200140;II-VI Incorporated;MU
200141;Becton, Dickinson and Company;CN
200142;First Trust Dynamic Europe Equity Income Fund;FR
200143;Chicago Bridge & Iron Company N.V.;PH
200144;Zion Oil & Gas Inc;PT
200145;Tortoise Power and Energy Infrastructure Fund, Inc;FR
200146;GGP Inc.;KR
200147;On Assignment, Inc.;NP
200148;BSQUARE Corporation;MY
200149;Hawaiian Telcom Holdco, Inc.;PL
200150;PowerShares S&P SmallCap Consumer Staples Portfolio;RU
200151;Kroger Company (The);ZA
200152;Citigroup Inc.;ID
200153;Wright Medical Group N.V.;CN
200154;Chuy's Holdings, Inc.;PT
200155;Medtronic plc;CN
200156;Duluth Holdings Inc.;US
200157;Novartis AG;CN
200158;Redwood Trust, Inc.;CN
200159;Genomic Health, Inc.;CN
200160;MIDSTATES PETROLEUM COMPANY, INC.;RU
200161;Varex Imaging Corporation;DO
200162;Harmony Gold Mining Company Limited;PT
200163;WisdomTree China ex-State-Owned Enterprises Fund;JO
200164;Sabra Healthcare REIT, Inc.;PH
200165;NewStar Financial, Inc.;CZ
200166;Viacom Inc.;PH
200167;Eaton Vance Tax-Advantaged Bond;CO
200168;M.D.C. Holdings, Inc.;CN
200169;Anthem, Inc.;CN
200170;NextEra Energy, Inc.;CN
200171;Revance Therapeutics, Inc.;RU
200172;Inotek Pharmaceuticals Corporation;UA
200173;Korn/Ferry International;MN
200174;Diana Shipping inc.;ME
200175;Cara Therapeutics, Inc.;CN
200176;MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14;FR
200177;Annaly Capital Management Inc;PH
200178;Comp En De Mn Cemig ADS;ME
200179;PowerShares FTSE International Low Beta Equal Weight Portfolio;PY
200180;Interpublic Group of Companies, Inc. (The);BR
200181;Bay Bancorp, Inc.;RU
200182;YY Inc.;TH
200183;ZAIS Group Holdings, Inc.;TH
200184;Five Oaks Investment Corp.;GT
200185;Global X Yieldco Index ETF;ID
200186;SAP SE;CN
200187;Dynegy Inc.;ID
200188;Blackrock Enhanced Government Fund, Inc;CR
200189;Stanley Black & Decker, Inc.;VE
200190;Aehr Test Systems;MX
200191;Numerex Corp.;CN
200192;First Hawaiian, Inc.;PT
200193;Fifth Street Asset Management Inc.;BR
200194;FlexShares Real Assets Allocation Index Fund;CN
200195;Gabelli Convertible and Income Securities Fund, Inc. (The);IQ
200196;Entegris, Inc.;PL
200197;Gladstone Capital Corporation;RU
200198;Twilio Inc.;PT
200199;Plexus Corp.;RU
200200;Potash Corporation of Saskatchewan Inc.;CN
200201;Avenue Therapeutics, Inc.;PH
200202;China Recycling Energy Corporation;MT
200203;EV Energy Partners, L.P.;SE
200204;Standex International Corporation;PE
200205;Minerals Technologies Inc.;PL
200206;Oncobiologics, Inc.;ID
200207;Landauer, Inc.;JP
200208;iShares MSCI Global Impact ETF;CN
200209;Cowen Inc.;ID
200210;TransUnion;CN
200211;Lumber Liquidators Holdings, Inc;AL
200212;Blue Buffalo Pet Products, Inc.;CN
200213;WisdomTree Japan Hedged SmallCap Equity Fund;ID
200214;Alere Inc.;GR
200215;Tower Semiconductor Ltd.;IR
200216;Grupo Financiero Santander Mexico S.A. B. de C.V.;AZ
200217;Pitney Bowes Inc.;TD
200218;iShares GNMA Bond ETF;PH
200219;SeaChange International, Inc.;TZ
200220;Prospect Capital Corporation;ZA
200221;PowerShares Multi-Strategy Alternative Portfolio;LU
200222;Pingtan Marine Enterprise Ltd.;UA
200223;Retail Properties of America, Inc.;ID
200224;Hingham Institution for Savings;ID
200225;Morgan Stanley India Investment Fund, Inc.;UA
200226;Astoria Financial Corporation;PT
200227;O2Micro International Limited;ID
200228;Lilis Energy, Inc.;CN
200229;Eyegate Pharmaceuticals, Inc.;CN
200230;Smart Sand, Inc.;CZ
200231;Ternium S.A.;PE
200232;iShares Commodities Select Strategy ETF;CN
200233;Credit Acceptance Corporation;ZA
200234;iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun;US
200235;PAR Technology Corporation;ZA
200236;Crescent Point Energy Corporation;CN
200237;CNX Coal Resources LP;CN
200238;Saratoga Investment Corp;IR
200239;Carnival Corporation;CO
200240;Haverty Furniture Companies, Inc.;CN
200241;NextEra Energy Partners, LP;CZ
200242;Phillips 66 Partners LP;ID
200243;Affiliated Managers Group, Inc.;CA
200244;Validus Holdings, Ltd.;PL
200245;Westell Technologies, Inc.;CZ
200246;SEI Investments Company;ES
200247;WisdomTree Emerging Markets Corporate Bond Fund;CN
200248;BlackRock, Inc.;KE
200249;National Health Investors, Inc.;GR
200250;Applied Genetic Technologies Corporation;UY
200251;CU Bancorp (CA);CL
200252;Arotech Corporation;CN
200253;IntriCon Corporation;HN
200254;Boulevard Acquisition Corp. II;BR
200255;FLIR Systems, Inc.;CN
200256;Tekla Healthcare Investors;CN
200257;Resource Capital Corp.;UA
200258;South Jersey Industries, Inc.;AR
200259;Blackrock California Municipal 2018 Term Trust;BR
200260;G1 Therapeutics, Inc.;PS
200261;Armstrong Flooring, Inc.;CN
200262;Hutchison China MediTech Limited;US
200263;Barclays PLC;PT
200264;Globant S.A.;PH
200265;Craft Brew Alliance, Inc.;DE
200266;Evolving Systems, Inc.;BR
200267;PPlus Trust;PH
200268;American Electric Technologies, Inc.;DE
200269;Humana Inc.;CN
200270;Oncobiologics, Inc.;BA
200271;WSFS Financial Corporation;CN
200272;Noble Corporation;CN
200273;MidWestOne Financial Group, Inc.;CN
200274;Liberty Interactive Corporation;ID
200275;Amtech Systems, Inc.;GR
200276;Franklin Covey Company;TN
200277;James River Group Holdings, Ltd.;ID
200278;Royce Micro-Cap Trust, Inc.;JP
200279;BlueStar TA-BIGITech Israel Technology ETF;RU
200280;Patriot National Bancorp Inc.;CN
200281;Blackrock Municipal Bond Trust;CA
200282;ENDRA Life Sciences Inc.;PH
200283;Novavax, Inc.;HR
200284;Global Net Lease, Inc.;CO
200285;Sun Communities, Inc.;ID
200286;Videocon d2h Limited;ML
200287;Starbucks Corporation;FR
200288;Global X Social Media ETF;PL
200289;Hoegh LNG Partners LP;SE
200290;Sarepta Therapeutics, Inc.;CN
200291;Freeport-McMoran, Inc.;BR
200292;TravelCenters of America LLC;NG
200293;Drive Shack Inc.;CO
200294;E.I. du Pont de Nemours and Company;ID
200295;American Airlines Group, Inc.;PL
200296;Caterpillar, Inc.;SB
200297;Southwestern Energy Company;TN
200298;Rudolph Technologies, Inc.;ID
200299;Bellerophon Therapeutics, Inc.;RU
200300;Anadarko Petroleum Corporation;CN
200301;Western New England Bancorp, Inc.;HR
200302;J P Morgan Chase & Co;SE
200303;BMC Stock Holdings, Inc.;FI
200304;UMB Financial Corporation;PH
200305;AmTrust Financial Services, Inc.;CN
200306;General Cable Corporation;ID
200307;Albany Molecular Research, Inc.;GM
200308;Open Text Corporation;ID
200309;LATAM Airlines Group S.A.;RU
200310;ACADIA Pharmaceuticals Inc.;CN
200311;SVB Financial Group;US
200312;Hersha Hospitality Trust;PL
200313;Buffalo Wild Wings, Inc.;ID
200314;Alliance One International, Inc.;ID
200315;Mercury General Corporation;PH
200316;PIMCO California Municipal Income Fund III;CN
200317;Petrobras Argentina S.A.;NG
200318;Chatham Lodging Trust (REIT);GR
200319;Digi International Inc.;BG
200320;Stellar Biotechnologies, Inc.;CN
200321;Manning & Napier, Inc.;KZ
200322;Cabela's Inc;CN
200323;NIC Inc.;PH
200324;BanColombia S.A.;IR
200325;Middlefield Banc Corp.;CN
200326;MVC Capital, Inc.;ID
200327;DST Systems, Inc.;JP
200328;NovoCure Limited;PH
200329;OFS Capital Corporation;CA
200330;Commvault Systems, Inc.;CN
200331;Atkore International Group Inc.;BR
200332;Interactive Brokers Group, Inc.;US
200333;Tactile Systems Technology, Inc.;PT
200334;Ability Inc.;CZ
200335;Pattern Energy Group Inc.;BW
200336;ONEOK Partners, L.P.;NL
200337;Papa John's International, Inc.;PT
200338;IRSA Inversiones Y Representaciones S.A.;CN
200339;Gabelli Equity Trust, Inc. (The);PT
200340;American Financial Group, Inc.;PH
200341;Imperva, Inc.;ID
200342;Comstock Resources, Inc.;SL
200343;J. Alexander's Holdings, Inc.;PK
200344;Capital City Bank Group;SV
200345;Hartford Financial Services Group, Inc. (The);CN
200346;United States Lime & Minerals, Inc.;HN
200347;Southern California Edison Company;PH
200348;General Cable Corporation;CN
200349;HubSpot, Inc.;ID
200350;Repligen Corporation;CN
200351;DHI Group, Inc.;SY
200352;National Steel Company;PT
200353;JetPay Corporation;PA
200354;PCM, Inc.;PT
200355;Lake Shore Bancorp, Inc.;CN
200356;Navios Maritime Partners LP;CN
200357;GWG Holdings, Inc;SY
200358;Sasol Ltd.;ID
200359;Telecom Italia S.P.A.;CN
200360;Chemours Company (The);AZ
200361;Bunge Limited;PE
200362;Bank of N.T. Butterfield & Son Limited (The);ID
200363;Wells Fargo & Company;MX
200364;DTE Energy Company;RU
200365;Aquinox Pharmaceuticals, Inc.;PH
200366;Magal Security Systems Ltd.;DO
200367;BalckRock Taxable Municipal Bond Trust;TH
200368;IBERIABANK Corporation;CN
200369;Frank's International N.V.;PT
200370;Magna International, Inc.;BR
200371;Hilton Worldwide Holdings Inc.;MK
200372;OSI Systems, Inc.;LB
200373;Medley Capital Corporation;BR
200374;United Community Bancorp;QA
200375;Foundation Medicine, Inc.;PL
200376;Western Gas Partners, LP;XK
200377;Enzo Biochem, Inc.;CN
200378;Anavex Life Sciences Corp.;TH
200379;AAON, Inc.;SE
200380;Porter Bancorp, Inc.;GE
200381;Simmons First National Corporation;SZ
200382;Edgewater Technology, Inc.;CM
200383;GDS Holdings Limited;HR
200384;Territorial Bancorp Inc.;LK
200385;Pioneer Natural Resources Company;PS
200386;PRA Group, Inc.;RU
200387;Forward Air Corporation;PT
200388;Fenix Parts, Inc.;ID
200389;Duke Energy Corporation;CN
200390;Vanguard Long-Term Government Bond ETF;MX
200391;Yangtze River Development Limited;ML
200392;Capitol Acquisition Corp. III;ID
200393;Eaton Vance Enhanced Equity Income Fund II;PA
200394;NextEra Energy Partners, LP;JP
200395;Anworth Mortgage Asset  Corporation;CZ
200396;Gray Television, Inc.;CN
200397;Entercom Communications Corporation;PT
200398;Barnes & Noble, Inc.;PL
200399;Tanger Factory Outlet Centers, Inc.;PK
200400;Triangle Capital Corporation;RU
200401;Nustar Energy L.P.;CN
200402;Nuveen Select Tax Free Income Portfolio II;RU
200403;Lions Gate Entertainment Corporation;VN
200404;Willis Lease Finance Corporation;MY
200405;XL Group Ltd.;BR
200406;Mettler-Toledo International, Inc.;ID
200407;Becton, Dickinson and Company;CN
200408;Nuveen Quality Preferred Income Fund 2;ID
200409;Packaging Corporation of America;JP
200410;Silver Standard Resources Inc.;CO
200411;Aoxin Tianli Group, Inc.;ID
200412;Paylocity Holding Corporation;PH
200413;Zynerba Pharmaceuticals, Inc.;CN
200414;China Customer Relations Centers, Inc.;ID
200415;Qualstar Corporation;CN
200416;West Marine, Inc.;BR
200417;Howard Hughes Corporation (The);ID
200418;Kayne Anderson Acquisition Corp.;MK
200419;Xenia Hotels & Resorts, Inc.;PL
200420;Park-Ohio Holdings Corp.;US
200421;Paylocity Holding Corporation;CN
200422;Ashford Hospitality Trust Inc;PH
200423;PowerShares Nasdaq Internet Portfolio;BI
200424;China Life Insurance Company Limited;NP
200425;Nuveen Arizona Quality Municipal Income Fund;NO
200426;WisdomTree U.S. SmallCap Quality Dividend Growth Fund;ID
200427;Cartesian, Inc.;PH
200428;LCNB Corporation;BG
200429;Tabula Rasa HealthCare, Inc.;UA
200430;Avista Healthcare Public Acquisition Corp.;BR
200431;Cambium Learning Group, Inc.;RS
200432;Essent Group Ltd.;CN
200433;United Community Banks, Inc.;LT
200434;Baltimore Gas & Electric Company;NO
200435;Bazaarvoice, Inc.;AR
200436;Innophos Holdings, Inc.;SE
200437;First Cash, Inc.;ID
200438;Tejon Ranch Co;JP
200439;Calithera Biosciences, Inc.;CN
200440;Avianca Holdings S.A.;OM
200441;Sasol Ltd.;AM
200442;Technical Communications Corporation;GR
200443;Pulse Biosciences, Inc;ID
200444;Northwest Natural Gas Company;PK
200445;General Dynamics Corporation;BR
200446;Putnam Municipal Opportunities Trust;JP
200447;First Community Corporation;UY
200448;Magyar Bancorp, Inc.;NL
200449;Janus Henderson Small Cap Growth Alpha ETF;CN
200450;Banco Santander, S.A.;CN
200451;DHT Holdings, Inc.;BR
200452;Ciner Resources LP;PL
200453;Investors Bancorp, Inc.;CR
200454;Lazard World Dividend & Income Fund, Inc.;MG
200455;Nuven Mortgage Opportunity Term Fund 2;BR
200456;iPath US Treasury Long Bond Bull ETN;RS
200457;Wal-Mart Stores, Inc.;FR
200458;Repligen Corporation;FI
200459;United Continental Holdings, Inc.;FR
200460;Tanger Factory Outlet Centers, Inc.;GR
200461;Biomerica, Inc.;MX
200462;Synalloy Corporation;ID
200463;Prudential Public Limited Company;PE
200464;Escalade, Incorporated;MG
200465;Trex Company, Inc.;AF
200466;PIMCO Municipal Income Fund;MA
200467;Blueknight Energy Partners L.P., L.L.C.;FR
200468;Lsb Industries Inc.;PL
200469;eBay Inc.;RU
200470;Inspired Entertainment, Inc.;CN
200471;Clean Diesel Technologies, Inc.;FR
200472;argenx SE;KE
200473;La Jolla Pharmaceutical Company;RU
200474;Citigroup Inc.;HR
200475;El Paso Corporation;CR
200476;Brookfield DTLA Inc.;ID
200477;Mid-America Apartment Communities, Inc.;RU
200478;Ethan Allen Interiors Inc.;RU
200479;Eaton Vance Tax-Managed Diversified Equity Income Fund;CN
200480;Flexsteel Industries, Inc.;CN
200481;Berkshire Hathaway Inc.;CN
200482;Honda Motor Company, Ltd.;HR
200483;Viacom Inc.;DO
200484;Flushing Financial Corporation;US
200485;TG Therapeutics, Inc.;ID
200486;BioDelivery Sciences International, Inc.;TH
200487;DTE Energy Company;CN
200488;Washington Trust Bancorp, Inc.;CN
200489;InterDigital, Inc.;ID
200490;Cognex Corporation;PL
200491;Conyers Park Acquisition Corp.;RU
200492;Kitov Pharmaceuticals Holdings Ltd.;FR
200493;Net Element, Inc.;CN
200494;Quotient Technology Inc.;TZ
200495;Cutera, Inc.;ZA
200496;Camden Property Trust;BY
200497;New Oriental Education & Technology Group, Inc.;PE
200498;IQ Chaikin U.S. Small Cap ETF;UA
200499;GTx, Inc.;PH
200500;Zoe's Kitchen, Inc.;CN
200501;Pimco Income Opportunity Fund;PT
200502;Kayne Anderson MLP Investment Company;BR
200503;Lyon William Homes;ID
200504;Momo Inc.;GR
200505;CHS Inc;ID
200506;Nuveen Real Estate Fund;DO
200507;Morgan Stanley Asia-Pacific Fund, Inc.;FR
200508;Vornado Realty Trust;TN
200509;Synthesis Energy Systems, Inc.;FR
200510;The Navigators Group, Inc.;RU
200511;Pennsylvania Real Estate Investment Trust;LK
200512;Pioneer High Income Trust;FR
200513;Wells Fargo & Company;ID
200514;John Hancock Hedged Equity & Income Fund;FR
200515;Five Below, Inc.;PE
200516;Warrior Met Coal, Inc.;CN
200517;Customers Bancorp, Inc;PL
200518;U.S. Bancorp;AR
200519;Nokia Corporation;CO
200520;Monolithic Power Systems, Inc.;RU
200521;Senior Housing Properties Trust;MY
200522;Ottawa Bancorp, Inc.;SE
200523;General Cable Corporation;UZ
200524;TransUnion;KR
200525;Capitala Finance Corp.;MM
200526;First Trust Dorsey Wright Focus 5 ETF;FR
200527;HNI Corporation;RU
200528;Activision Blizzard, Inc;CL
200529;Bridge Bancorp, Inc.;CN
200530;Teva Pharmaceutical Industries Limited;LY
200531;TAL Education Group;BD
200532;AXT Inc;CO
200533;PowerShares S&P SmallCap Health Care Portfolio;CN
200534;Dell Technologies Inc.;ID
200535;Cardtronics plc;US
200536;TravelCenters of America LLC;UA
200537;Blackrock MuniHoldings Fund, Inc.;DK
200538;China Lodging Group, Limited;ZA
200539;Black Knight Financial Services, Inc.;CN
200540;Community Bank System, Inc.;AF
200541;Vanguard Total International Stock ETF;RU
200542;Artisan Partners Asset Management Inc.;ID
200543;Colony NorthStar, Inc.;CN
200544;Uranium Resources, Inc.;JP
200545;PowerShares 1-30 Laddered Treasury Portfolio;CO
200546;Fibria Celulose S.A.;FR
200547;GlaxoSmithKline PLC;IR
200548;McEwen Mining Inc.;CA
200549;ClearSign Combustion Corporation;EC
200550;PNC Financial Services Group, Inc. (The);PL
200551;DMC Global Inc.;ID
200552;Vanguard Short-Term Corporate Bond ETF;PH
200553;Blackrock MuniHoldings Investment Quality Fund;ID
200554;Ferroglobe PLC;ID
200555;iShares MSCI USA ESG Optimized ETF;MS
200556;Catabasis Pharmaceuticals, Inc.;TZ
200557;TCF Financial Corporation;CN
200558;Foot Locker, Inc.;CN
200559;Prudential Financial, Inc.;MY
200560;Aeglea BioTherapeutics, Inc.;FR
200561;Aberdeen Japan Equity Fund, Inc. ;LT
200562;Flex Ltd.;CO
200563;Zoetis Inc.;CA
200564;Lincoln Electric Holdings, Inc.;ZA
200565;IRSA Propiedades Comerciales S.A.;GR
200566;Nordstrom, Inc.;CN
200567;Tennessee Valley Authority;RU
200568;Avista Healthcare Public Acquisition Corp.;OM
200569;Intec Pharma Ltd.;CI
200570;Radcom Ltd.;ID
200571;Aspen Insurance Holdings Limited;PH
200572;Annaly Capital Management Inc;SE
200573;iShares Fallen Angels USD Bond ETF;PL
200574;Oi S.A.;BD
200575;Royal Bank Of Canada;FR
200576;Viveve Medical, Inc.;PH
200577;Quanex Building Products Corporation;PH
200578;Key Tronic Corporation;FR
200579;FlexShares US Quality Large Cap Index Fund;TZ
200580;1st Source Corporation;CN
200581;Bonso Electronics International, Inc.;CN
200582;ProPhase Labs, Inc.;TH
200583;Blackrock MuniYield Investment QualityFund;CO
200584;NRG Energy, Inc.;FM
200585;Littelfuse, Inc.;RU
200586;Selecta Biosciences, Inc.;CN
200587;Axis Capital Holdings Limited;KZ
200588;MGM Resorts International;CN
200589;Seagate Technology PLC;UZ
200590;Codorus Valley Bancorp, Inc;CN
200591;Salient Midstream & MLP Fund;JP
200592;FBL Financial Group, Inc.;BR
200593;AmTrust Financial Services, Inc.;PH
200594;J & J Snack Foods Corp.;CN
200595;U.S. Global Investors, Inc.;BS
200596;Zymeworks Inc.;ID
200597;Loews Corporation;CN
200598;GCP Applied Technologies Inc.;SE
200599;PowerShares Multi-Strategy Alternative Portfolio;VN
200600;Cohen & Steers Quality Income Realty Fund Inc;CN
200601;Connecticut Water Service, Inc.;PL
200602;Ford Motor Company;PS
200603;Novartis AG;ID
200604;Taro Pharmaceutical Industries Ltd.;NG
200605;Cellectar Biosciences, Inc.;CN
200606;Western Asset Corporate Loan Fund Inc;ID
200607;Nuveen High Income 2020 Target Term Fund;US
200608;Hope Bancorp, Inc.;CN
200609;Union Bankshares Corporation;AZ
200610;SS&C Technologies Holdings, Inc.;PT
200611;BRF S.A.;CO
200612;Suburban Propane Partners, L.P.;BZ
200613;ProShares UltraShort Nasdaq Biotechnology;US
200614;VOXX International Corporation;FR
200615;Legg Mason Global Infrastructure ETF;PE
200616;Liberty TripAdvisor Holdings, Inc.;MX
200617;3D Systems Corporation;PS
200618;RTI Surgical, Inc.;BR
200619;Pacific Drilling S.A.;US
200620;Cytori Therapeutics Inc;PH
200621;Conn's, Inc.;UA
200622;AbbVie Inc.;PT
200623;Sonoco Products Company;ID
200624;WisdomTree China ex-State-Owned Enterprises Fund;ID
200625;Medical Properties Trust, Inc.;AL
200626;PIMCO Municipal Income Fund III;RU
200627;Adobe Systems Incorporated;RU
200628;Cancer Genetics, Inc.;PH
200629;Spectrum Brands Holdings, Inc.;AF
200630;Mistras Group Inc;CN
200631;NeoPhotonics Corporation;MX
200632;General Finance Corporation;SE
200633;PowerShares DWA Tactical Multi-Asset Income Portfolio;MX
200634;BioAmber Inc.;RU
200635;First South Bancorp Inc;MX
200636;Cobalt International Energy, Inc.;UA
200637;Eagle Point Credit Company Inc.;SO
200638;Ventas Realty, Limited Partnership // Ventas Capital Corporati;CN
200639;Rogers Corporation;US
200640;Patheon N.V.;SE
200641;United Dominion Realty Trust, Inc.;PH
200642;Second Sight Medical Products, Inc.;PH
200643;Vuzix Corporation;PT
200644;NRG Yield, Inc.;RU
200645;EQT Corporation;PT
200646;Aetna Inc.;CN
200647;Cable One, Inc.;MY
200648;Clean Energy Fuels Corp.;TH
200649;Japan Smaller Capitalization Fund Inc;CN
200650;Kearny Financial;ID
200651;Eaton Vance Municipal Income Trust;CN
200652;RBC Bearings Incorporated;CN
200653;Vident Core US Equity ETF;PT
200654;The Charles Schwab Corporation;GT
200655;MOCON, Inc.;CN
200656;Harmony Merger Corp.;NO
200657;Public Service Enterprise Group Incorporated;JM
200658;Community Health Systems, Inc.;AL
200659;Central European Media Enterprises Ltd.;CN
200660;Watsco, Inc.;CY
200661;Piedmont Office Realty Trust, Inc.;PK
200662;Primerica, Inc.;PL
200663;AdvanSix Inc.;RU
200664;Natural Health Trends Corp.;CN
200665;First Hawaiian, Inc.;CN
200666;First Trust Large Cap Core AlphaDEX Fund;GT
200667;Staples, Inc.;VN
200668;Banco Santander Chile;CN
200669;Ventas, Inc.;CN
200670;MarketAxess Holdings, Inc.;US
200671;Electro Scientific Industries, Inc.;CR
200672;GP Investments Acquisition Corp.;BR
200673;Blue Capital Reinsurance Holdings Ltd.;JP
200674;Portola Pharmaceuticals, Inc.;CN
200675;Voya International High Dividend Equity Income Fund;NL
200676;McClatchy Company (The);CN
200677;Mercury Systems Inc;UA
200678;Broadcom Limited;TH
200679;Diversified Real Asset Income Fund;PT
200680;Rand Capital Corporation;ID
200681;Nuveen Quality Preferred Income Fund 2;EC
200682;Nuveen New Jersey Quality Municipal Income Fund;PE
200683;AmeriGas Partners, L.P.;CZ
200684;Penske Automotive Group, Inc.;AR
200685;Endeavour Silver Corporation;SE
200686;Staples, Inc.;PL
200687;Cimarex Energy Co;JP
200688;Lennar Corporation;FR
200689;SunPower Corporation;CN
200690;Northwest Pipe Company;US
200691;PowerShares DWA Technology Momenum Portfolio;PK
200692;Coffee Holding Co., Inc.;RU
200693;Bank of America Corporation;CN
200694;Bank of Commerce Holdings (CA);ID
200695;Rand Capital Corporation;SE
200696;Celgene Corporation;YE
200697;Value Line, Inc.;ID
200698;Nuveen Short Duration Credit Opportunities Fund;NP
