ICDCodeID;PhenotypeID
100471;1000065
100587;1000147
100029;1000538
100020;1000513
100296;1000821
100050;1000374
100915;1000159
100501;1000341
100921;1000191
100912;1000307
100356;1000217
100427;1000441
100714;1000464
100816;1000792
100781;1000353
100634;1000822
100733;1000118
100316;1000187
100486;1000594
100143;1000954
100360;1000252
100474;1000022
100652;1000905
100160;1000999
100662;1000161
100037;1000155
100635;1000389
100606;1000340
100034;1000006
100025;1000711
100919;1000381
100327;1000910
100001;1000593
100156;1000629
100855;1000226
100237;1000962
100747;1000829
100485;1000054
100201;1000884
100616;1000264
100902;1000878
100923;1000627
100133;1000091
100783;1000023
100524;1000751
100301;1000592
100036;1000941
100649;1000561
100670;1000440
100058;1000088
100544;1000747
100918;1000057
100307;1000610
100145;1000372
100552;1000159
100669;1000665
100553;1000259
100667;1000027
100194;1000343
100297;1000292
100717;1000213
100962;1000631
100986;1000580
100520;1000522
100113;1000093
100194;1000542
100020;1000686
100658;1000417
100679;1000696
100940;1000081
100919;1000027
100902;1000451
100865;1000333
100345;1000784
100098;1000234
100732;1000009
100573;1000573
100612;1000054
100494;1000387
100448;1000761
100949;1000079
100241;1000654
100965;1000008
100687;1000943
100814;1000668
100588;1000954
100164;1000497
100803;1000079
100652;1000115
100387;1000411
100037;1000730
