DataSourceID,DataSource
4615,Colgate-Palmolive Company
2519,Clinical Solutions Wholesale
9789,Rebel Distributors Corp
9938,S+
7722,Apotex Corp
9575,"Antigen Laboratories, Inc."
8967,"Hospira, Inc"
3751,"Golden State Medical Supply, Inc."
2990,"Dispensing Solutions, Inc."
9208,"Neopharm Co,. Ltd"
9082,"Dermalogica, Inc."
1585,KINeSYS Pharmaceutical Inc.
1405,"Physicians Total Care, Inc."
7200,Rite Aid
9904,REMEDYREPACK INC.
5813,Topco Associates LLC
9127,REMEDYREPACK INC.
7115,Greenstone LLC
7689,WALGREEN CO.
2513,"Physicians Total Care, Inc."
8542,"Native Remedies, LLC"
3683,"Dispensing Solutions, Inc."
1853,"Allergy Laboratories, Inc."
2743,"Physicians Total Care, Inc."
5350,"PD-Rx Pharmaceuticals, Inc."
3044,Par Pharmaceutical Inc.
4281,REMEDYREPACK INC.
9644,AvPAK
6749,VVF Kansas Services LLC
5998,State of Florida DOH Central Pharmacy
1865,STAT Rx USA LLC
6926,AvPAK
3891,"Physicians Total Care, Inc."
5017,Viny Health and Beauty Inc
2379,Dr. Reddy's Laboratories Limited
1469,Valeant Pharmaceuticals North America LLC
1620,sanofi-aventis U.S. LLC
4821,Tween Brands Inc
3814,Apotheca Company
3582,Kroger Company
4929,"AvKARE, Inc."
9078,"Elizabeth Arden, Inc"
4526,"Liddell Laboratories, Inc."
2088,Sun Pharmaceutical Industries Limited
7191,Procter & Gamble Manufacturing Company
8400,"ALK-Abello, Inc."
1765,A-S Medication Solutions LLC
8374,"Global Pharmaceuticals, Division of Impax Laboratories Inc."
1163,TYA Pharmaceuticals
4989,"General Injectables & Vaccines, Inc"
1774,Bare Escentuals Beauty Inc.
2682,STAT RX USA LLC
6996,"Teva Parenteral Medicines, Inc."
9511,"APP Pharmaceuticals, LLC"
7399,Topco Associates LLC
7995,Guerbet LLC
7027,McKesson
5806,"Dispensing Solutions, Inc."
1418,Mylan Pharmaceuticals Inc.
5738,Apotheca Company
4457,Mylan Institutional Inc.
2615,Teva Pharmaceuticals USA Inc
3979,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
8715,"Samson Medical Technologies, L.L.C."
4088,Cantrell Drug Company
4336,Conopco Inc. d/b/a Unilever
4325,Supervalu Inc.
2885,MAKEUP ART COSMETICS
7248,"Genesis Pharmaceutical, Inc."
4143,Cobalt Laboratories Inc.
8458,MAKEUP ART COSMETICS
4131,Cornerstone Therapeutics Inc.
1063,Cardinal Health
8951,Cardinal Health
2159,"Premier Value (Chain Drug Consortium, LLC)"
3382,REMEDYREPACK INC.
9189,Lake Erie Medical DBA Quality Care Products LLC
8903,"Caraco Pharmaceutical Laboratories, Ltd."
2483,Bayer HealthCare Consumer Care
8449,HOMEOLAB USA INC.
1138,State of Florida DOH Central Pharmacy
6621,"MEIJER, INC."
6110,STAT RX USA LLC
9610,Coty US LLC
9808,Camber Pharmaceuticals
1981,"True Botanica, LLC"
7478,W. H. Goodale Co. Inc.
5972,"Camber Pharmaceuticals, Inc."
2300,"NCS HealthCare of KY, Inc dba Vangard Labs"
4679,"Preferred Pharmaceuticals, Inc"
2559,Walgreens
4591,"ALK-Abello, Inc."
6713,"Actavis Pharma, Inc."
7688,Aidarex Pharmaceuticals LLC
1703,"Accudial Pharmaceutical, Inc."
5021,Pfizer Laboratories Div Pfizer Inc
8532,"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc."
5135,"Aurolife Pharma, LLC"
3284,Bliss World LLC
1703,"Janssen Pharmaceuticals, Inc."
6209,Major Pharmaceuticals
3627,GlaxoSmithKline LLC
8332,Jubilant HollisterStier LLC
8852,Perrigo New York Inc
7123,Actavis Elizabeth LLC
4529,Rite Aid
9010,NASH-FINCH COMPANY
2447,Homeocare Laboratories
9494,APOLLO HEALTH AND BEAUTY CARE
3443,Rebel Distributors Corp.
2600,REMEDYREPACK INC.
8320,Lake Erie Medical DBA Quality Care Products LLC
9468,Colgate-Palmolive Company
5120,"L.N.K. International, Inc."
3729,American Health Packaging
2747,Cardinal Health
5431,Kosan Kozmetik Sanayi ve Ticaret A.S.
3648,Rebel Distributors Corp
4850,"Respa Pharmaceuticals, Inc."
6522,Jubilant Cadista Pharmaceuticals Inc
4385,Moore Medical LLC
5230,"Roxane Laboratories, Inc."
5595,DZA Brands LLC
4520,"Melaleuca, Inc."
8422,Sandoz Inc
8561,Colorpink R&D Inc.
3273,"NCS HealthCare of KY, Inc dba Vangard Labs"
1485,REMEDYREPACK INC.
1165,Greenstone LLC
2959,"H.J. Harkins Company, Inc."
5367,"Hospira, Inc."
6590,Sanum Kehlbeck GmbH & Co. KG
1700,"Akorn, Inc."
4230,"Physicians Total Care, Inc."
6246,Laboratoires Clarins S.A.
5302,Sandoz Inc
1006,Claris Lifesciences Inc.
4562,Lake Erie Medical DBA Quality Care Products LLC
7553,Medical Chemical Corporation
6299,Wise Consumer Products
5886,Hyland's
6253,Blistex Inc.
5441,Topco Associates LLC
3285,Cardinal Health
5326,"Golden State Medical Supply, Inc."
7944,"Mallinckrodt, Inc."
4314,Jubilant HollisterStier LLC
8023,AvPAK
6924,Good Neighbor Pharmacy
1754,KJI Industrial Co Ltd
7385,REMEDYREPACK INC.
3586,Zenith Medicosm SL
6860,"H.J. Harkins Company, Inc."
4085,Rebel Distributors Corp
6750,"AMI Cosmetic Co.,Ltd."
9939,Aurobindo Pharma Limited
6209,Praelia Pharmaceuticals Inc
7595,Aurobindo Pharma Limited
6981,"ZURICH MEDICAL LABS, LLC"
3533,STAT RX USA LLC
6215,"Roxane Laboratories, Inc."
3191,GlaxoSmithKline Consumer Heathcare LP
1017,Mylan Pharmaceuticals Inc.
5485,Topco Associates LLC
3813,"Hospira, Inc."
9878,Rebel Distributors Corp
7835,"Bayer HealthCare LLC, Consumer Care"
1123,West-ward Pharmaceutical Corp
4789,Major Pharmaceuticals
1420,"Elizabeth Arden, Inc"
1218,REMEDYREPACK INC.
9730,"Good Sense (Geiss, Destin & Dunn, Inc.)"
9834,"American Regent, Inc."
3637,Cardinal Health
7126,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
4820,Bryant Ranch Prepack
7943,"ALK-Abello, Inc."
6879,"Inel Cosmetics Co., Ltd."
4917,"Allermed Laboratories, Inc."
8690,Ventura Corporation LTD
3623,"McNeil Consumer Healthcare Div McNeil-PPC, Inc"
8985,CVS PHARMACY
8864,"Nelco Laboratories, Inc."
8935,Aurobindo Pharma Limited
1336,"Golden State Medical Supply, Inc."
4340,"Zylera Pharmaceuticals, LLC"
8011,Sandoz Inc
7263,McKesson Contract Packaging
3750,Jafra Cosmetics International Inc
2738,A-S Medication Solutions LLC
4138,CVS Pharmacy
4266,"SJ Creations, Inc."
8945,"Watson Laboratories, Inc."
2564,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc."
8658,"Golden State Medical Supply, Inc."
7952,"NCS HealthCare of KY, Inc dba Vangard Labs"
4090,"H.J. Harkins Company, Inc."
4316,McKesson (Health Mart)
4162,"PD-Rx Pharmaceuticals, Inc."
4572,Rebel Distributors Corp
1716,Washington Homeopathic Products
3888,Publix Super Markets Inc
5837,Pfizer Laboratories Div Pfizer Inc
7498,Bonne Bell LLC
8093,"Aphena Pharma Solutions - Tennessee, LLC"
2769,"American Regent, Inc."
2014,SHISEIDO AMERICA INC.
8096,Dukal Corporation
6863,JAFRA COSMETICS INTERNATIONAL
6790,"FREDS, INC"
9193,Greenbrier International
2694,Geri-Care Pharmaceutical Corp
1865,"Preferred Pharmaceuticals, Inc"
5141,"Newton Laboratories, Inc."
4299,"Newton Laboratories, Inc."
3072,ReadyMeds
8565,Parfums Christian Dior
7435,Alberto-Culver USA Inc.
7876,"Physicians Total Care, Inc."
4257,Small World Trading Company
2175,"PruGen, Inc."
3113,Heel Inc
8881,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)"
4918,"Ventura Corporation (San Juan, P.R)"
8393,Tiger Balm (Malaysia) Sdn. Bhd.
7922,"Roxane Laboratories, Inc"
1866,TYA Pharmaceuticals
8047,Contract Pharmacy Services-PA
4213,Major Pharmaceuticals
1328,Rugby Laboratories
2475,"Arbor Pharmaceuticals, Inc."
3319,Cardinal Health
3354,"Allermed Laboratories, Inc."
6904,"Hospira, Inc."
4586,"Nelco Laboratories, Inc."
2995,"Preferred Pharmaceuticals, Inc"
8952,China Ningbo Shangge Cosmetic Technology Corp.
4445,Thai Herb and Spa
1005,Walgreen Company
8322,"Hospira, Inc"
3187,"Western Family Foods, Inc."
3874,"Physicians Total Care, Inc."
2989,"Greenbrier International, Inc."
6428,"Johnson & Johnson Healthcare Products, Division of McNEIL-PPC, Inc."
3976,"Napoleon Perdis Cosmetics, Inc"
1192,CVS Pharmacy
3109,"Western Family Foods, Inc."
2854,Cardinal Health
8099,Laboratoires Clarins S.A.
3415,Lake Erie Medical DBA Quality Care Products LLC
5760,"Valu Merchandisers, Co"
6158,Rebel Distributors Corp
8860,Major Pharmaceuticals
2634,Rugby Laboratories
1699,Natural Health Supply
1865,Cantrell Drug Company
5624,Alembic Pharmaceuticals Limited
3789,Aurobindo Pharma Limited
2863,"Nelco Laboratories, Inc."
3733,Barr Laboratories Inc.
3698,"Nova Homeopathic Therapeutics, Inc."
9036,Valeant Pharmaceuticals North America LLC
8304,Sanum Kehlbeck GmbH & Co. KG
7786,Supervalu Inc
1351,"Taro Pharmaceuticals U.S.A., Inc."
8103,Cardinal Health
7004,"Lupin Pharmaceuticals, Inc."
4173,WOCKHARDT LIMITED
7600,"Coloplast Manufacturing US, LLC"
3980,Safeway
8936,Aurobindo Pharma Limited
9157,REMEDYREPACK INC.
8475,Uriel Pharmacy Inc.
2268,Bryant Ranch Prepack
4958,AR Medicom Inc
5903,Target Corporation
8660,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED"
5689,Uriel Pharmacy Inc.
4044,The Dial Corporation
1349,Rebel Distributors Corp
3180,"Antigen Laboratories, Inc."
6261,"Physicians Total Care, Inc."
7970,Prometheus Laboratories Inc.
8914,"E. FOUGERA & CO., A division of Fougera Pharmaceuticals Inc."
6623,Topco Associates LLC
6280,AmerisourceBergen
7653,Ranbaxy Pharmaceuticals Inc.
5987,"Halogent, LLC (DBA Exposed Skin Care)"
7646,RedPharm
9388,Jubilant Cadista Pharmaceuticals Inc.
7590,"Hospira, Inc."
1894,Mylan Pharmaceuticals Inc.
3237,Novartis Pharmaceuticals Corporation
6640,Jubilant HollisterStier LLC
9887,KJI Industrial Co Ltd
9609,Uriel Pharmacy Inc.
4595,Sandoz Inc
1951,"Prestige Brands Holdings, Inc."
3338,McKesson
3593,Uriel Pharmacy Inc.
8934,BELLA SCHNEIDER BEAUTY LLC
3700,Apotheca Company
4131,Natural Health Supply
1859,Sam's West Inc
2781,Home Sweet Homeopathics
3431,Major Pharmaceuticals
6902,Seton Pharmaceuticals LLC
4095,REMEDYREPACK INC.
5452,Rebel Distributors Corp
8484,"Breckenridge Pharmaceutical, Inc."
7520,RedPharm Drug Inc.
3310,"Physicians Total Care, Inc."
4074,"Antigen Laboratories, Inc."
1888,Lead Chemical Co. Ltd.
5639,"Allermed Laboratories, Inc."
9764,WALGREEN CO.
4581,Bryant Ranch Prepack
9479,"Church & Dwight Co., Inc."
7230,Purdue Products LP
5943,Avema Pharma Solutions
2725,King Bio Inc.
2965,"PD-Rx Pharmaceuticals, Inc."
6812,AvPAK
8852,"Changzhou Maokang Medical Products Co., Ltd"
7524,"Antigen Laboratories, Inc."
1529,Apotex Corp.
3236,"Watson Pharma, Inc."
8498,"BioActive Nutritional, Inc."
7695,Amerisource Bergen
4157,7-Eleven
7878,"Shanghai Yinjing Medical Supplies Co., Ltd."
8493,Sam's West Inc
7707,CVS Pharmacy
9167,Meijer Distribution Inc
1998,Aurobindo Pharma Limited
6152,CARDINAL HEALTH
8921,"Watson Laboratories, Inc."
7808,Baxter Healthcare Corporation
8887,Walgreen Company
2219,"Hospira Worldwide, Inc."
3343,NorthStar RxLLC
3487,Rebel Distributors Corp.
3024,SCIENCE OF SKINCARE LLC
5347,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
1324,Novartis Consumer Health
1307,UNITED EXCHANGE CORP
8427,"Liberty Pharmaceuticals, Inc."
8938,China Ningbo Shangge Cosmetic Technology Corp.
2062,Proficient Rx LP
8579,H E B
4783,Northstar Rx LLC
8423,"Bentley Laboratories, LLC"
7414,"Alcon Laboratories, Inc."
3853,Natural Health Supply
6467,"NATURE REPUBLIC CO., LTD."
2546,Linde Gas North America LLC
6994,ReadyMeds
9341,"Physicians Total Care, Inc."
4849,Bare Escentuals Beauty Inc.
8028,Walgreen Company
5016,"Watson Laboratories, Inc."
6252,Meijer Distribution Inc
7962,SAFEWAY INC.
4993,ViiV Healthcare Company
6126,Unit Dose Services
8397,Bryant Ranch Prepack
7609,Noxell
5545,Teva Select Brands
9427,"Professional Disposables International, Inc."
5650,REMEDYREPACK INC.
2133,"Preferred Pharmaceuticals, Inc."
1620,Tender Corporation
2741,Feelgood Health
6156,Bryant Ranch Prepack
4715,St Marys Medical Park Pharmacy
3531,Rebel Distributors Corp.
3822,Physician Therapeutics LLC
2769,"Bath & Body Works, Inc."
3291,"Genentech, Inc."
1077,"Physicians Total Care, Inc."
7745,Meijer Distribution Inc
1805,WOCKHARDT LIMITED
1395,West-ward Pharmaceutical Corp.
1269,Tween Brands Inc
3298,McKesson
4327,"Physicians Total Care, Inc."
7514,Neutrogena Corporation
3005,Hannaford Brothers Company
3002,Dispensing Solutions Inc.
9131,Natural Health Supply
4166,Sanofi Pasteur Inc.
3324,Rugby Laboratories
8999,Ranbaxy Pharmaceuticals Inc.
8876,Cardinal Health
8568,AstraZeneca Pharmaceuticals LP
5759,REMEDYREPACK INC.
4733,Rebel Distributors Corp.
1822,"SJ Creations, Inc."
5485,REMEDYREPACK INC.
3843,"Hospira, Inc."
4434,"AAA Pharmaceutical, Inc."
5487,STAT RX USA LLC
4039,Innocutis Holdings LLC
8361,Greenstone LLC
1921,Winthrop U.S.
5032,"Mallinckrodt, Inc"
4128,JHP Pharmaceuticals LLC
8151,"Nelco Laboratories, Inc."
7835,Bausch & Lomb Incorporated
7098,"Gilead Sciences, Inc."
6209,"Chester Packaging, LLC"
5130,Mylan Institutional Inc.
3155,"Nelco Laboratories, Inc."
8807,Greenstone LLC
8855,HYVEE INC.
8819,"Safeway, Inc"
6616,"Genentech, Inc."
1630,State of Florida DOH Central Pharmacy
7272,MEIJER DISTRIBUTION INC
6498,McKesson Contract Packaging
2294,Publix Super Markets Inc
1569,Sandoz Inc
8969,Apotheca Company
8941,"Upsher-Smith Laboratories, Inc"
3899,"Babor Cosmetics America, Corp."
8910,"Tom's of Maine, Inc."
3958,Valeant Pharmaceuticals North America LLC
8614,"Newton Laboratories, Inc."
2222,"Laser Pharmaceuticals, LLC"
5672,"OMP, INC."
5533,Pharmacia and Upjohn Company
7151,Zenith Medicosm SL
9504,"Janssen Pharmaceutical, Inc."
4054,"AvKARE, Inc."
3675,Washington Homeopathic Products
7819,Tri-Coastal Design Company Inc.
4697,Torrent Pharmaceuticals Limited
5284,Kinray Inc
2766,Uriel Pharmacy Inc.
6034,Aztex Enterprises
3496,"Rising Pharmaceuticals, Inc."
6855,Ventura Corporation LTD.
8628,"Aphena Pharma Solutions - Tennessee, LLC"
1756,REMEDYREPACK INC.
4988,"Lab Safety Supply, Inc."
1930,"Praxair Distribution, Inc."
3400,"Avon Products, Inc."
9743,"Onpoint, Inc"
3831,Wockhardt USA LLC.
9849,McKesson (Sunmark)
8862,"Aphena Pharma Solutions - Tennessee, LLC"
6203,"Nelco Laboratories, Inc."
6486,"Antigen Laboratories, Inc."
2601,Publix Super Markets Inc
9383,"Chattem, Inc."
3516,"MARTIN EKWEALOR PHARMACEUTICALS, INC."
1821,"Physicians Total Care, Inc."
5460,Nash-Finch Company
1424,Sun Pharma Global FZE
4445,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
1180,Amerisource Bergen
7119,Cardinal Health
9040,Procter & Gamble Manufacturing Company
9956,"Chester Packaging, LLC"
5704,ALK-Abello A S
5108,Homeocare Laboratories
3866,"PD-Rx Pharmaceuticals, Inc."
7061,Kao Brands Company
6385,"Cephalon, Inc."
6204,Pharmacia and Upjohn Company
3463,REMEDYREPACK INC.
8348,Amerigen Pharmaceuticals Inc.
1902,"Elizabeth Arden, Inc"
2075,"Preferred Pharmaceuticals, Inc"
2157,"Antigen Laboratories, Inc."
1984,"Physicians Total Care, Inc."
2127,"Dispensing Solutions, Inc."
6756,Uriel Pharmacy Inc.
5408,"Watson Laboratories, Inc."
2994,Wal-Mart Stores Inc
9986,Hy-Vee
9807,"Greenbrier International, Inc"
7315,Topco Associates LLC
4614,Cardinal Health
2141,"Hangzhou Minsheng Binjiang Pharmaceutical CO., Ltd"
2521,Lake Erie Medical DBA Quality Care Products LLC
1051,H E B
1155,Pfizer Laboratories Div Pfizer Inc.
1250,La Roche-Posay Laboratoire Pharmaceutique
6247,Sam's West Inc
3037,Bryant Ranch Prepack
3739,Sunovion Pharmaceuticals Inc.
5034,"Betco Corporation, Ltd."
4452,Teva Pharmaceuticals USA Inc
8710,"Chattem, Inc."
5443,"Janssen Products, LP"
6152,Dolgencorp Inc
1734,Wal-Mart Stores Inc
5272,"Rituals Cosmetics USA, Inc."
4725,Pharmacia and Upjohn Company
2827,SUPERVALU INC
7423,Greenstone LLC
9612,"Aphena Pharma Solutions - Tennessee, LLC"
8953,"CVS Pharmacy, Inc"
6684,"Watson Laboratories, Inc."
2199,JELMA PHILIPPINES INC
5455,Amneal Pharmaceuticals
2568,"Acorda Therapeutics, Inc."
7564,Pharmacia and Upjohn Company
6472,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
2714,"Physicians Total Care, Inc."
3940,Aidarex Pharmaceuticals LLC
3783,Laboratorios Cero S.A.
6051,Accord Healthcare Inc.
5673,"Teva Women's Health, Inc."
4405,"Cypress Pharmaceutical, Inc."
4292,Keltman Pharmaceuticals Inc.
6590,AMOREPACIFIC
2326,St. Marys Medical Park Pharmacy
4625,"Actavis Pharma, Inc."
9086,"3LAB, Inc"
8905,KROGER Co
1829,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc."
9068,King Bio Inc.
4252,"Continental Manufacturing Chemist, Inc."
8347,"Ascend Laboratories, LLC"
2515,"Mallinckrodt, Inc."
7874,Nehemiah Manufacturing
7689,"Fenwal, Inc."
3576,Sion Biotext Medical Ltd
9688,Sandoz Inc
6598,Colgate-Palmolive Company
6573,Select Brand Distributors
3685,CHANEL PARFUMS BEAUTE
8754,Home Sweet Homeopathics
7327,Jubilant HollisterStier LLC
1852,Rugby Laboratories Inc.
2251,Carilion Materials Management
4680,"Aphena Pharma Solutions - Tennessee, LLC"
1970,"WG Critical Care, LLC"
6148,"Fresenius Kabi USA, LLC"
6807,Baxter Healthcare Corporation
4119,Jackson Welding Supply Co Inc.
6254,Laboratoires Clarins S.A.
1928,Cardinal Health
8396,"Janssen Pharmaceuticals, Inc."
5463,Meijer Distribution Inc
7087,RITE AID CORPORATION
9008,Contract Pharmacy Services-PA
9942,"UCB, Inc."
5911,Lake Erie Medical DBA Quality Care Products LLC
7586,Natural Health Supply
7853,Genuine First Aid LLC
1829,Woodbine Products Company
6534,"Boca Pharmacal, LLC"
3093,"H.J. Harkins Company, Inc."
5199,BluePoint Laboratories
8559,Tween Brands Inc
4815,Family Dollar
5245,Rochester Midland Corporation
6426,"Deseret Biologicals, Inc."
6475,Good Neighbor Pharmacy
3580,Procter & Gamble Manufacturing Company
9913,"PD-Rx Pharmaceuticals, Inc."
2261,Parfums Christian Dior
7512,"Lupin Pharmaceuticals, Inc."
